OBS_YEAR,ROUNDID,MISSIONID,SITE,ASSOC_OCC_SITEID,OCC_SITEID,DATE_,LOCALTIME,TYPE,DIVE,HABITAT_CODE,REEF_ZONE,MAX_DEPTH_M,MIN_DEPTH_M,VISIBILITY,VISIBILITY_M,MAX_Z_M,MIN_Z_M,DEPTH_BIN,DISTRICT,ISLAND,REGION,SECTOR,SITEDESCRIPTION,SITEVISITID,OBJECTID_SV,OBJECTID_LOS,COMMENTS_SV,COMMENTS_LOS,LATITUDE_SV,LONGITUDE_SV,LATITUDE_LOS,LONGITUDE_LOS,PHOTOMOSAIC_YN,TRANSECT_PHOTOS,CLIMATE_STATION_YN,EXCLUDE_FLAG,DS_SUITE_ACTIVITY_YN,CB_ACTIVITY_YN,CTD_ACTIVITY_YN,H2O_ACTIVITY_YN,STR_DEP_ACTIVITY_YN,STR_REC_ACTIVITY_YN,BMUS_DEPLOY_YN,BMUS_RETRIEVE_YN,CAUS_DEPLOY_YN,CAUS_RETRIEVE_YN,CORAL_BELT_ADULT_YN,CORAL_BELT_JUVENILE_YN,FISH_REA_YN,SEC_NAME
2022,180,RA2201_LEG3,GUA-20,,OCC-GUA-014,04/12/2022 10.27.00,04/12/2022 10.27.00,Oceanography,NA,,Forereef,NA,NA,NA,NA,NA,NA,Mid,NA,Guam,MARIAN,,NA,38107,38128,4758,,,13.52897,144.800164,13.52894,144.80037,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,GUA_TUMON_BAY
2022,180,RA2201_LEG3,GUA-2408,,,04/12/2022 10.30.35,04/12/2022 10.30.35,Fish,1,AGR,Forereef,NA,NA,NA,NA,NA,NA,Deep,NA,Guam,MARIAN,,NA,38100,38399,19401,,,13.585875,144.831439,13.60704,144.91777,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,GUA_WEST_OPEN
2022,180,RA2201_LEG3,GUA-2387,,,04/12/2022 11.27.32,04/12/2022 11.27.32,Fish,2,AGR,Forereef,NA,NA,NA,NA,NA,NA,Mid,NA,Guam,MARIAN,,NA,38101,38400,19380,,,13.591884,144.832518,13.4703,144.64564,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,GUA_WEST_OPEN
2022,180,RA2201_LEG3,GUA-20,,OCC-GUA-015,04/12/2022 12.29.14,04/12/2022 12.29.14,Oceanography,NA,,Forereef,NA,NA,NA,NA,NA,NA,Mid,NA,Guam,MARIAN,,NA,38108,38397,4758,,,13.52886,144.80028,13.52894,144.80037,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,GUA_TUMON_BAY
2022,180,RA2201_LEG3,GUA-2411,,,04/12/2022 12.43.57,04/12/2022 12.43.57,Fish,3,AGR,Forereef,NA,NA,NA,NA,NA,NA,Deep,NA,Guam,MARIAN,,NA,38102,38401,19404,,,13.582218,144.829874,13.55149,144.94446,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,GUA_WEST_OPEN
2022,180,RA2201_LEG3,GUA-20,OCC-GUA-014,,04/12/2022 14.30.05,04/12/2022 14.30.05,Oceanography,NA,,Forereef,NA,NA,NA,NA,NA,NA,Mid,NA,Guam,MARIAN,,NA,38109,38398,4758,,,13.529077,144.800171,13.52894,144.80037,NO,NO,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,GUA_TUMON_BAY
2022,180,RA2201_LEG3,GUA-20,OCC-GUA-015,,04/12/2022 14.52.52,04/12/2022 14.52.52,Oceanography,NA,,Forereef,NA,NA,NA,NA,NA,NA,Mid,NA,Guam,MARIAN,,NA,38110,38402,4758,,,13.529098,144.800042,13.52894,144.80037,NO,NO,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,GUA_TUMON_BAY
2022,180,RA2201_LEG3,GUA-2406,,,04/14/2022 10.13.42,04/14/2022 10.13.42,Fish,1,PAV,Forereef,NA,NA,NA,NA,NA,NA,Deep,NA,Guam,MARIAN,,NA,38140,38403,19399,,,13.611421,144.832757,13.64796,144.88598,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,GUA_WEST_OPEN
2022,180,RA2201_LEG3,GUA-2390,,,04/14/2022 11.11.26,04/14/2022 11.11.26,Fish,2,AGR,Forereef,NA,NA,NA,NA,NA,NA,Mid,NA,Guam,MARIAN,,NA,38141,38404,19383,,,13.606013,144.834246,13.4673,144.6789,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,GUA_WEST_OPEN
2022,180,RA2201_LEG3,GUA-20,,OCC-GUA-015,04/14/2022 12.06.15,04/14/2022 12.06.15,Oceanography,NA,,Forereef,NA,NA,NA,NA,NA,NA,Mid,NA,Guam,MARIAN,,NA,38145,38408,4758,,,13.528942,144.800329,13.52894,144.80037,NO,NO,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,GUA_TUMON_BAY
2022,180,RA2201_LEG3,GUA-2414,,,04/14/2022 12.23.50,04/14/2022 12.23.50,Fish,3,AGR,Forereef,NA,NA,NA,NA,NA,NA,Deep,NA,Guam,MARIAN,,NA,38142,38405,19407,,,13.576139,144.826243,13.5129,144.91532,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,GUA_WEST_OPEN
2022,180,RA2201_LEG3,GUA-2378,,,04/14/2022 13.27.12,04/14/2022 13.27.12,Fish,4,AGR,Forereef,NA,NA,NA,NA,NA,NA,Deep,NA,Guam,MARIAN,,NA,38143,38406,19169,,,13.551015,144.807702,13.48522,144.87778,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,GUA_WEST_OPEN
2022,180,RA2201_LEG3,GUA-20,OCC-GUA-015,,04/14/2022 14.23.48,04/14/2022 14.23.48,Oceanography,NA,,Forereef,NA,NA,NA,NA,NA,NA,Mid,NA,Guam,MARIAN,,NA,38146,38409,4758,,,13.529188,144.8002,13.52894,144.80037,NO,NO,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,GUA_TUMON_BAY
2022,180,RA2201_LEG3,GUA-2412,,,04/14/2022 14.31.52,04/14/2022 14.31.52,Fish,5,AGR,Forereef,NA,NA,NA,NA,NA,NA,Deep,NA,Guam,MARIAN,,NA,38144,38407,19405,,,13.534073,144.799662,13.53679,144.93551,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,GUA_WEST_OPEN
2022,180,RA2201_LEG3,GUA-20,OCC-GUA-014,,04/14/2022 14.41.05,04/14/2022 14.41.05,Oceanography,NA,,Forereef,NA,NA,NA,NA,NA,NA,Mid,NA,Guam,MARIAN,,NA,38147,38410,4758,,,13.528871,144.800047,13.52894,144.80037,NO,NO,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,GUA_TUMON_BAY
2022,180,RA2201_LEG3,GUA-2579,,,04/17/2022 09.02.00,04/17/2022 09.02.00,Fish,NA,AGR,Forereef,NA,NA,30,NA,NA,NA,Deep,NA,Guam,MARIAN,,NA,38207,38423,22637,,,13.58944,144.95432,13.58944,144.95432,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,GUA_PATI_PT
2022,180,RA2201_LEG3,GUA-2515,,,04/17/2022 10.03.19,04/17/2022 10.03.19,Fish,NA,PAV,Forereef,NA,NA,30,NA,NA,NA,Mid,NA,Guam,MARIAN,,NA,38208,38424,21168,,,13.597002,144.957395,13.30759596,144.7784864,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,GUA_PATI_PT
2022,180,RA2201_LEG3,GUA-23,,OCC-GUA-002,04/17/2022 10.13.46,04/17/2022 10.13.46,Oceanography,NA,,Forereef,NA,NA,NA,NA,NA,NA,Mid,NA,Guam,MARIAN,,NA,38200,38418,4761,,,13.603323,144.923627,13.6033,144.92365,NO,YES,YES,NO,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,GUA_PATI_PT
2022,180,RA2201_LEG3,GUA-2352,OCC-GUA-001,,04/17/2022 10.17.34,04/17/2022 10.17.34,Oceanography,NA,,,NA,NA,NA,NA,NA,NA,,NA,Guam,MARIAN,,NA,38202,38420,17898,,,13.603896,144.92374,13.60387,144.92395,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,GUA_PATI_PT
2022,180,RA2201_LEG3,GUA-2352,,OCC-GUA-001,04/17/2022 11.05.19,04/17/2022 11.05.19,Oceanography,NA,,,NA,NA,NA,NA,NA,NA,,NA,Guam,MARIAN,,NA,38203,38421,17898,,,13.603881,144.923974,13.60387,144.92395,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,GUA_PATI_PT
2022,180,RA2201_LEG3,GUA-2512,,,04/17/2022 11.13.42,04/17/2022 11.13.42,Fish,NA,AGR,Forereef,NA,NA,30,NA,NA,NA,Mid,NA,Guam,MARIAN,,NA,38209,38425,21165,,,13.606343,144.912645,13.56380157,144.8160802,YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,GUA_PATI_PT
2022,180,RA2201_LEG3,GUA-23,OCC-GUA-002,,04/17/2022 12.16.18,04/17/2022 12.16.18,Oceanography,NA,,Forereef,NA,NA,NA,NA,NA,NA,Mid,NA,Guam,MARIAN,,NA,38204,38419,4761,,,13.603185,144.923928,13.6033,144.92365,NO,NO,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,GUA_PATI_PT
