"OBS_YEAR","REGION","ISLAND","SEC_NAME","REEF_ZONE","DEPTH_BIN","AREA_PCT","AREA_VAR_PCT","MANUAL_PCT","SEC_sites","N_AREA","N_AREA_VAR","N_MANUAL","N_SITES"
2017,"PRIAs","Jarvis","Jarvis","Forereef","Deep",0.05,0.07,0.125,28,1,2,4,4
2017,"PRIAs","Jarvis","Jarvis","Forereef","Mid",0.52,0.52,0.475,28,15,15,13,13
2017,"PRIAs","Jarvis","Jarvis","Forereef","Shallow",0.42,0.41,0.4,28,12,11,11,11
2017,"PRIAs","Wake","Wake","Forereef","Deep",0.21,0.35,0.35,53,11,19,19,17
2017,"PRIAs","Wake","Wake","Forereef","Mid",0.37,0.41,0.41,53,20,22,22,22
2017,"PRIAs","Wake","Wake","Forereef","Shallow",0.42,0.24,0.25,53,22,13,13,14
2017,"MARIANA","Guam","GUA_EAST_OPEN","Forereef","Deep",0.24,0.35,0.325,19,5,7,6,6
2017,"MARIANA","Guam","GUA_EAST_OPEN","Forereef","Mid",0.4,0.54,0.5,19,8,10,10,9
2017,"MARIANA","Guam","GUA_EAST_OPEN","Forereef","Shallow",0.36,0.11,0.175,19,7,2,3,4
2017,"MARIANA","Guam","GUA_WEST_OPEN","Forereef","Deep",0.15,0.23,0.23,26,4,6,6,6
2017,"MARIANA","Guam","GUA_WEST_OPEN","Forereef","Mid",0.33,0.37,0.37,26,9,10,10,9
2017,"MARIANA","Guam","GUA_WEST_OPEN","Forereef","Shallow",0.52,0.41,0.41,26,14,11,11,11
2017,"MARIANA","Guam","GUA_MP","Forereef","Deep",0.2,0.34,0.34,21,4,7,7,8
2017,"MARIANA","Guam","GUA_MP","Forereef","Mid",0.31,0.36,0.36,21,7,8,8,7
2017,"MARIANA","Guam","GUA_MP","Forereef","Shallow",0.49,0.3,0.3,21,10,6,6,6
2017,"MARIANA","Rota","Rota","Forereef","Deep",0.14,0.31,0.31,28,4,9,9,8
2017,"MARIANA","Rota","Rota","Forereef","Mid",0.19,0.43,0.43,28,5,12,12,14
2017,"MARIANA","Rota","Rota","Forereef","Shallow",0.67,0.26,0.26,28,19,7,7,6
2017,"MARIANA","Saipan","Saipan","Forereef","Deep",0.56,0.68,0.5,37,21,25,18,17
2017,"MARIANA","Saipan","Saipan","Forereef","Mid",0.32,0.26,0.325,37,12,10,12,14
2017,"MARIANA","Saipan","Saipan","Forereef","Shallow",0.12,0.06,0.175,37,4,2,6,6
2017,"MARIANA","Aguijan","Aguijan","Forereef","Deep",0.29,0.45,0.4,17,5,8,7,7
2017,"MARIANA","Aguijan","Aguijan","Forereef","Mid",0.32,0.39,0.4,17,5,7,7,7
2017,"MARIANA","Aguijan","Aguijan","Forereef","Shallow",0.39,0.16,0.2,17,7,3,3,3
2017,"MARIANA","Tinian","Tinian","Forereef","Deep",0.39,0.59,0.48,24,9,14,12,9
2017,"MARIANA","Tinian","Tinian","Forereef","Mid",0.38,0.32,0.323,24,9,8,8,9
2017,"MARIANA","Tinian","Tinian","Forereef","Shallow",0.23,0.08,0.2,24,6,2,5,6
2017,"MARIANA","Alamagan","Alamagan","Forereef","Deep",0.33,0.42,0.4,9,3,4,4,3
2017,"MARIANA","Alamagan","Alamagan","Forereef","Mid",0.47,0.5,0.4,9,4,4,4,3
2017,"MARIANA","Alamagan","Alamagan","Forereef","Shallow",0.21,0.09,0.2,9,2,1,2,3
2017,"MARIANA","Agrihan","Agrihan","Forereef","Deep",0.54,0.78,0.5,19,10,15,10,8
2017,"MARIANA","Agrihan","Agrihan","Forereef","Mid",0.06,0.03,0.2,19,1,1,4,4
2017,"MARIANA","Agrihan","Agrihan","Forereef","Shallow",0.4,0.19,0.3,19,8,4,6,7
2017,"MARIANA","Pagan","Pagan","Forereef","Deep",0.38,0.43,0.43,40,15,17,17,17
2017,"MARIANA","Pagan","Pagan","Forereef","Mid",0.33,0.31,0.31,40,13,12,12,13
2017,"MARIANA","Pagan","Pagan","Forereef","Shallow",0.3,0.26,0.26,40,12,10,10,10
2017,"MARIANA","Farallon de Pajaros","Farallon de Pajaros","Forereef","Deep",0.27,0.35,0.35,16,4,6,6,5
2017,"MARIANA","Farallon de Pajaros","Farallon de Pajaros","Forereef","Mid",0.5,0.42,0.42,16,8,7,7,7
2017,"MARIANA","Farallon de Pajaros","Farallon de Pajaros","Forereef","Shallow",0.24,0.23,0.23,16,4,4,4,4
2017,"MARIANA","Maug","Maug","Forereef","Deep",0.28,0.31,0.3,38,11,12,11,12
2017,"MARIANA","Maug","Maug","Forereef","Mid",0.61,0.62,0.575,38,23,24,22,17
2017,"MARIANA","Maug","Maug","Forereef","Shallow",0.11,0.07,0.125,38,4,3,5,9
2017,"MARIANA","Asuncion","Asuncion","Forereef","Deep",0.26,0.31,0.3,19,5,6,6,6
2017,"MARIANA","Asuncion","Asuncion","Forereef","Mid",0.53,0.56,0.5,19,10,11,10,9
2017,"MARIANA","Asuncion","Asuncion","Forereef","Shallow",0.22,0.12,0.2,19,4,2,4,4
2017,"MARIANA","Sarigan","Sarigan","Forereef","Deep",0.45,0.39,0.39,9,4,4,4,4
2017,"MARIANA","Sarigan","Sarigan","Forereef","Mid",0.15,0.21,0.21,9,1,2,2,2
2017,"MARIANA","Sarigan","Sarigan","Forereef","Shallow",0.4,0.4,0.4,9,4,4,4,3
2017,"MARIANA","Guguan","Guguan","Forereef","Deep",0.35,0.72,0.5,9,3,6,4,4
2017,"MARIANA","Guguan","Guguan","Forereef","Mid",0.37,0.13,0.25,9,3,1,2,3
2017,"MARIANA","Guguan","Guguan","Forereef","Shallow",0.29,0.15,0.25,9,3,1,2,2
2019,"MHI","Hawaii","HAW_HAMAKUA","Forereef","Deep",0.300012561,0.342639621,0.357142857,19,6,7,7,6
2019,"MHI","Hawaii","HAW_HAMAKUA","Forereef","Mid",0.473386766,0.484985292,0.5,19,9,9,10,9
2019,"MHI","Hawaii","HAW_HAMAKUA","Forereef","Shallow",0.226600673,0.172375087,0.142857143,19,4,3,3,4
2019,"MHI","Hawaii","HAW_KONA","Forereef","Deep",0.270080835,0.176841223,0.2,37,10,7,7,6
2019,"MHI","Hawaii","HAW_KONA","Forereef","Mid",0.412524766,0.585832797,0.6,37,15,22,22,23
2019,"MHI","Hawaii","HAW_KONA","Forereef","Shallow",0.317394399,0.23732598,0.2,37,12,9,7,8
2019,"MHI","Hawaii","HAW_PUNA","Forereef","Deep",0.356047773,0.534702524,0.411764706,17,6,9,7,7
2019,"MHI","Hawaii","HAW_PUNA","Forereef","Mid",0.394688345,0.357166603,0.352941176,17,7,6,6,6
2019,"MHI","Hawaii","HAW_PUNA","Forereef","Shallow",0.249263881,0.108130873,0.235294118,17,4,2,4,4
2019,"MHI","Kahoolawe","KAH_NORTH","Forereef","Deep",0.333333333,0.394571362,0.4,8,3,3,3,2
2019,"MHI","Kahoolawe","KAH_NORTH","Forereef","Mid",0.333333333,0.23291286,0.3,8,3,2,2,3
2019,"MHI","Kahoolawe","KAH_NORTH","Forereef","Shallow",0.333333333,0.372515778,0.3,8,3,3,2,3
2019,"MHI","Kahoolawe","KAH_SOUTH","Forereef","Deep",0.333333333,0.386685543,0.333333333,12,4,5,4,4
2019,"MHI","Kahoolawe","KAH_SOUTH","Forereef","Mid",0.333333333,0.371418047,0.333333333,12,4,4,4,6
2019,"MHI","Kahoolawe","KAH_SOUTH","Forereef","Shallow",0.333333333,0.24189641,0.333333333,12,4,3,4,2
2019,"MHI","Kauai","KAU_EAST","Forereef","Deep",0.250412586,0.359689584,0.277777778,13,3,5,4,4
2019,"MHI","Kauai","KAU_EAST","Forereef","Mid",0.485269841,0.458697734,0.5,13,6,6,6,7
2019,"MHI","Kauai","KAU_EAST","Forereef","Shallow",0.264317574,0.181612681,0.222222222,13,3,2,3,2
