ISLAND,Island_Code,SECTOR,sector_id,STRATUM,FISH SITES,SFM SITES,MAP SITES,TOTAL MAP SITES,FISH MAX SITES,CHG_SITES
Hawaii,haw,HAW_Hamakua,haw_hamak,FRF_D,5,6,6,18,10,4
Hawaii,haw,HAW_Hamakua,haw_hamak,FRF_M,6,9,9,27,10,1
Hawaii,haw,HAW_Hamakua,haw_hamak,FRF_S,2,2,2,6,3,1
Hawaii,haw,HAW_Kona,haw_kona,FRF_D,6,7,7,21,8,1
Hawaii,haw,HAW_Kona,haw_kona,FRF_M,15,11,15,30,14,-1
Hawaii,haw,HAW_Kona,haw_kona,FRF_S,8,6,8,24,6,-2
Hawaii,haw,HAW_Puna,haw_puna,FRF_D,7,4,7,21,12,5
Hawaii,haw,HAW_Puna,haw_puna,FRF_M,6,9,9,27,8,-1
Hawaii,haw,HAW_Puna,haw_puna,FRF_S,4,2,4,12,2,-2
Hawaii,haw,HAW_SE,haw_se,FRF_D,3,2,3,9,3,0
Hawaii,haw,HAW_SE,haw_se,FRF_M,4,4,4,12,4,0
Hawaii,haw,HAW_SE,haw_se,FRF_S,3,2,3,9,2,-1
Kahoolawe,kah,KAH_N,kah_north,FRF_D,4,4,4,12,8,4
Kahoolawe,kah,KAH_N,kah_north,FRF_M,3,7,7,21,7,0
Kahoolawe,kah,KAH_N,kah_north,FRF_S,3,4,4,12,3,-1
Kahoolawe,kah,KAH_S,kah_south,FRF_D,3,2,3,9,9,6
Kahoolawe,kah,KAH_S,kah_south,FRF_M,3,2,3,9,8,5
Kahoolawe,kah,KAH_S,kah_south,FRF_S,3,4,4,12,2,-2
Kauai,kau,KAU_E,kau_east,FRF_D,5,2,5,15,9,4
Kauai,kau,KAU_E,kau_east,FRF_M,9,9,9,27,8,-1
Kauai,kau,KAU_E,kau_east,FRF_S,5,4,5,15,3,-2
Kauai,kau,KAU_Napali,kau_napali,FRF_D,4,2,4,12,5,1
Kauai,kau,KAU_Napali,kau_napali,FRF_M,4,5,5,15,4,-1
Kauai,kau,KAU_Napali,kau_napali,FRF_S,2,2,2,6,2,0
Lanai,lan,LAN_N,lan_north,FRF_D,3,2,3,9,6,3
Lanai,lan,LAN_N,lan_north,FRF_M,3,6,6,18,7,1
