REGION,JurisdictionName,JurisdictionCode,SubjurisdictionName,SubjurisdictionCode,SEC_NAME,SectorName,SectorCode,REEF_ZONE,DEPTH_BIN,StrataName,StrataCode
SAMOA,American Samoa,SAMOA,Ofu and Olosega,OFU,Ofu & Olosega,Ofu and Olosega,OFU,Forereef,Deep,Forereef Deep,FRF_D
SAMOA,American Samoa,SAMOA,Ofu and Olosega,OFU,Ofu & Olosega,Ofu and Olosega,OFU,Forereef,Mid,Forereef Mid,FRF_M
SAMOA,American Samoa,SAMOA,Ofu and Olosega,OFU,Ofu & Olosega,Ofu and Olosega,OFU,Forereef,Shallow,Forereef Shallow,FRF_S
SAMOA,American Samoa,SAMOA,Rose Atoll,ROS,ROS,Rose Atoll,ROS,Backreef,Mid,Backreef Mid,BRF_M
SAMOA,American Samoa,SAMOA,Rose Atoll,ROS,ROS,Rose Atoll,ROS,Backreef,Shallow,Backreef Shallow,BRF_S
SAMOA,American Samoa,SAMOA,Rose Atoll,ROS,ROS,Rose Atoll,ROS,Lagoon,Deep,Lagoon Deep,LAG_D
SAMOA,American Samoa,SAMOA,Rose Atoll,ROS,ROS,Rose Atoll,ROS,Lagoon,Mid,Lagoon Mid,LAG_M
SAMOA,American Samoa,SAMOA,Rose Atoll,ROS,ROS,Rose Atoll,ROS,Lagoon,Shallow,Lagoon Shallow,LAG_S
SAMOA,American Samoa,SAMOA,Rose Atoll,ROS,ROS,Rose Atoll,ROS,Forereef,Deep,Forereef Deep,FRF_D
SAMOA,American Samoa,SAMOA,Rose Atoll,ROS,ROS,Rose Atoll,ROS,Forereef,Mid,Forereef Mid,FRF_M
SAMOA,American Samoa,SAMOA,Rose Atoll,ROS,ROS,Rose Atoll,ROS,Forereef,Shallow,Forereef Shallow,FRF_S
SAMOA,American Samoa,SAMOA,Swains,SWA,SWA_OPEN,Open,SWA_open,Forereef,Deep,Forereef Deep,FRF_D
SAMOA,American Samoa,SAMOA,Swains,SWA,SWA_OPEN,Open,SWA_open,Forereef,Mid,Forereef Mid,FRF_M
SAMOA,American Samoa,SAMOA,Swains,SWA,SWA_OPEN,Open,SWA_open,Forereef,Shallow,Forereef Shallow,FRF_S
SAMOA,American Samoa,SAMOA,Swains,SWA,SWA_SANCTUARY,Sanctuary,SWA_sanctuary,Forereef,Deep,Forereef Deep,FRF_D
SAMOA,American Samoa,SAMOA,Swains,SWA,SWA_SANCTUARY,Sanctuary,SWA_sanctuary,Forereef,Mid,Forereef Mid,FRF_M
SAMOA,American Samoa,SAMOA,Swains,SWA,SWA_SANCTUARY,Sanctuary,SWA_sanctuary,Forereef,Shallow,Forereef Shallow,FRF_S
SAMOA,American Samoa,SAMOA,Tau,TAU,TAU_OPEN,Open,TAU_open,Forereef,Deep,Forereef Deep,FRF_D
SAMOA,American Samoa,SAMOA,Tau,TAU,TAU_OPEN,Open,TAU_open,Forereef,Mid,Forereef Mid,FRF_M
SAMOA,American Samoa,SAMOA,Tau,TAU,TAU_OPEN,Open,TAU_open,Forereef,Shallow,Forereef Shallow,FRF_S
SAMOA,American Samoa,SAMOA,Tau,TAU,TAU_SANCTUARY,Sanctuary,TAU_sanctuary,Forereef,Deep,Forereef Deep,FRF_D
SAMOA,American Samoa,SAMOA,Tau,TAU,TAU_SANCTUARY,Sanctuary,TAU_sanctuary,Forereef,Mid,Forereef Mid,FRF_M
SAMOA,American Samoa,SAMOA,Tau,TAU,TAU_SANCTUARY,Sanctuary,TAU_sanctuary,Forereef,Shallow,Forereef Shallow,FRF_S
SAMOA,American Samoa,SAMOA,Tutuila,TUT,TUT_AUNUU_A,Aunuu A,TUT_AunuuA,Forereef,Deep,Forereef Deep,FRF_D
SAMOA,American Samoa,SAMOA,Tutuila,TUT,TUT_AUNUU_A,Aunuu A,TUT_AunuuA,Forereef,Mid,Forereef Mid,FRF_M
SAMOA,American Samoa,SAMOA,Tutuila,TUT,TUT_AUNUU_A,Aunuu A,TUT_AunuuA,Forereef,Shallow,Forereef Shallow,FRF_S
SAMOA,American Samoa,SAMOA,Tutuila,TUT,TUT_AUNUU_B,Aunuu B,TUT_AunuuB,Forereef,Deep,Forereef Deep,FRF_D
SAMOA,American Samoa,SAMOA,Tutuila,TUT,TUT_AUNUU_B,Aunuu B,TUT_AunuuB,Forereef,Mid,Forereef Mid,FRF_M
SAMOA,American Samoa,SAMOA,Tutuila,TUT,TUT_AUNUU_B,Aunuu B,TUT_AunuuB,Forereef,Shallow,Forereef Shallow,FRF_S
SAMOA,American Samoa,SAMOA,Tutuila,TUT,TUT_FAGALUA,Fagalua,TUT_Fagalua,Forereef,Deep,Forereef Deep,FRF_D
SAMOA,American Samoa,SAMOA,Tutuila,TUT,TUT_FAGALUA,Fagalua,TUT_Fagalua,Forereef,Mid,Forereef Mid,FRF_M
SAMOA,American Samoa,SAMOA,Tutuila,TUT,TUT_FAGALUA,Fagalua,TUT_Fagalua,Forereef,Shallow,Forereef Shallow,FRF_S
SAMOA,American Samoa,SAMOA,Tutuila,TUT,TUT_FAGATELE,Fagatele,TUT_Fagatele,Forereef,Deep,Forereef Deep,FRF_D
