Island,Island_Code,UTM_Zone,Hemisphere,Satellite,epsg
Agrihan,agr,55,north,11,32655
Aguijan,agu,55,north,12,32655
Alamagan,ala,55,north,11,32655
Anatahan,ana,55,north,13,32655
Arakane,ara,54,north,13,32654
Philippines,art,51,north,13,32651
Asuncion,asc,55,north,13,32655
Timor_Leste,ata,51,south,13,32751
Philippines,baa,51,north,13,32651
Baker,bak,1,north,13,32601
Philippines,bao,51,north,13,32651
Timor_Leste,bau,52,south,13,32752
Timor_Leste,bob,51,south,13,32751
Timor_Leste,dil,51,south,13,32751
Farallon_de_Pajaros,fdp,55,north,13,32655
French_Frigate,ffs,3,north,13,32603
Palmyra,fr,3,north,12,32603
Gardner,gar,2,north,13,32602
Guam,gua,55,north,10,32655
Guguan,gug,55,north,13,32655
Hawaii,haw,5,north,8,32605
Howland,how,1,north,13,32601
Jarvis,jar,4,south,12,32704
Johnston,joh,2,north,12,32602
Kahoolawe,kah,4,north,11,32604
Kaula,kal,4,north,13,32604
Kauai,kau,4,north,13,32604
New_Britain,kim,56,south,13,32756
Kingman,kin,3,north,12,32603
Philippines,koa,51,north,13,32651
Kure,kur,1,north,13,32601
Lanai,lan,4,north,13,32604
Timor_Leste,lau,52,south,13,32752
Laysan,lay,2,north,13,32602
Lehua,leh,4,north,13,32604
Timor_Leste,liq,51,south,13,32751
Lisianski,lis,1,north,12,32601
Timor_Leste,maf,51,south,13,32751
Maui,mai,4,north,13,32604
Timor_Leste,man,51,south,13,32751
Maro,mar,2,north,12,32602
Maug,mau,55,north,13,32655
Midway,mid,1,north,13,32601
Molokini,moi,4,north,13,32604
Molokai,mol,4,north,13,32604
Necker,nec,3,north,13,32603
Nihoa,nih,4,north,13,32604
Niihau,nii,4,north,13,32604
Oahu,oah,4,north,12,32604
Timor_Leste,oec,51,south,13,32751
Ofu_&_Olosega,ofu,2,south,13,32702
Ofu_&_Olosega,olo,2,south,13,32702
Pagan,pag,55,north,11,32655
Palmyra,pal,3,north,12,32603
Pathfinder,pat,54,north,13,32654
Pearl_&_Hermes,phr,1,north,11,32601
Rose,ros,2,south,13,32702
Rota,rot,55,north,11,32655
Palmyra,rt,3,north,12,32603
Saipan,sai,55,north,11,32655
Sarigan,sar,55,north,13,32655
South_Bank,sob,2,south,13,32702
Santa_Rosa,srr,55,north,13,32655
Stingray,sti,54,north,13,32654
Supply,sup,55,north,13,32655
Swains,swa,2,south,13,32702
Tau,tau,2,south,13,32702
Tinian,tin,55,north,11,32655
Tutuila,tut,2,south,11,32702
Philippines,twi,51,north,13,32651
Timor_Leste,vil,51,south,13,32751
Wake,wak,58,north,12,32658
Zealandia,zea,55,north,13,32655
