"SITE","ISLAND"
"AGU-1999","Aguijan"
"GUA-1003","Guam"
"GUA-1005","Guam"
"GUA-1008","Guam"
"GUA-1009","Guam"
"GUA-1010","Guam"
"GUA-1011","Guam"
"GUA-1012","Guam"
"GUA-1013","Guam"
"GUA-1022","Guam"
"GUA-1023","Guam"
"GUA-1026","Guam"
"GUA-1028","Guam"
"GUA-1031","Guam"
"GUA-1037","Guam"
"GUA-1038","Guam"
"GUA-1039","Guam"
"GUA-1043","Guam"
"GUA-1046","Guam"
"GUA-1047","Guam"
"GUA-1053","Guam"
"GUA-1056","Guam"
"GUA-1062","Guam"
"GUA-1063","Guam"
"GUA-1066","Guam"
"GUA-1073","Guam"
"GUA-1074","Guam"
"GUA-1077","Guam"
"GUA-1079","Guam"
"GUA-1080","Guam"
"GUA-1081","Guam"
"GUA-1082","Guam"
"GUA-1083","Guam"
"GUA-1084","Guam"
"GUA-1086","Guam"
"GUA-1087","Guam"
"GUA-1090","Guam"
"GUA-1093","Guam"
"GUA-1094","Guam"
"GUA-1098","Guam"
"GUA-1103","Guam"
"GUA-1105","Guam"
"GUA-1107","Guam"
"GUA-1109","Guam"
"GUA-1111","Guam"
"GUA-1113","Guam"
"GUA-1115","Guam"
"GUA-1117","Guam"
"GUA-1121","Guam"
"GUA-1122","Guam"
"GUA-1123","Guam"
"GUA-1125","Guam"
"GUA-1128","Guam"
"GUA-1134","Guam"
"GUA-1138","Guam"
"GUA-1140","Guam"
"GUA-1141","Guam"
"GUA-1143","Guam"
"GUA-1145","Guam"
"GUA-1146","Guam"
"GUA-1147","Guam"
"GUA-1148","Guam"
"GUA-1151","Guam"
"GUA-1156","Guam"
"GUA-1159","Guam"
"GUA-1160","Guam"
"GUA-1166","Guam"
"GUA-1167","Guam"
"GUA-1171","Guam"
"GUA-1179","Guam"
"GUA-1182","Guam"
"GUA-1183","Guam"
"GUA-1185","Guam"
"GUA-1191","Guam"
"GUA-1193","Guam"
"GUA-1197","Guam"
"GUA-1202","Guam"
"GUA-1203","Guam"
"GUA-1204","Guam"
"GUA-1206","Guam"
"GUA-1217","Guam"
"GUA-1225","Guam"
"GUA-1239","Guam"
"GUA-1247","Guam"
"GUA-1249","Guam"
"GUA-1255","Guam"
"GUA-1256","Guam"
"GUA-1274","Guam"
"GUA-1277","Guam"
"GUA-1278","Guam"
"GUA-1301","Guam"
"GUA-1302","Guam"
"GUA-1303","Guam"
"GUA-1304","Guam"
"GUA-1305","Guam"
"GUA-1306","Guam"
"GUA-1307","Guam"
"GUA-1308","Guam"
"GUA-1309","Guam"
"GUA-1310","Guam"
"GUA-1311","Guam"
"GUA-1312","Guam"
"GUA-1313","Guam"
"GUA-1314","Guam"
"GUA-1315","Guam"
"GUA-1316","Guam"
"GUA-1317","Guam"
"GUA-1318","Guam"
"GUA-1319","Guam"
"GUA-1329","Guam"
"GUA-1376","Guam"
"GUA-1387","Guam"
"GUA-1390","Guam"
"GUA-1394","Guam"
"GUA-1395","Guam"
"GUA-1421","Guam"
"GUA-1422","Guam"
"GUA-1435","Guam"
"GUA-1438","Guam"
"GUA-1446","Guam"
"GUA-1459","Guam"
"GUA-1462","Guam"
"GUA-1472","Guam"
"GUA-1476","Guam"
"GUA-1487","Guam"
"GUA-1495","Guam"
"GUA-1503","Guam"
"GUA-1510","Guam"
"GUA-1521","Guam"
"GUA-1543","Guam"
"GUA-1552","Guam"
"GUA-1554","Guam"
"GUA-1560","Guam"
"GUA-1565","Guam"
"GUA-1567","Guam"
"GUA-1575","Guam"
"GUA-1593","Guam"
"GUA-1601","Guam"
"GUA-1603","Guam"
"GUA-1604","Guam"
"GUA-1618","Guam"
"GUA-1619","Guam"
"GUA-1624","Guam"
"GUA-1625","Guam"
"GUA-1639","Guam"
"GUA-1642","Guam"
"GUA-1646","Guam"
"GUA-1649","Guam"
"GUA-1651","Guam"
"GUA-1653","Guam"
"GUA-1661","Guam"
"GUA-1662","Guam"
"GUA-1663","Guam"
"GUA-1669","Guam"
"GUA-1671","Guam"
"GUA-1674","Guam"
"GUA-1675","Guam"
"GUA-1676","Guam"
"GUA-1679","Guam"
"GUA-1681","Guam"
"GUA-1685","Guam"
"GUA-1691","Guam"
"GUA-1693","Guam"
"GUA-1695","Guam"
"GUA-1696","Guam"
"GUA-1703","Guam"
"GUA-1704","Guam"
"GUA-1709","Guam"
"GUA-1715","Guam"
"GUA-1716","Guam"
"GUA-1720","Guam"
"GUA-1721","Guam"
"GUA-1723","Guam"
"GUA-1725","Guam"
"GUA-1726","Guam"
"GUA-1729","Guam"
"GUA-1731","Guam"
"GUA-1735","Guam"
"GUA-1741","Guam"
"GUA-1745","Guam"
"GUA-1751","Guam"
"GUA-1756","Guam"
"GUA-1760","Guam"
"GUA-1764","Guam"
"GUA-1766","Guam"
"GUA-1769","Guam"
"GUA-1771","Guam"
"GUA-1773","Guam"
"GUA-1774","Guam"
"GUA-1775","Guam"
"GUA-1776","Guam"
"GUA-1784","Guam"
"GUA-1786","Guam"
"GUA-1790","Guam"
"GUA-1791","Guam"
"GUA-1792","Guam"
"GUA-1793","Guam"
"GUA-1797","Guam"
"GUA-1801","Guam"
"GUA-1804","Guam"
"GUA-1810","Guam"
"GUA-1811","Guam"
"GUA-1814","Guam"
"GUA-1815","Guam"
"GUA-1819","Guam"
"GUA-1821","Guam"
"GUA-1822","Guam"
"GUA-1823","Guam"
"GUA-1824","Guam"
"GUA-1826","Guam"
"GUA-1827","Guam"
"GUA-1851","Guam"
"GUA-1859","Guam"
"GUA-1864","Guam"
"GUA-1869","Guam"
"GUA-1870","Guam"
"GUA-1906","Guam"
"GUA-1908","Guam"
"GUA-1919","Guam"
"GUA-1939","Guam"
"GUA-1944","Guam"
"GUA-1951","Guam"
"GUA-1996","Guam"
"GUA-1997","Guam"
"GUA-1998","Guam"
"GUA-1999","Guam"
"GUA-2016","Guam"
"GUA-2020","Guam"
"GUA-2107","Guam"
"GUA-2125","Guam"
"GUA-2140","Guam"
"GUA-2149","Guam"
"GUA-2161","Guam"
"GUA-2166","Guam"
"GUA-2193","Guam"
"GUA-2231","Guam"
"GUA-2247","Guam"
"GUA-2254","Guam"
"GUA-2258","Guam"
"GUA-2274","Guam"
"GUA-2291","Guam"
"GUA-2304","Guam"
"GUA-2319","Guam"
"GUA-2332","Guam"
"GUA-2339","Guam"
"GUA-2351","Guam"
"GUA-2352","Guam"
"GUA-2353","Guam"
"GUA-2354","Guam"
"GUA-2355","Guam"
"GUA-2356","Guam"
"GUA-2357","Guam"
"GUA-2358","Guam"
"GUA-2359","Guam"
"GUA-2360","Guam"
"GUA-2361","Guam"
"GUA-2362","Guam"
"GUA-2363","Guam"
"GUA-2364","Guam"
"GUA-2365","Guam"
"GUA-2366","Guam"
"GUA-2367","Guam"
"GUA-2368","Guam"
"GUA-2369","Guam"
"GUA-2370","Guam"
"GUA-2371","Guam"
"GUA-2372","Guam"
"GUA-2373","Guam"
"GUA-2374","Guam"
"GUA-2375","Guam"
"GUA-2376","Guam"
"GUA-2377","Guam"
"GUA-2378","Guam"
"GUA-2379","Guam"
"GUA-2380","Guam"
"GUA-2381","Guam"
"GUA-2382","Guam"
"GUA-2383","Guam"
"GUA-2384","Guam"
"GUA-2385","Guam"
"GUA-2386","Guam"
"GUA-2387","Guam"
"GUA-2388","Guam"
"GUA-2389","Guam"
"GUA-2390","Guam"
"GUA-2391","Guam"
"GUA-2392","Guam"
"GUA-2393","Guam"
"GUA-2394","Guam"
"GUA-2395","Guam"
"GUA-2396","Guam"
"GUA-2397","Guam"
"GUA-2398","Guam"
"GUA-2399","Guam"
"GUA-2400","Guam"
"GUA-2401","Guam"
"GUA-2402","Guam"
"GUA-2403","Guam"
"GUA-2404","Guam"
"GUA-2405","Guam"
"GUA-2406","Guam"
"GUA-2407","Guam"
"GUA-2408","Guam"
"GUA-2409","Guam"
"GUA-2410","Guam"
"GUA-2411","Guam"
"GUA-2412","Guam"
"GUA-2413","Guam"
