SITE_ID,SITE_NO,X,Y,LONGITUDE,LATITUDE,DEPTH_BIN,REEF_ID
ALA_0346A,0346,377.305,1944.195,145.8438,17.5809,DEEP,FOREREEF
ALA_0347A,0347,374.025,1945.765,145.8128,17.5949,DEEP,FOREREEF
ALA_0348A,0348,375.205,1943.985,145.824,17.5789,DEEP,FOREREEF
ALA_0349A,0349,374.025,1946.915,145.8127,17.6053,DEEP,FOREREEF
ALA_0350A,0350,374.025,1946.805,145.8127,17.6043,DEEP,FOREREEF
ALA_0351A,0351,377.425,1944.435,145.8449,17.5831,DEEP,FOREREEF
ALA_0352A,0352,374.785,1944.755,145.82,17.5858,MID,FOREREEF
ALA_0353A,0353,375.295,1948.455,145.8246,17.6193,MID,FOREREEF
ALA_0354A,0354,374.955,1944.785,145.8216,17.5861,MID,FOREREEF
ALA_0355A,0355,378.175,1946.645,145.8518,17.6031,MID,FOREREEF
ALA_0356A,0356,374.615,1947.685,145.8182,17.6123,MID,FOREREEF
ALA_0357A,0357,378.225,1946.335,145.8523,17.6003,MID,FOREREEF
ALA_0358A,0358,377.095,1947.915,145.8416,17.6145,MID,FOREREEF
ALA_0359A,0359,375.445,1943.995,145.8262,17.579,MID,FOREREEF
ALA_0360A,0360,376.455,1944.085,145.8358,17.5799,SHAL,FOREREEF
ALA_0361A,0361,375.055,1948.235,145.8223,17.6173,SHAL,FOREREEF
