SITE_ID,SITE_NO,X,Y,LONGITUDE,LATITUDE,DEPTH_BIN,REEF_ID
ANA_0040A,0040,363.975,1808.667,145.7265,16.3553,DEEP,FOREREEF
ANA_0041A,0041,361.965,1806.375,145.7078,16.3345,DEEP,FOREREEF
ANA_0042A,0042,356.175,1806.069,145.6536,16.3314,DEEP,FOREREEF
ANA_0043A,0043,356.565,1806.411,145.6572,16.3345,DEEP,FOREREEF
ANA_0044A,0044,354.105,1807.851,145.6341,16.3474,DEEP,FOREREEF
ANA_0045A,0045,355.233,1806.687,145.6447,16.3369,MID,FOREREEF
ANA_0046A,0046,362.793,1810.185,145.7153,16.369,MID,FOREREEF
ANA_0047A,0047,358.341,1810.683,145.6736,16.3732,MID,FOREREEF
ANA_0048A,0048,354.657,1810.617,145.6391,16.3724,MID,FOREREEF
ANA_0049A,0049,353.625,1809.819,145.6295,16.3651,MID,FOREREEF
ANA_0050A,0050,363.183,1806.603,145.7192,16.3366,MID,FOREREEF
ANA_0051A,0051,358.419,1810.827,145.6743,16.3745,MID,FOREREEF
ANA_0052A,0052,359.805,1805.997,145.6876,16.331,MID,FOREREEF
ANA_0053A,0053,357.255,1805.823,145.6637,16.3292,MID,FOREREEF
ANA_0054A,0054,356.199,1806.201,145.6538,16.3326,MID,FOREREEF
ANA_0055A,0055,357.411,1810.377,145.6649,16.3704,MID,FOREREEF
ANA_0056A,0056,364.107,1808.283,145.7277,16.3519,MID,FOREREEF
ANA_0057A,0057,361.803,1810.569,145.706,16.3724,MID,FOREREEF
ANA_0058A,0058,362.529,1806.663,145.713,16.3371,SHAL,FOREREEF
