SITE_ID,SITE_NO,X,Y,LONGITUDE,LATITUDE,DEPTH_BIN,REEF_ID
ASC_0637A,0637,331.0475,2177.7525,145.3882,19.688,DEEP,FOREREEF
ASC_0638A,0638,333.4125,2179.8225,145.4105,19.7069,DEEP,FOREREEF
ASC_0639A,0639,332.8975,2176.2475,145.406,19.6745,DEEP,FOREREEF
ASC_0640A,0640,334.2525,2178.6725,145.4187,19.6965,DEEP,FOREREEF
ASC_0641A,0641,333.9325,2176.8925,145.4158,19.6804,DEEP,FOREREEF
ASC_0642A,0642,332.0025,2176.2725,145.3974,19.6747,DEEP,FOREREEF
ASC_0643A,0643,330.9175,2177.3775,145.387,19.6846,DEEP,FOREREEF
ASC_0644A,0644,332.3525,2179.9225,145.4004,19.7077,DEEP,FOREREEF
ASC_0645A,0645,330.9475,2177.1625,145.3873,19.6826,DEEP,FOREREEF
ASC_0646A,0646,332.4025,2176.3475,145.4012,19.6754,MID,FOREREEF
ASC_0647A,0647,333.9125,2179.4325,145.4153,19.7034,MID,FOREREEF
ASC_0648A,0648,332.7625,2176.2875,145.4047,19.6749,MID,FOREREEF
ASC_0649A,0649,331.7175,2176.7625,145.3947,19.6791,MID,FOREREEF
ASC_0650A,0650,331.0775,2177.9775,145.3884,19.69,MID,FOREREEF
ASC_0651A,0651,333.2525,2176.4575,145.4093,19.6765,MID,FOREREEF
ASC_0652A,0652,332.2475,2176.2475,145.3998,19.6745,MID,FOREREEF
ASC_0653A,0653,333.6475,2176.7025,145.4131,19.6787,MID,FOREREEF
ASC_0654A,0654,332.8525,2179.9725,145.4052,19.7082,MID,FOREREEF
ASC_0655A,0655,331.5475,2176.9375,145.393,19.6806,MID,FOREREEF
ASC_0656A,0656,333.0525,2176.3875,145.4074,19.6758,MID,FOREREEF
ASC_0657A,0657,332.2825,2176.3875,145.4001,19.6757,MID,FOREREEF
ASC_0658A,0658,333.4775,2179.6025,145.4112,19.7049,MID,FOREREEF
ASC_0659A,0659,333.2925,2179.7575,145.4094,19.7063,MID,FOREREEF
ASC_0660A,0660,332.7675,2179.9175,145.4044,19.7077,MID,FOREREEF
ASC_0661A,0661,333.5825,2179.6225,145.4122,19.7051,MID,FOREREEF
ASC_0662A,0662,332.9875,2179.9025,145.4065,19.7075,MID,FOREREEF
ASC_0663A,0663,334.3275,2177.9025,145.4194,19.6896,MID,FOREREEF
ASC_0664A,0664,331.0575,2177.5425,145.3883,19.6861,MID,FOREREEF
ASC_0665A,0665,332.5325,2176.2675,145.4025,19.6747,MID,FOREREEF
ASC_0666A,0666,333.8775,2177.0525,145.4152,19.6819,SHAL,FOREREEF
ASC_0667A,0667,331.2225,2177.4625,145.3899,19.6854,SHAL,FOREREEF
ASC_0668A,0668,331.2725,2178.4675,145.3903,19.6944,SHAL,FOREREEF
ASC_0669A,0669,331.2325,2177.2125,145.39,19.6831,SHAL,FOREREEF
ASC_0670A,0670,334.0325,2177.2775,145.4167,19.6839,SHAL,FOREREEF
