SITE_ID,SITE_NO,X,Y,LONGITUDE,LATITUDE,DEPTH_BIN,REEF_ID
FDP_0404A,0404,281.365,2273.775,144.9029,20.5502,DEEP,FOREREEF
FDP_0405A,0405,281.615,2273.525,144.9053,20.548,DEEP,FOREREEF
FDP_0406A,0406,281.005,2273.845,144.89940000000001,20.5508,DEEP,FOREREEF
FDP_0407A,0407,281.215,2272.585,144.9016,20.5395,DEEP,FOREREEF
FDP_0408A,0408,281.485,2272.775,144.9041,20.5412,DEEP,FOREREEF
FDP_0409A,0409,280.835,2272.165,144.898,20.5356,DEEP,FOREREEF
FDP_0410A,0410,280.835,2274.025,144.8978,20.5524,DEEP,FOREREEF
FDP_0411A,0411,281.055,2272.405,144.9001,20.5378,DEEP,FOREREEF
FDP_0412A,0412,280.265,2272.085,144.8925,20.5348,DEEP,FOREREEF
FDP_0413A,0413,281.585,2273.365,144.905,20.5465,DEEP,FOREREEF
FDP_0414A,0414,281.505,2273.665,144.9042,20.5492,DEEP,FOREREEF
FDP_0415A,0415,280.885,2273.885,144.8983,20.5512,DEEP,FOREREEF
FDP_0416A,0416,280.475,2272.095,144.8946,20.5349,DEEP,FOREREEF
FDP_0417A,0417,279.685,2273.695,144.8868,20.5493,DEEP,FOREREEF
FDP_0418A,0418,281.665,2273.045,144.9058,20.5437,DEEP,FOREREEF
FDP_0419A,0419,279.825,2274.035,144.8881,20.5524,DEEP,FOREREEF
FDP_0420A,0420,281.105,2273.885,144.9004,20.5512,DEEP,FOREREEF
FDP_0421A,0421,281.525,2273.255,144.9045,20.5455,DEEP,FOREREEF
FDP_0422A,0422,281.675,2273.155,144.9059,20.5447,DEEP,FOREREEF
FDP_0423A,0423,280.985,2272.245,144.89940000000001,20.5364,DEEP,FOREREEF
FDP_0424A,0424,279.975,2274.105,144.8895,20.553,DEEP,FOREREEF
FDP_0425A,0425,281.505,2273.145,144.9043,20.5445,DEEP,FOREREEF
FDP_0426A,0426,280.935,2272.105,144.899,20.5351,DEEP,FOREREEF
FDP_0427A,0427,281.635,2273.265,144.9055,20.5456,DEEP,FOREREEF
FDP_0428A,0428,279.545,2272.995,144.8855,20.543,MID,FOREREEF
FDP_0429A,0429,279.595,2273.475,144.8859,20.5473,MID,FOREREEF
FDP_0430A,0430,280.745,2273.805,144.8969,20.5504,MID,FOREREEF
FDP_0431A,0431,280.885,2272.335,144.8985,20.5372,MID,FOREREEF
FDP_0432A,0432,281.445,2273.025,144.9037,20.5435,MID,FOREREEF
FDP_0433A,0433,280.605,2273.975,144.8956,20.5519,MID,FOREREEF
FDP_0434A,0434,281.305,2272.825,144.9024,20.5416,MID,FOREREEF
FDP_0435A,0435,280.925,2272.465,144.8988,20.5383,MID,FOREREEF
FDP_0436A,0436,279.845,2272.225,144.8885,20.536,MID,FOREREEF
FDP_0437A,0437,281.235,2273.805,144.9016,20.5505,MID,FOREREEF
FDP_0438A,0438,280.235,2272.195,144.8922,20.5358,MID,FOREREEF
FDP_0439A,0439,279.685,2272.265,144.887,20.5364,MID,FOREREEF
FDP_0440A,0440,280.295,2274.175,144.8926,20.5537,MID,FOREREEF
FDP_0441A,0441,281.395,2272.875,144.9033,20.5421,MID,FOREREEF
FDP_0442A,0442,281.365,2273.165,144.903,20.5447,MID,FOREREEF
FDP_0443A,0443,279.555,2272.775,144.8856,20.541,MID,FOREREEF
FDP_0444A,0444,280.765,2272.275,144.8973,20.5366,MID,FOREREEF
FDP_0445A,0445,280.635,2272.195,144.8961,20.5359,MID,FOREREEF
FDP_0446A,0446,279.615,2273.365,144.8861,20.5463,MID,FOREREEF
FDP_0447A,0447,280.995,2273.705,144.8993,20.5495,MID,FOREREEF
FDP_0448A,0448,281.425,2273.535,144.9035,20.5481,MID,FOREREEF
FDP_0449A,0449,279.535,2272.585,144.8855,20.5393,MID,FOREREEF
FDP_0450A,0450,279.575,2273.215,144.8858,20.5449,MID,FOREREEF
FDP_0451A,0451,281.105,2273.785,144.9004,20.5503,MID,FOREREEF
FDP_0452A,0452,279.555,2273.735,144.8855,20.5496,MID,FOREREEF
FDP_0453A,0453,281.035,2272.535,144.8999,20.539,MID,FOREREEF
FDP_0454A,0454,279.635,2272.485,144.8864,20.5384,MID,FOREREEF
FDP_0455A,0455,279.965,2272.265,144.8896,20.5364,SHAL,FOREREEF
