SITE_ID,SITE_NO,X,Y,LONGITUDE,LATITUDE,DEPTH_BIN,REEF_ID
GUG_0337A,0337,376.65,1912.57,145.8394,17.2951,DEEP,FOREREEF
GUG_0338A,0338,377.8,1915.07,145.8501,17.3177,DEEP,FOREREEF
GUG_0339A,0339,375.8,1914.01,145.8313,17.308,DEEP,FOREREEF
GUG_0340A,0340,375.94,1913.28,145.8327,17.3015,DEEP,FOREREEF
GUG_0341A,0341,375.68,1913.94,145.8302,17.3074,DEEP,FOREREEF
GUG_0342A,0342,376.39,1912.71,145.83690000000001,17.2963,DEEP,FOREREEF
GUG_0343A,0343,377.72,1913.24,145.8494,17.3012,DEEP,FOREREEF
GUG_0344A,0344,377.71,1914.69,145.8493,17.3143,DEEP,FOREREEF
GUG_0345A,0345,377.15,1912.61,145.8441,17.2955,MID,FOREREEF
GUG_0346A,0346,376.88,1912.66,145.8416,17.2959,MID,FOREREEF
GUG_0347A,0347,378.01,1914.11,145.8521,17.3091,MID,FOREREEF
GUG_0348A,0348,376.29,1913.1,145.836,17.2998,MID,FOREREEF
GUG_0349A,0349,377.75,1913.34,145.8497,17.3021,MID,FOREREEF
GUG_0350A,0350,375.81,1914.38,145.8314,17.3114,MID,FOREREEF
GUG_0351A,0351,377.48,1912.87,145.8472,17.2978,MID,FOREREEF
GUG_0352A,0352,376.1,1913.25,145.8342,17.3012,SHAL,FOREREEF
GUG_0353A,0353,376.47,1913.07,145.8377,17.2996,SHAL,FOREREEF
