SITE_ID,SITE_NO,X,Y,LONGITUDE,LATITUDE,DEPTH_BIN,REEF_ID
MAU_1273A,1273,312.9291,2215.4427,145.2116,20.0268,DEEP,FOREREEF
MAU_1274A,1274,314.7331,2213.4667,145.229,20.0091,DEEP,FOREREEF
MAU_1275A,1275,315.6651,2215.4107,145.2377,20.0267,DEEP,FOREREEF
MAU_1276A,1276,315.4971,2215.9027,145.2361,20.0312,DEEP,FOREREEF
MAU_1277A,1277,312.8931,2213.6307,145.2114,20.0104,DEEP,FOREREEF
MAU_1278A,1278,312.5851,2215.8187,145.2082,20.0301,DEEP,FOREREEF
MAU_1279A,1279,314.8171,2216.2187,145.2295,20.034,DEEP,FOREREEF
MAU_1280A,1280,314.1691,2216.5387,145.2233,20.0368,DEEP,FOREREEF
MAU_1281A,1281,313.0851,2214.4387,145.2132,20.0177,DEEP,FOREREEF
MAU_1282A,1282,314.5691,2213.6347,145.2274,20.0106,DEEP,FOREREEF
MAU_1283A,1283,315.2011,2215.9867,145.2332,20.0319,DEEP,FOREREEF
MAU_1284A,1284,315.3571,2214.0467,145.2349,20.0144,DEEP,FOREREEF
MAU_1285A,1285,314.9491,2216.1947,145.2308,20.0337,DEEP,FOREREEF
MAU_1286A,1286,315.3731,2215.9667,145.2349,20.0317,DEEP,FOREREEF
MAU_1287A,1287,315.7011,2214.2147,145.2382,20.0159,DEEP,FOREREEF
MAU_1288A,1288,315.4771,2215.3507,145.2359,20.0262,MID,FOREREEF
MAU_1289A,1289,313.8291,2213.6387,145.2204,20.0106,MID,FOREREEF
MAU_1290A,1290,312.6771,2214.0667,145.2093,20.0143,MID,FOREREEF
MAU_1291A,1291,313.3851,2213.5907,145.2161,20.0101,MID,FOREREEF
MAU_1292A,1292,314.5891,2216.1227,145.2274,20.0331,MID,FOREREEF
MAU_1293A,1293,313.8171,2216.5707,145.2199,20.037,MID,FOREREEF
MAU_1294A,1294,312.6451,2215.6787,145.2088,20.0289,MID,FOREREEF
MAU_1295A,1295,315.4691,2215.2267,145.2359,20.0251,MID,FOREREEF
MAU_1296A,1296,315.4891,2214.0507,145.2362,20.0144,MID,FOREREEF
MAU_1297A,1297,315.7651,2215.0387,145.2387,20.0234,MID,FOREREEF
MAU_1298A,1298,312.7891,2215.8907,145.2102,20.0308,MID,FOREREEF
MAU_1299A,1299,314.6971,2215.8587,145.2284,20.0307,MID,FOREREEF
MAU_1300A,1300,312.7091,2215.7907,145.2094,20.0299,MID,FOREREEF
MAU_1301A,1301,312.7771,2213.7947,145.2103,20.0119,MID,FOREREEF
MAU_1302A,1302,312.6531,2213.8747,145.2091,20.0126,MID,FOREREEF
MAU_1303A,1303,313.8251,2213.8587,145.2203,20.0125,MID,FOREREEF
MAU_1304A,1304,313.1891,2216.0427,145.214,20.0322,MID,FOREREEF
MAU_1305A,1305,314.7331,2216.1027,145.2287,20.0329,MID,FOREREEF
MAU_1306A,1306,313.6451,2213.7427,145.2186,20.0115,MID,FOREREEF
MAU_1307A,1307,314.5371,2216.2707,145.2269,20.0344,MID,FOREREEF
MAU_1308A,1308,312.5251,2215.0827,145.2077,20.0235,MID,FOREREEF
MAU_1309A,1309,314.9211,2215.1947,145.2306,20.0247,MID,FOREREEF
MAU_1310A,1310,313.5651,2216.2667,145.2176,20.034300000000002,MID,FOREREEF
MAU_1311A,1311,314.2291,2215.7827,145.224,20.03,MID,FOREREEF
MAU_1312A,1312,313.3931,2216.3347,145.2159,20.0349,MID,FOREREEF
MAU_1313A,1313,312.7931,2214.9627,145.2103,20.0224,MID,FOREREEF
MAU_1314A,1314,312.8211,2215.9907,145.2105,20.0317,MID,FOREREEF
MAU_1315A,1315,312.7651,2215.1387,145.21,20.024,SHAL,FOREREEF
MAU_1316A,1316,315.2771,2215.7427,145.234,20.0297,SHAL,FOREREEF
MAU_1317A,1317,312.6171,2215.4187,145.2086,20.0265,SHAL,FOREREEF
