SITE_ID,SITE_NO,X,Y,LONGITUDE,LATITUDE,DEPTH_BIN,REEF_ID
PAG_1326A,1326,368.755,2000.41,145.7597,18.0884,DEEP,FOREREEF
PAG_1327A,1327,372.995,2002.24,145.7996,18.1052,DEEP,FOREREEF
PAG_1328A,1328,373.675,2008.51,145.8057,18.1619,DEEP,FOREREEF
PAG_1329A,1329,373.765,2004.32,145.8068,18.1241,DEEP,FOREREEF
PAG_1330A,1330,369.385,2001.18,145.7656,18.0954,DEEP,FOREREEF
PAG_1331A,1331,365.885,1995.92,145.7329,18.0477,DEEP,FOREREEF
PAG_1332A,1332,367.835,1998.78,145.7511,18.0736,DEEP,FOREREEF
PAG_1333A,1333,363.825,1995.07,145.7135,18.0399,DEEP,FOREREEF
PAG_1334A,1334,367.825,1999.11,145.751,18.0766,DEEP,FOREREEF
PAG_1335A,1335,366.275,1996.13,145.7365,18.0496,DEEP,FOREREEF
PAG_1336A,1336,370.235,2001.73,145.7736,18.1004,DEEP,FOREREEF
PAG_1337A,1337,373.185,2003,145.8014,18.1121,DEEP,FOREREEF
PAG_1338A,1338,368.665,2000.32,145.7588,18.0876,DEEP,FOREREEF
PAG_1339A,1339,363.015,1995.31,145.7058,18.042,DEEP,FOREREEF
PAG_1340A,1340,372.695,2002.41,145.7968,18.1067,DEEP,FOREREEF
PAG_1341A,1341,364.785,1995.62,145.7225,18.0449,DEEP,FOREREEF
PAG_1342A,1342,371.965,2001.8,145.7899,18.1012,DEEP,FOREREEF
PAG_1343A,1343,363.575,1997.92,145.7109,18.0656,DEEP,FOREREEF
PAG_1344A,1344,365.625,1995.78,145.7304,18.0464,DEEP,FOREREEF
PAG_1345A,1345,362.815,1995.13,145.7039,18.0403,DEEP,FOREREEF
PAG_1346A,1346,374.245,2006.41,145.8112,18.143,DEEP,FOREREEF
PAG_1347A,1347,374.255,2006.64,145.8113,18.1451,DEEP,FOREREEF
PAG_1348A,1348,364.905,1999.91,145.7233,18.0837,DEEP,FOREREEF
PAG_1349A,1349,363.015,1995.76,145.7058,18.0461,DEEP,FOREREEF
PAG_1350A,1350,370.855,2002.26,145.7794,18.1053,DEEP,FOREREEF
PAG_1351A,1351,369.895,2001.59,145.7704,18.0992,DEEP,FOREREEF
PAG_1352A,1352,363.135,1995.34,145.7069,18.0423,DEEP,FOREREEF
PAG_1353A,1353,363.115,1996.89,145.7066,18.0563,DEEP,FOREREEF
PAG_1354A,1354,365.195,1995.75,145.7264,18.0461,DEEP,FOREREEF
PAG_1355A,1355,368.375,1999.53,145.7562,18.0805,DEEP,FOREREEF
PAG_1356A,1356,363.305,1997.35,145.7084,18.0604,DEEP,FOREREEF
PAG_1357A,1357,374.165,2006.91,145.8104,18.1475,DEEP,FOREREEF
PAG_1358A,1358,368.085,2003.79,145.7531,18.1189,DEEP,FOREREEF
PAG_1359A,1359,368.405,2002.05,145.7563,18.1032,MID,FOREREEF
PAG_1360A,1360,365.825,2000.22,145.732,18.0865,MID,FOREREEF
PAG_1361A,1361,368.265,1999.71,145.7551,18.0821,MID,FOREREEF
PAG_1362A,1362,371.145,2002.5,145.7821,18.1075,MID,FOREREEF
PAG_1363A,1363,368.315,2004.88,145.7552,18.1288,MID,FOREREEF
PAG_1364A,1364,363.615,1997.8,145.7113,18.0645,MID,FOREREEF
PAG_1365A,1365,366.165,1996.37,145.7355,18.0518,MID,FOREREEF
PAG_1366A,1366,368.985,2001.02,145.7618,18.094,MID,FOREREEF
PAG_1367A,1367,368.205,2004.45,145.7542,18.1249,MID,FOREREEF
PAG_1368A,1368,364.095,1995.47,145.716,18.0435,MID,FOREREEF
PAG_1369A,1369,372.065,2009.33,145.7904,18.1692,MID,FOREREEF
PAG_1370A,1370,372.145,2001.9,145.7916,18.1021,MID,FOREREEF
PAG_1371A,1371,367.795,1999.35,145.7507,18.0788,MID,FOREREEF
PAG_1372A,1372,368.185,2002.46,145.7542,18.1069,MID,FOREREEF
PAG_1373A,1373,370.575,2002.2,145.7768,18.1047,MID,FOREREEF
PAG_1374A,1374,372.715,2009.08,145.7966,18.167,MID,FOREREEF
PAG_1375A,1375,369.945,2009.35,145.7704,18.1693,MID,FOREREEF
PAG_1376A,1376,364.985,1999.97,145.7241,18.0842,MID,FOREREEF
PAG_1377A,1377,365.615,1996.1,145.7303,18.0493,MID,FOREREEF
PAG_1378A,1378,368.265,2002.52,145.7549,18.1075,MID,FOREREEF
PAG_1379A,1379,372.575,2009.15,145.7952,18.1676,MID,FOREREEF
PAG_1380A,1380,363.485,1996.77,145.7101,18.0552,MID,FOREREEF
PAG_1381A,1381,363.675,1995.36,145.712,18.0425,MID,FOREREEF
PAG_1382A,1382,368.395,2006.49,145.7559,18.1433,MID,FOREREEF
PAG_1383A,1383,365.325,1995.97,145.7276,18.0481,MID,FOREREEF
PAG_1384A,1384,368.535,2006.46,145.7572,18.1431,MID,FOREREEF
PAG_1385A,1385,370.335,2002.02,145.7745,18.1031,MID,FOREREEF
PAG_1386A,1386,363.975,1995.37,145.7149,18.0426,MID,FOREREEF
PAG_1387A,1387,368.205,2002.93,145.7543,18.1112,MID,FOREREEF
PAG_1388A,1388,367.805,2004.88,145.7504,18.1288,SHAL,FOREREEF
PAG_1389A,1389,371.985,2001.37,145.7902,18.0973,SHAL,FOREREEF
