SITE_ID,SITE_NO,X,Y,LONGITUDE,LATITUDE,DEPTH_BIN,REEF_ID
SAR_0401A,0401,370.995,1846.54,145.79,16.698,DEEP,FOREREEF
SAR_0402A,0402,368.345,1847.36,145.7651,16.7053,DEEP,FOREREEF
SAR_0403A,0403,370.765,1848.13,145.7878,16.7124,DEEP,FOREREEF
SAR_0404A,0404,368.855,1846.65,145.77,16.6989,DEEP,FOREREEF
SAR_0405A,0405,369.855,1845.79,145.7794,16.6912,DEEP,FOREREEF
SAR_0406A,0406,371.015,1846.73,145.7902,16.6997,DEEP,FOREREEF
SAR_0407A,0407,370.635,1848.42,145.7866,16.715,DEEP,FOREREEF
SAR_0408A,0408,370.905,1846.71,145.7892,16.6995,DEEP,FOREREEF
SAR_0409A,0409,369.265,1848.45,145.7737,16.7152,MID,FOREREEF
SAR_0410A,0410,370.965,1847.6,145.7897,16.7076,MID,FOREREEF
SAR_0411A,0411,368.745,1846.78,145.7689,16.7001,MID,FOREREEF
SAR_0412A,0412,369.355,1846.08,145.7747,16.6938,MID,FOREREEF
SAR_0413A,0413,370.255,1845.75,145.7831,16.6908,MID,FOREREEF
SAR_0414A,0414,368.515,1847.65,145.7667,16.7079,SHAL,FOREREEF
SAR_0415A,0415,369.635,1848.73,145.7772,16.7177,SHAL,FOREREEF
SAR_0416A,0416,369.115,1848.18,145.7723,16.7127,SHAL,FOREREEF
SAR_0417A,0417,370.165,1845.88,145.7823,16.692,SHAL,FOREREEF
