SITE_ID,SITE_NO,X,Y,LONGITUDE,LATITUDE,DEPTH_BIN,REEF_ID
ROT_2090A,2090,303.3825,1567.6725,145.1782,14.173400000000001,DEEP,FOREREEF
ROT_2091A,2091,314.8375,1569.9125,145.2842,14.1945,DEEP,FOREREEF
ROT_2092A,2092,299.1525,1565.0325,145.1392,14.1493,DEEP,FOREREEF
ROT_2093A,2093,309.0325,1570.5775,145.2303,14.2001,DEEP,FOREREEF
ROT_2094A,2094,302.0525,1567.4075,145.1659,14.1709,DEEP,FOREREEF
ROT_2095A,2095,311.2625,1565.1725,145.2514,14.1514,DEEP,FOREREEF
ROT_2096A,2096,300.1325,1565.8925,145.1482,14.1571,DEEP,FOREREEF
ROT_2097A,2097,298.6825,1562.5525,145.1351,14.1268,DEEP,FOREREEF
ROT_2098A,2098,312.7525,1570.8125,145.2648,14.2025,DEEP,FOREREEF
ROT_2099A,2099,305.0625,1568.2525,145.1937,14.1788,DEEP,FOREREEF
ROT_2100A,2100,299.1975,1565.1675,145.1396,14.1505,DEEP,FOREREEF
ROT_2101A,2101,315.6375,1569.8175,145.2916,14.1937,DEEP,FOREREEF
ROT_2102A,2102,308.2925,1569.8925,145.2235,14.1938,MID,FOREREEF
ROT_2103A,2103,308.8275,1570.4175,145.2285,14.1986,MID,FOREREEF
ROT_2104A,2104,310.3475,1570.8325,145.2425,14.2025,MID,FOREREEF
ROT_2105A,2105,304.5675,1568.0175,145.1892,14.1766,MID,FOREREEF
ROT_2106A,2106,306.3425,1568.8625,145.2055,14.1844,MID,FOREREEF
ROT_2107A,2107,307.6025,1569.4125,145.2172,14.1894,MID,FOREREEF
ROT_2108A,2108,311.6875,1570.6475,145.2549,14.2009,MID,FOREREEF
ROT_2109A,2109,305.6125,1567.9975,145.1988,14.1765,MID,FOREREEF
ROT_2110A,2110,302.1225,1562.2425,145.1669,14.1243,MID,FOREREEF
ROT_2111A,2111,309.2375,1564.1175,145.2327,14.1417,MID,FOREREEF
ROT_2112A,2112,313.3125,1565.1775,145.2704,14.1516,MID,FOREREEF
ROT_2113A,2113,301.1875,1567.2025,145.1579,14.169,MID,FOREREEF
ROT_2114A,2114,302.7775,1567.2525,145.1726,14.1696,MID,FOREREEF
ROT_2115A,2115,306.4725,1561.0925,145.2073,14.1142,MID,FOREREEF
ROT_2116A,2116,304.9475,1568.1075,145.1927,14.1775,MID,FOREREEF
ROT_2117A,2117,311.2975,1570.7725,145.2513,14.202,MID,FOREREEF
ROT_2118A,2118,301.3575,1562.9925,145.1598,14.131,MID,FOREREEF
ROT_2119A,2119,314.7575,1566.0975,145.2837,14.16,MID,FOREREEF
ROT_2120A,2120,299.0475,1564.4525,145.1383,14.144,MID,FOREREEF
ROT_2121A,2121,306.2025,1568.8075,145.2042,14.1839,MID,FOREREEF
ROT_2122A,2122,307.6525,1561.6025,145.2182,14.1189,MID,FOREREEF
ROT_2123A,2123,302.4925,1560.6525,145.1705,14.1099,MID,FOREREEF
ROT_2124A,2124,299.1575,1563.5175,145.1394,14.1356,SHAL,FOREREEF
ROT_2125A,2125,308.0475,1562.3825,145.2218,14.1259,SHAL,FOREREEF
ROT_2126A,2126,301.8325,1567.2475,145.1639,14.1695,SHAL,FOREREEF
ROT_2127A,2127,309.6225,1570.4475,145.2358,14.1989,SHAL,FOREREEF
ROT_2128A,2128,306.9075,1561.2325,145.2113,14.1155,SHAL,FOREREEF
ROT_2129A,2129,306.3125,1568.4725,145.2053,14.1809,SHAL,FOREREEF
