SITE_ID,SITE_NO,X,Y,LONGITUDE,LATITUDE,DEPTH_BIN,REEF_ID
SAI_2113A,2113,369.1675,1680.6825,145.782,15.1988,DEEP,FOREREEF
SAI_2114A,2114,365.2175,1668.9525,145.7458,15.0926,DEEP,FOREREEF
SAI_2115A,2115,367.3275,1676.3225,145.7651,15.1593,DEEP,FOREREEF
SAI_2116A,2116,355.5275,1682.1675,145.6549,15.2115,DEEP,FOREREEF
SAI_2117A,2117,359.4325,1679.4525,145.6914,15.1872,DEEP,FOREREEF
SAI_2118A,2118,359.1375,1679.9275,145.6887,15.1915,DEEP,FOREREEF
SAI_2119A,2119,370.3025,1683.6175,145.7924,15.2254,DEEP,FOREREEF
SAI_2120A,2120,354.6775,1682.8175,145.647,15.2174,DEEP,FOREREEF
SAI_2121A,2121,358.3975,1673.9175,145.6821,15.1371,DEEP,FOREREEF
SAI_2122A,2122,359.2625,1680.5925,145.6898,15.1975,DEEP,FOREREEF
SAI_2123A,2123,357.7525,1674.0325,145.6761,15.1381,DEEP,FOREREEF
SAI_2124A,2124,358.0025,1674.7225,145.6784,15.1444,DEEP,FOREREEF
SAI_2125A,2125,370.7925,1689.4275,145.7967,15.278,DEEP,FOREREEF
SAI_2126A,2126,364.4425,1687.0625,145.7377,15.2563,DEEP,FOREREEF
SAI_2127A,2127,359.1725,1676.5025,145.6892,15.1605,DEEP,FOREREEF
SAI_2128A,2128,365.9025,1669.1575,145.7522,15.0945,DEEP,FOREREEF
SAI_2129A,2129,357.9225,1673.6175,145.6777,15.1344,DEEP,FOREREEF
SAI_2130A,2130,365.9575,1676.1275,145.7523,15.1575,DEEP,FOREREEF
SAI_2131A,2131,356.7825,1679.2625,145.6668,15.1853,DEEP,FOREREEF
SAI_2132A,2132,357.2225,1680.0625,145.6708,15.1926,DEEP,FOREREEF
SAI_2133A,2133,359.3975,1680.6475,145.691,15.198,DEEP,FOREREEF
SAI_2134A,2134,358.5325,1674.5325,145.6833,15.1427,DEEP,FOREREEF
SAI_2135A,2135,359.1925,1676.7775,145.6894,15.163,DEEP,FOREREEF
SAI_2136A,2136,359.9525,1679.8475,145.6963,15.1908,DEEP,FOREREEF
SAI_2137A,2137,352.0725,1678.1775,145.623,15.1753,DEEP,FOREREEF
SAI_2138A,2138,353.5725,1681.8175,145.6368,15.2083,DEEP,FOREREEF
SAI_2139A,2139,351.5525,1678.2375,145.6182,15.1758,DEEP,FOREREEF
SAI_2140A,2140,358.4325,1680.0325,145.6821,15.1924,DEEP,FOREREEF
SAI_2141A,2141,369.8275,1678.4825,145.7882,15.179,DEEP,FOREREEF
SAI_2142A,2142,358.8175,1683.0775,145.6855,15.2199,DEEP,FOREREEF
SAI_2143A,2143,359.8525,1678.9025,145.6954,15.1823,DEEP,FOREREEF
SAI_2144A,2144,359.2725,1679.4575,145.69,15.1872,DEEP,FOREREEF
SAI_2145A,2145,358.7075,1675.3275,145.6849,15.1499,DEEP,FOREREEF
SAI_2146A,2146,352.6125,1678.6725,145.628,15.1798,DEEP,FOREREEF
SAI_2147A,2147,358.4275,1674.3425,145.6824,15.141,DEEP,FOREREEF
SAI_2148A,2148,360.1425,1681.7225,145.6979,15.2078,MID,FOREREEF
SAI_2149A,2149,359.1375,1676.2075,145.6889,15.1579,MID,FOREREEF
SAI_2150A,2150,363.5125,1687.0625,145.729,15.2562,MID,FOREREEF
SAI_2151A,2151,359.4225,1682.5775,145.6912,15.2155,MID,FOREREEF
SAI_2152A,2152,363.0725,1670.4125,145.7258,15.1057,MID,FOREREEF
