SITE_ID,SITE_NO,X,Y,LONGITUDE,LATITUDE,DEPTH_BIN,REEF_ID
TIN_2076A,2076,355.0875,1647.8295,145.6528,14.9011,DEEP,FOREREEF
TIN_2077A,2077,349.4975,1665.3195,145.5998,15.0589,DEEP,FOREREEF
TIN_2078A,2078,349.8375,1665.5295,145.603,15.0608,DEEP,FOREREEF
TIN_2079A,2079,353.7775,1650.0695,145.6405,14.9213,DEEP,FOREREEF
TIN_2080A,2080,355.2925,1647.5495,145.6547,14.8986,DEEP,FOREREEF
TIN_2081A,2081,347.9325,1659.1345,145.5856,15.0029,DEEP,FOREREEF
TIN_2082A,2082,352.2925,1652.4245,145.6266,14.9425,DEEP,FOREREEF
TIN_2083A,2083,357.4875,1659.2145,145.6745,15.0042,DEEP,FOREREEF
TIN_2084A,2084,357.2175,1658.2195,145.672,14.9952,DEEP,FOREREEF
TIN_2085A,2085,354.0975,1650.1695,145.6435,14.9222,DEEP,FOREREEF
TIN_2086A,2086,353.0675,1669.0445,145.6328,15.0928,DEEP,FOREREEF
TIN_2087A,2087,349.9375,1657.1045,145.6044,14.9847,DEEP,FOREREEF
TIN_2088A,2088,355.7475,1665.9095,145.6579,15.0646,DEEP,FOREREEF
TIN_2089A,2089,350.3925,1655.5845,145.6087,14.971,DEEP,FOREREEF
TIN_2090A,2090,350.9275,1654.3195,145.6138,14.9596,DEEP,FOREREEF
TIN_2091A,2091,355.3725,1668.9195,145.6543,15.0918,DEEP,FOREREEF
TIN_2092A,2092,355.4075,1664.3995,145.6548,15.0509,MID,FOREREEF
TIN_2093A,2093,355.0775,1662.2245,145.6519,15.0312,MID,FOREREEF
TIN_2094A,2094,348.0575,1659.3045,145.5868,15.0045,MID,FOREREEF
TIN_2095A,2095,350.8575,1666.7995,145.6124,15.0724,MID,FOREREEF
TIN_2096A,2096,356.1625,1648.0345,145.6628,14.903,MID,FOREREEF
TIN_2097A,2097,352.5175,1653.5195,145.6286,14.9524,MID,FOREREEF
TIN_2098A,2098,356.7475,1648.1145,145.6682,14.9038,MID,FOREREEF
TIN_2099A,2099,347.9175,1659.9445,145.5854,15.0102,MID,FOREREEF
TIN_2100A,2100,351.9525,1654.0095,145.6233,14.9568,MID,FOREREEF
TIN_2101A,2101,350.0575,1665.6845,145.605,15.0622,MID,FOREREEF
TIN_2102A,2102,355.1775,1662.1795,145.6528,15.0308,MID,FOREREEF
TIN_2103A,2103,350.2475,1657.0595,145.6073,14.9843,MID,FOREREEF
TIN_2104A,2104,351.8825,1653.6695,145.6227,14.9537,MID,FOREREEF
TIN_2105A,2105,355.3725,1661.3945,145.6547,15.0238,MID,FOREREEF
TIN_2106A,2106,350.9875,1654.8545,145.6143,14.9644,MID,FOREREEF
TIN_2107A,2107,356.0375,1652.9695,145.6613,14.9476,MID,FOREREEF
TIN_2108A,2108,355.5325,1666.1695,145.6559,15.0669,MID,FOREREEF
TIN_2109A,2109,347.9825,1659.4945,145.5861,15.0062,MID,FOREREEF
TIN_2110A,2110,349.6375,1657.7745,145.6016,14.9907,MID,FOREREEF
TIN_2111A,2111,347.6125,1660.4595,145.5826,15.0149,MID,FOREREEF
TIN_2112A,2112,350.3725,1657.4495,145.6084,14.9878,SHAL,FOREREEF
TIN_2113A,2113,353.5025,1669.1695,145.6368,15.0939,SHAL,FOREREEF
TIN_2114A,2114,349.3275,1657.7595,145.5987,14.9906,SHAL,FOREREEF
TIN_2115A,2115,355.6725,1667.3945,145.6571,15.078,SHAL,FOREREEF
