stratum,stratum_name,sector_id,reef_id,depth_bin,area_km2
1,DEEP_HAW_HAMAK_FOREREEF,HAW_HAMAK,FOREREEF,DEEP,17.6
5,MID_HAW_HAMAK_FOREREEF,HAW_HAMAK,FOREREEF,MIDD,19.19
9,SHALLOW_HAW_HAMAK_FOREREEF,HAW_HAMAK,FOREREEF,SHAL,6.22
2,DEEP_HAW_KONA_FOREREEF,HAW_KONA,FOREREEF,DEEP,16.17
6,MID_HAW_KONA_FOREREEF,HAW_KONA,FOREREEF,MIDD,23.28
10,SHALLOW_HAW_KONA_FOREREEF,HAW_KONA,FOREREEF,SHAL,12.04
3,DEEP_HAW_PUNA_FOREREEF,HAW_PUNA,FOREREEF,DEEP,14.29
7,MID_HAW_PUNA_FOREREEF,HAW_PUNA,FOREREEF,MIDD,15.8
11,SHALLOW_HAW_PUNA_FOREREEF,HAW_PUNA,FOREREEF,SHAL,3.79
12,SHALLOW_HAW_SE_FOREREEF,HAW_SE,FOREREEF,SHAL,3.5
8,MID_HAW_SE_FOREREEF,HAW_SE,FOREREEF,MIDD,7.2
4,DEEP_HAW_SE_FOREREEF,HAW_SE,FOREREEF,DEEP,6.58
