stratum,stratum_name,sector_id,reef_id,depth_bin,area_km2
1,DEEP_MOL_NW_FOREREEF,MOL_NW,FOREREEF,DEEP,8.51
4,DEEP_MOL_WEST_FOREREEF,MOL_WEST,FOREREEF,DEEP,18.74
5,MID_MOL_NW_FOREREEF,MOL_NW,FOREREEF,MIDD,8.55
8,MID_MOL_WEST_FOREREEF,MOL_WEST,FOREREEF,MIDD,13.34
9,SHALLOW_MOL_NW_FOREREEF,MOL_NW,FOREREEF,SHAL,2.85
12,SHALLOW_MOL_WEST_FOREREEF,MOL_WEST,FOREREEF,SHAL,2.84
2,DEEP_MOL_PALI_FOREREEF,MOL_PALI,FOREREEF,DEEP,8.1
6,MID_MOL_PALI_FOREREEF,MOL_PALI,FOREREEF,MIDD,7.88
10,SHALLOW_MOL_PALI_FOREREEF,MOL_PALI,FOREREEF,SHAL,3.17
7,MID_MOL_SOUTH_FOREREEF,MOL_SOUTH,FOREREEF,MIDD,15.49
3,DEEP_MOL_SOUTH_FOREREEF,MOL_SOUTH,FOREREEF,DEEP,9.44
11,SHALLOW_MOL_SOUTH_FOREREEF,MOL_SOUTH,FOREREEF,SHAL,14.25
