stratum,stratum_name,sector_id,reef_id,depth_bin,area_km2
3,DEEP_OAH_NE_FOREREEF,OAH_NE,FOREREEF,DEEP,6.36
9,MID_OAH_NE_FOREREEF,OAH_NE,FOREREEF,MIDD,32.74
4,DEEP_OAH_NORTH_FOREREEF,OAH_NORTH,FOREREEF,DEEP,9.17
15,SHALLOW_OAH_NE_FOREREEF,OAH_NE,FOREREEF,SHAL,14.87
10,MID_OAH_NORTH_FOREREEF,OAH_NORTH,FOREREEF,MIDD,13.61
16,SHALLOW_OAH_NORTH_FOREREEF,OAH_NORTH,FOREREEF,SHAL,8.06
2,DEEP_OAH_KAENA_FOREREEF,OAH_KAENA,FOREREEF,DEEP,8.02
8,MID_OAH_KAENA_FOREREEF,OAH_KAENA,FOREREEF,MIDD,7.55
14,SHALLOW_OAH_KAENA_FOREREEF,OAH_KAENA,FOREREEF,SHAL,2.9
12,MID_OAH_SOUTH_FOREREEF,OAH_SOUTH,FOREREEF,MIDD,45.11
18,SHALLOW_OAH_SOUTH_FOREREEF,OAH_SOUTH,FOREREEF,SHAL,32.82
6,DEEP_OAH_SOUTH_FOREREEF,OAH_SOUTH,FOREREEF,DEEP,16.19
1,DEEP_OAH_EAST_FOREREEF,OAH_EAST,FOREREEF,DEEP,10.98
7,MID_OAH_EAST_FOREREEF,OAH_EAST,FOREREEF,MIDD,17.85
13,SHALLOW_OAH_EAST_FOREREEF,OAH_EAST,FOREREEF,SHAL,2.78
17,SHALLOW_OAH_PEARL_FOREREEF,OAH_PEARL,FOREREEF,SHAL,0.44
11,MID_OAH_PEARL_FOREREEF,OAH_PEARL,FOREREEF,MIDD,0.02
5,DEEP_OAH_PEARL_FOREREEF,OAH_PEARL,FOREREEF,DEEP,0
