stratum,stratum_name,sector_id,reef_id,depth_bin,area_km2
2,DEEP_FFS_SECTOR_FOREREEF,FFS_SECTOR,FOREREEF,DEEP,14.18
6,MID_FFS_SECTOR_FOREREEF,FFS_SECTOR,FOREREEF,MIDD,33.91
10,SHALLOW_FFS_SECTOR_FOREREEF,FFS_SECTOR,FOREREEF,SHAL,7.14
9,SHALLOW_FFS_SECTOR_BACKREEF,FFS_SECTOR,BACKREEF,SHAL,10.62
11,SHALLOW_FFS_SECTOR_LAGOON,FFS_SECTOR,LAGOON,SHAL,17.53
4,DEEP_FFS_SECTOR_PROTECTED SLOPE,FFS_SECTOR,PROTECTED SLOPE,DEEP,191.18
8,MID_FFS_SECTOR_PROTECTED SLOPE,FFS_SECTOR,PROTECTED SLOPE,MIDD,25.5
7,MID_FFS_SECTOR_LAGOON,FFS_SECTOR,LAGOON,MIDD,115.65
12,SHALLOW_FFS_SECTOR_PROTECTED SLOPE,FFS_SECTOR,PROTECTED SLOPE,SHAL,0.02
3,DEEP_FFS_SECTOR_LAGOON,FFS_SECTOR,LAGOON,DEEP,1.12
5,MID_FFS_SECTOR_BACKREEF,FFS_SECTOR,BACKREEF,MIDD,0.96
1,DEEP_FFS_SECTOR_BACKREEF,FFS_SECTOR,BACKREEF,DEEP,0.01
