stratum,stratum_name,sector_id,reef_id,depth_bin,area_km2
4,DEEP_KIN_SECTOR_PROTECTED SLOPE,KIN_SECTOR,PROTECTED SLOPE,DEEP,2.47
8,MID_KIN_SECTOR_PROTECTED SLOPE,KIN_SECTOR,PROTECTED SLOPE,MIDD,13.24
12,SHALLOW_KIN_SECTOR_PROTECTED SLOPE,KIN_SECTOR,PROTECTED SLOPE,SHAL,0.07
7,MID_KIN_SECTOR_LAGOON,KIN_SECTOR,LAGOON,MIDD,1.53
3,DEEP_KIN_SECTOR_LAGOON,KIN_SECTOR,LAGOON,DEEP,7.66
2,DEEP_KIN_SECTOR_FOREREEF,KIN_SECTOR,FOREREEF,DEEP,0.43
6,MID_KIN_SECTOR_FOREREEF,KIN_SECTOR,FOREREEF,MIDD,3.56
10,SHALLOW_KIN_SECTOR_FOREREEF,KIN_SECTOR,FOREREEF,SHAL,1.84
5,MID_KIN_SECTOR_BACKREEF,KIN_SECTOR,BACKREEF,MIDD,2.53
9,SHALLOW_KIN_SECTOR_BACKREEF,KIN_SECTOR,BACKREEF,SHAL,2.75
1,DEEP_KIN_SECTOR_BACKREEF,KIN_SECTOR,BACKREEF,DEEP,0.38
11,SHALLOW_KIN_SECTOR_LAGOON,KIN_SECTOR,LAGOON,SHAL,0.02
