id,x,y,longitude,latitude,depth,strat,depth_bin
s001,492.3787720014034,-1221.0133746222004,-171.06977416737135,-11.04551888708985,18,1,MID
s002,491.6623720014038,-1221.0133746222004,-171.07633297705328,-11.045517304370502,17.99944874513649,1,MID
s003,491.6623720014038,-1220.9327746222007,-171.07633278871046,-11.04478836028319,17.99854292870318,1,MID
s004,491.42357200140395,-1221.0133746222004,-171.07851924671988,-11.045516745220162,16.000014283546733,1,MID
s005,492.975772001403,-1222.0611746221975,-171.06431055567668,-11.054996369876488,9.663341618807296,1,MID
s006,492.975772001403,-1221.899974622198,-171.06431023805084,-11.05353848220041,13.981280338526227,1,MID
s007,492.975772001403,-1222.3029746221969,-171.06431103219893,-11.057183201127625,16.853802049759782,1,MID
s008,491.1847720014041,-1221.0939746222002,-171.0807057154127,-11.046245114256836,13.66847812527673,1,MID
s009,490.8265720014043,-1221.1745746222,-171.0839853348471,-11.046973166064785,16.2490811190231,1,MID
s010,490.94597200140424,-1221.1745746222,-171.0828921947868,-11.046973467390014,14.669601251734838,1,MID
s011,492.73697200140316,-1221.496974622199,-171.06649574681805,-11.049893289892267,16.64852097622513,1,MID
s012,490.11017200140475,-1222.5447746221962,-171.09054797535825,-11.059363313641601,18.01009333648369,2,DEEP
s013,490.94597200140424,-1223.4313746221937,-171.0828979281377,-11.067383882374399,20,2,DEEP
s014,491.90117200140367,-1220.9327746222007,-171.07414652432232,-11.044788903608195,25.998549422688146,2,DEEP
s015,490.2295720014047,-1221.3357746221996,-171.08945147618834,-11.04842948766721,18.803455047112216,2,DEEP
s016,491.5429720014039,-1223.4313746221937,-171.07743184933076,-11.067385332524559,25.875199586859026,2,DEEP
s017,491.06537200140417,-1223.5119746221935,-171.0818049147051,-11.068113123218469,21,2,DEEP
s018,492.975772001403,-1222.3835746221966,-171.06431119106193,-11.057912144807872,23.954729165175728,2,DEEP
s019,490.46837200140453,-1222.947774622195,-171.08726949624028,-11.063008993521132,25.04428957812277,2,DEEP
s020,492.73697200140316,-1221.4163746221993,-171.0664955826808,-11.049164345858314,21.990380653793956,2,DEEP
s021,491.5429720014039,-1220.9327746222007,-171.07742592086126,-11.04478808270036,25.99823548473455,2,DEEP
s022,491.304172001404,-1221.0133746222004,-171.07961238150864,-11.045516459724265,21.333542621220648,2,DEEP
s023,492.61757200140323,-1221.2551746221998,-171.06758839762736,-11.047706215558984,25.99039718912674,2,DEEP
s024,492.0205720014036,-1220.9327746222007,-171.0730533920858,-11.044789169350365,25.717002497842014,2,DEEP
s025,490.46837200140453,-1223.0283746221949,-171.08726971193235,-11.063737936532254,19.052644286552617,2,DEEP
