id,x,y,longitude,latitude,depth,strat,depth_bin
haw_0001,278.1269966832567,2201.422818467518,-155.1193,19.8965,26.2484291921538,1,DEEP
haw_0002,256.36219668329477,2217.645318467385,-155.3292,20.0404,25.894294526005837,1,DEEP
haw_0003,278.8101966832555,2200.0323184675294,-155.1126,19.884,20.834984972252144,1,DEEP
haw_0004,226.78939668334647,2229.2843184672897,-155.6135,20.1415,22.94846617521479,1,DEEP
haw_0005,204.87819668338477,2243.292318467175,-155.8252,20.2647,27.220325917286612,1,DEEP
haw_0006,232.98699668333563,2227.8423184673015,-155.554,20.1293,22.794067272818847,1,DEEP
haw_0007,274.6621966832628,2205.233818467487,-155.1528,19.9305,28.263480265555447,1,DEEP
haw_0008,234.25579668333341,2227.3788184673053,-155.5418,20.1253,23.05867784529363,1,DEEP
haw_0009,203.609396683387,2243.9618184671695,-155.8374,20.2705,20.02592876296853,1,DEEP
haw_0010,202.6821966833886,2243.7043184671716,-155.8462,20.2681,20.253659380343674,1,DEEP
haw_0011,277.83419668325723,2201.937818467514,-155.1222,19.9011,27.16097798695647,1,DEEP
haw_0012,249.72539668330637,2221.0443184673572,-155.3931,20.0702,23.205408271292296,1,DEEP
haw_0013,265.3413966832791,2212.7013184674256,-155.2428,19.9968,26.50367608933169,1,DEEP
haw_0014,209.75819668337624,2241.43831846719,-155.7782,20.2487,24.13045995193158,1,DEEP
haw_0015,272.7101966832662,2206.8818184674733,-155.1717,19.9452,21.771833129997734,1,DEEP
haw_0016,269.391796683272,2209.7658184674497,-155.2037,19.9708,24.18341650012117,1,DEEP
haw_0017,260.7053966832872,2215.5338184674024,-155.2874,20.0218,20.83704508295077,1,DEEP
haw_0018,201.85259668339006,2244.013318467169,-155.8542,20.2707,21.065009944582414,1,DEEP
haw_0019,197.16779668339825,2240.356818467199,-155.8984,20.237,20.2944626454821,1,DEEP
haw_0020,203.023796683388,2243.8588184671703,-155.843,20.2695,25.770034211468847,1,DEEP
haw_0021,274.3205966832634,2205.4913184674847,-155.1561,19.9328,18.60967565465655,1,DEEP
haw_0022,203.70699668338682,2243.8073184671707,-155.8365,20.2691,19.802377152088262,1,DEEP
haw_0023,230.79099668333947,2227.533318467304,-155.575,20.1262,21.711872909376208,1,DEEP
haw_0024,221.42139668335585,2233.1983184672576,-155.6654,20.176,27.556128925306123,1,DEEP
haw_0025,256.7037966832942,2217.284818467388,-155.3259,20.0371,19.71755761839874,1,DEEP
haw_0026,211.80779668337266,2240.8718184671948,-155.7585,20.2439,29.654374893207166,1,DEEP
haw_0027,217.51739668336268,2235.618818467238,-155.7031,20.1973,23.382183839901778,1,DEEP
haw_0028,203.17019668338776,2213.5768184674184,-155.8367,19.9962,24.27814066414496,2,DEEP
haw_0029,189.40859668341182,2160.1198184678565,-155.9591,19.5116,22.623229211470083,2,DEEP
haw_0030,201.9989966833898,2105.117818468307,-155.8307,19.0171,24.29906608413113,2,DEEP
haw_0031,189.40859668341182,2159.913818467858,-155.9591,19.5098,27.21907047169085,2,DEEP
haw_0032,202.19419668338946,2220.220318467364,-155.8471,20.056,19.935416557525315,2,DEEP
haw_0033,186.23659668341736,2172.273818467757,-155.9913,19.6208,24.942375889823445,2,DEEP
haw_0034,218.9325966833602,2093.1183184684055,-155.6683,18.9111,20.922393366899104,2,DEEP
haw_0035,182.6741966834236,2192.3588184675923,-156.0287,19.8015,29.447135925293,2,DEEP
haw_0036,187.21259668341565,2196.3758184675594,-155.9861,19.8385,22.86029708725637,2,DEEP
haw_0037,202.48699668338895,2219.602318467369,-155.8442,20.0505,25.79148182333558,2,DEEP
haw_0038,197.07019668339842,2206.2638184674784,-155.8937,19.9293,18.686443965239032,2,DEEP
haw_0039,188.0421966834142,2197.251318467552,-155.9783,19.8465,27.116526984739387,2,DEEP
haw_0040,196.6309966833992,2141.0648184680126,-155.8873,19.3408,20.98842145926557,2,DEEP
haw_0041,180.18539668342794,2189.835318467613,-156.052,19.7783,25.691735311336746,2,DEEP
haw_0042,188.62779668341318,2164.3943184678214,-155.9673,19.5501,29.180195194448363,2,DEEP
haw_0043,203.21899668338767,2213.4223184674197,-155.8362,19.9948,19.373547861931097,2,DEEP
haw_0044,193.16619668340525,2118.816818468195,-155.9167,19.1394,19.671954027951777,2,DEEP
haw_0045,197.46059668339774,2227.6363184673032,-155.8935,20.1222,28.46664728426513,2,DEEP
haw_0046,194.9717966834021,2202.8133184675066,-155.9131,19.8978,25.15481781710275,2,DEEP
haw_0047,191.75099668340772,2198.0753184675455,-155.9431,19.8545,22.639030642159643,2,DEEP
haw_0048,196.43579668339953,2237.4728184672226,-155.9049,20.2108,23.366845176687995,2,DEEP
haw_0049,196.14299668340004,2204.4098184674936,-155.9022,19.9124,22.742672832036128,2,DEEP
haw_0050,203.36539668338742,2215.327818467404,-155.8351,20.0121,20.476787539308862,2,DEEP
haw_0051,199.60779668339399,2208.6843184674585,-155.8699,19.9515,21.227540627076245,2,DEEP
haw_0052,218.49339668336097,2092.7578184684085,-155.6724,18.9078,18.877466130127722,2,DEEP
haw_0053,201.85259668339006,2220.5293184673615,-155.8504,20.0588,27.394851474339234,2,DEEP
haw_0054,297.3053966832232,2168.359818467789,-154.9326,19.6,25.831042870829616,3,DEEP
haw_0055,300.2333966832181,2165.2698184678143,-154.9044,19.5723,24.642508619987485,3,DEEP
haw_0056,282.0309966832499,2194.6248184675737,-155.0812,19.8355,19.817395405976935,3,DEEP
haw_0057,293.40139668323,2173.715818467745,-154.9704,19.6479,21.574078563937896,3,DEEP
haw_0058,288.3749966832388,2183.6553184676636,-155.0194,19.7372,21.554318834120142,3,DEEP
haw_0059,293.15739668323044,2174.436818467739,-154.9728,19.6544,18.69372145599197,3,DEEP
haw_0060,281.54299668325075,2197.663318467549,-155.0862,19.8629,29.617639541626,3,DEEP
haw_0061,305.991796683208,2162.5403184678366,-154.8492,19.5483,25.57830080525391,3,DEEP
haw_0062,293.54779668322976,2175.7243184677286,-154.9692,19.6661,25.067403514979485,3,DEEP
haw_0063,281.88459668325015,2185.663818467647,-155.0816,19.7546,26.953470557186286,3,DEEP
haw_0064,285.6909966832435,2185.097318467652,-155.0452,19.7499,29.44888399520618,3,DEEP
haw_0065,301.3069966832162,2147.50231846796,-154.8923,19.412,19.752413518281642,3,DEEP
haw_0066,281.6893966832505,2185.560818467648,-155.0834,19.7536,24.87615665608879,3,DEEP
haw_0067,281.6893966832505,2189.7838184676134,-155.0839,19.7918,29.5570329533706,3,DEEP
haw_0068,280.0789966832533,2198.5388184675417,-155.1003,19.8707,21.548270687635654,3,DEEP
haw_0069,285.59339668324367,2184.2733184676586,-155.046,19.7424,20.544114558479563,3,DEEP
haw_0070,231.71819668333785,2111.5553184682544,-155.5495,19.0793,28.95290920741717,4,DEEP
haw_0071,231.66939668333794,2109.5983184682705,-155.5497,19.0616,24.556701494501734,4,DEEP
haw_0072,232.35259668333674,2112.0188184682506,-155.5436,19.0836,18.04236474027097,4,DEEP
haw_0073,264.21899668328103,2131.4343184680915,-155.2433,19.2628,26.387847229877984,4,DEEP
haw_0074,232.2549966833369,2111.9158184682515,-155.5445,19.0826,23.04911596980904,4,DEEP
haw_0075,272.90539668326585,2131.3313184680924,-155.1607,19.2629,23.48264298688757,4,DEEP
haw_0076,231.5717966833381,2110.370818468264,-155.5508,19.0686,21.536706486105317,4,DEEP
haw_0077,274.27179668326346,2131.9493184680873,-155.1478,19.2686,24.12168354516953,4,DEEP
haw_0078,263.682196683282,2213.628318467418,-155.2588,20.005,7.539092882329967,5,MID
haw_0079,222.98299668335312,2232.168318467266,-155.6503,20.167,9.624582267477479,5,MID
haw_0080,211.612596683373,2240.6658184671965,-155.7603,20.242,14.840685706730294,5,MID
