id,x,y,longitude,latitude,depth,strat,depth_bin
mol_0001,705.91802477416,2344.4742244025992,-157.0164,21.1901,46.885991588256736,1,DEEP
mol_0002,700.9780247741688,2344.9728244025964,-157.0639,21.1951,40.51171563838859,1,DEEP
mol_0003,707.2180247741577,2344.0864244026006,-157.004,21.1864,30.63325792127652,1,DEEP
mol_0004,693.4380247741823,2346.745624402588,-157.1363,21.212,45.768123123252444,1,DEEP
mol_0005,681.8940247742029,2348.629224402579,-157.2473,21.2302,47.43098310386468,1,DEEP
mol_0006,694.6340247741801,2345.582224402594,-157.125,21.2013,29.35487145966465,1,DEEP
mol_0007,702.0700247741669,2344.5850244025987,-157.0535,21.1915,33.90619694751028,1,DEEP
mol_0008,712.5740247741481,2345.9146244025924,-156.9522,21.2023,46.401762478865535,2,DEEP
mol_0009,735.2980247741076,2343.1446244026056,-156.7338,21.1745,42.35834605624727,2,DEEP
mol_0010,721.5700247741321,2343.7540244026022,-156.8658,21.1817,45.08732985769734,2,DEEP
mol_0011,730.3060247741165,2343.8094244026024,-156.7817,21.1812,38.49757095258069,2,DEEP
mol_0012,713.2500247741469,2343.6432244026028,-156.9459,21.1817,19.46792480084466,2,DEEP
mol_0013,723.0780247741294,2342.4798244026088,-156.8515,21.1701,20.39973164104941,2,DEEP
mol_0014,718.1380247741382,2343.0892244026054,-156.899,21.1762,48.648549692153026,2,DEEP
mol_0015,713.6140247741463,2343.8094244026024,-156.9424,21.1832,33.88064383718478,2,DEEP
mol_0016,685.8460247741958,2331.067424402663,-157.2112,21.0712,47.79894328137481,3,DEEP
mol_0017,713.3020247741468,2329.0730244026727,-156.9473,21.0502,22.016474686600354,3,DEEP
mol_0018,716.3700247741414,2326.0260244026867,-156.9181,21.0223,35.223902080256224,3,DEEP
mol_0019,717.4100247741395,2325.7490244026885,-156.9082,21.0197,39.05330048851414,3,DEEP
mol_0020,730.3060247741165,2330.513424402666,-156.7835,21.0611,24.25663899543393,3,DEEP
mol_0021,719.4380247741359,2325.9152244026873,-156.8886,21.0209,40.222823856110026,3,DEEP
mol_0022,730.3580247741164,2330.7350244026647,-156.783,21.0631,19.989914542622824,3,DEEP
mol_0023,739.0940247741008,2338.3802244026283,-156.6979,21.131,41.60018369913938,3,DEEP
mol_0024,695.9860247741777,2332.0646244026584,-157.1135,21.0791,44.44276063453598,3,DEEP
mol_0025,731.5540247741143,2331.455224402661,-156.7714,21.0695,20.89033850235767,3,DEEP
mol_0026,677.6300247742105,2332.009224402658,-157.2901,21.0805,29.217725169342312,4,DEEP
mol_0027,676.9020247742118,2340.0422244026204,-157.2963,21.1531,28.0762945619601,4,DEEP
mol_0028,677.6820247742104,2331.8984244026587,-157.2896,21.0795,29.80881619027853,4,DEEP
mol_0029,676.2780247742129,2332.6186244026558,-157.3031,21.0861,27.962856003079526,4,DEEP
mol_0030,674.9780247742152,2335.444024402642,-157.3153,21.1118,19.355516503195545,4,DEEP
mol_0031,679.3460247742074,2331.5660244026603,-157.2737,21.0763,29.470289669594138,4,DEEP
mol_0032,673.2620247742183,2335.277824402643,-157.3318,21.1104,29.756242580767264,4,DEEP
mol_0033,675.0300247742151,2331.8984244026587,-157.3152,21.0797,39.28997273429815,4,DEEP
mol_0034,681.3740247742038,2331.7876244026593,-157.2541,21.0781,19.57867726437472,4,DEEP
mol_0035,675.3940247742145,2339.432824402623,-157.3109,21.1478,34.28513258069881,4,DEEP
mol_0036,675.9140247742135,2337.4384244026323,-157.3061,21.1297,20.006766084708765,4,DEEP
mol_0037,710.3380247741521,2347.2996244025853,-156.9735,21.2151,14.183954346772396,5,MID
mol_0038,682.7260247742014,2347.410424402585,-157.2394,21.2191,7.348153555830149,5,MID
mol_0039,723.7020247741283,2342.3690244026093,-156.8455,21.169,8.585216034050937,6,MID
mol_0040,727.238024774122,2343.255424402605,-156.8113,21.1765,16.629959611044534,6,MID
mol_0041,722.3500247741307,2327.5772244026793,-156.8604,21.0356,6.4777880560713275,7,MID
mol_0042,733.7900247741103,2334.059024402649,-156.7495,21.0927,13.231158667236446,7,MID
mol_0043,735.1940247741078,2336.164224402639,-156.7357,21.1115,16.531558532511628,7,MID
mol_0044,720.9980247741331,2327.1340244026815,-156.8735,21.0318,17.932210345291818,7,MID
mol_0045,708.3620247741557,2330.6796244026646,-156.9946,21.0652,15.07073361694017,7,MID
mol_0046,676.0700247742133,2337.383024402633,-157.3046,21.1292,17.17746757012286,8,MID
mol_0047,683.5580247741999,2332.175424402658,-157.2331,21.0814,9.103547428646698,8,MID
mol_0048,676.0700247742133,2335.8872244026397,-157.3047,21.1157,8.854566072401568,8,MID
mol_0049,680.698024774205,2342.09202440261,-157.2595,21.1713,8.37187915455031,8,MID
mol_0050,702.7980247741656,2344.1972244026,-157.0465,21.1879,2.8800601846962546,9,SHAL
mol_0051,720.2700247741344,2341.9812244026107,-156.8786,21.1659,3.303544149594197,10,SHAL
mol_0052,708.4140247741556,2330.9012244026635,-156.9941,21.0672,5.030899296457633,11,SHAL
mol_0053,731.9700247741135,2333.560424402651,-156.7671,21.0884,0.9912423839784603,11,SHAL
mol_0054,726.2500247741237,2329.2392244026714,-156.8227,21.0501,5.822815749199446,11,SHAL
mol_0055,721.1020247741329,2327.52182440268,-156.8724,21.0352,3.7462006632730547,11,SHAL
mol_0056,683.5060247742,2332.3416244026566,-157.2335,21.0829,3.9226564585551933,12,SHAL
