id,x,y,longitude,latitude,depth,strat,depth_bin
lis_0001,811.9354614499808,2866.1900263502075,-173.8872,25.8809,27.36545541551378,1,DEEP
lis_0002,812.4243006499802,2876.4556495501174,-173.8798,25.9733,12.300522380405003,2,MID
lis_0003,810.285629149983,2876.761174050115,-173.9011,25.9765,6.817104498545329,2,MID
lis_0004,803.0752509499927,2882.6272444500637,-173.9717,26.0309,7.121470027499729,2,MID
lis_0005,809.0024262499848,2874.5002927501346,-173.9144,25.9564,8.17560206519233,2,MID
lis_0006,802.036467649994,2880.1219435500852,-173.9826,26.0086,9.358330090840658,2,MID
lis_0007,807.0470694499874,2885.804699250036,-173.9313,26.0588,11.364144219292534,2,MID
lis_0008,800.0811108499967,2882.8105591500616,-174.0015,26.0332,9.566202110714382,2,MID
lis_0009,802.2808872499937,2887.7600560500186,-173.9784,26.0774,9.875780847337511,2,MID
lis_0010,801.2421039499951,2886.4157482500304,-173.9891,26.0655,6.002882215711805,2,MID
lis_0011,801.9142578499942,2886.5379580500294,-173.9824,26.0664,6.048487769232856,2,MID
lis_0012,809.3079507499843,2885.743594350036,-173.9087,26.0577,12.82487784491645,2,MID
lis_0013,811.8743565499809,2883.2993983500573,-173.8837,26.0351,13.718322118123373,2,MID
lis_0014,810.2245242499831,2883.3605032500573,-173.9002,26.036,13.149477746751574,2,MID
lis_0015,809.1857409499845,2882.382824850066,-173.9108,26.0274,8.35190561082628,2,MID
lis_0016,813.4019790499789,2874.9280270501313,-173.8705,25.9593,15.279600143432617,2,MID
lis_0017,802.6475166499932,2889.165468750006,-173.9744,26.09,15.279388851589626,2,MID
lis_0018,802.097572549994,2879.2664749500927,-173.9822,26.0008,9.732919692993164,2,MID
lis_0019,800.4477402499962,2881.0996219500767,-173.9983,26.0177,14.114477687411839,2,MID
lis_0020,804.9695028499901,2875.294656450128,-173.9545,25.9644,11.588222079806858,2,MID
lis_0021,798.4923834499988,2879.8164190500884,-174.0181,26.0065,15.396588961283365,2,MID
lis_0022,802.830831349993,2882.199510150067,-173.9742,26.0271,7.272921032375759,2,MID
lis_0023,808.6357968499852,2873.4004045501442,-173.9184,25.9466,9.331621064080132,2,MID
lis_0024,811.813251649981,2876.883383850114,-173.8858,25.9773,8.9616912206014,2,MID
lis_0025,811.5077271499814,2882.9327689500606,-173.8874,26.0319,12.680144415961372,2,MID
lis_0026,801.8531529499943,2878.716530850098,-173.9848,25.9959,7.8661310407850475,2,MID
lis_0027,804.297348949991,2879.6331043500895,-173.9602,26.0037,5.040038850572374,3,SHAL
lis_0028,807.2303841499871,2879.3275798500927,-173.931,26.0003,5.507890012529161,3,SHAL
lis_0029,804.9083979499902,2880.855202350079,-173.9538,26.0146,3.6723611089918347,3,SHAL
lis_0030,803.0752509499927,2881.955090550069,-173.9718,26.0249,5.73886325624254,3,SHAL
lis_0031,808.6357968499852,2876.1501250501206,-173.9177,25.9714,4.814477814568414,3,SHAL
lis_0032,803.564090149992,2886.8434825500262,-173.9658,26.0689,1.2240899801254272,3,SHAL
lis_0033,803.8696146499916,2884.7048110500455,-173.9633,26.0495,4.3757411109076605,3,SHAL
lis_0034,806.6193351499879,2880.488572950082,-173.9368,26.0109,3.2398062646389008,3,SHAL
