id,x,y,longitude,latitude,depth,strat,depth_bin
bak_0001,559.0519009430179,21.846374101067205,-176.4693,0.1976,4.694827079772949,1,SHAL
bak_0002,557.2269009430197,21.656374101067243,-176.4857,0.1959,2.590773105621338,1,SHAL
bak_0003,558.2269009430188,22.346374101067106,-176.4767,0.2022,3.55074405670166,1,SHAL
bak_0004,559.0619009430179,20.961374101067378,-176.4692,0.1896,5.494091033935547,1,SHAL
bak_0005,559.116900943018,21.391374101067292,-176.4687,0.1935,3.727710008621216,1,SHAL
bak_0006,559.126900943018,22.291374101067113,-176.4686,0.2017,4.991087913513184,1,SHAL
bak_0007,558.8419009430181,22.496374101067076,-176.4712,0.2035,11.432869911193848,2,MID
bak_0008,559.7319009430173,20.74137410106742,-176.4632,0.1876,16.06999969482422,2,MID
bak_0009,559.8669009430173,21.06637410106736,-176.462,0.1906,10.460000038146973,2,MID
bak_0010,559.8019009430172,21.586374101067257,-176.4626,0.1953,9.600000381469727,2,MID
bak_0011,559.046900943018,20.661374101067437,-176.4694,0.1869,7.809999942779541,2,MID
bak_0012,556.9019009430199,21.21637410106733,-176.4886,0.1919,11.710000038146973,2,MID
bak_0013,558.8119009430181,22.566374101067062,-176.4715,0.2042,13.791930198669434,2,MID
bak_0014,560.0269009430172,20.796374101067414,-176.4606,0.1881,20.790000915527344,3,DEEP
bak_0015,559.2219009430178,22.516374101067072,-176.4678,0.2037,19.760000228881836,3,DEEP
bak_0016,560.3019009430168,20.8413741010674,-176.4581,0.1885,19.040000915527344,3,DEEP
