id,x,y,longitude,latitude,depth,strat,depth_bin
joh_0001,661.4195040639094,1856.38600000001,-169.4854,16.785,3.9033010005950928,1,SHAL
joh_0002,654.4275040640747,1850.4500000001503,-169.5514,16.7318,2.2738289833068848,1,SHAL
joh_0003,655.8275040640416,1852.2260000001083,-169.5381,16.7478,0.9211121201515198,1,SHAL
joh_0004,656.9275040640156,1853.6900000000737,-169.5277,16.7609,0.7577056884765625,1,SHAL
joh_0005,657.5355040640012,1854.314000000059,-169.522,16.7665,0.12567520141601563,1,SHAL
joh_0006,654.6235040640701,1850.8140000001417,-169.5495,16.7351,1.4528579711914063,1,SHAL
joh_0007,663.6635040638563,1856.4220000000091,-169.4643,16.7852,4.916831970214844,1,SHAL
joh_0008,660.4075040639333,1855.7180000000258,-169.4949,16.779,3.5402638912200928,1,SHAL
joh_0009,660.9595040639202,1856.1660000000152,-169.4897,16.783,5.799530029296875,1,SHAL
joh_0010,654.7475040640671,1850.9140000001394,-169.5483,16.736,0.0801849365234375,1,SHAL
joh_0011,653.651504064093,1848.8020000001893,-169.5588,16.717,0.8813971877098083,1,SHAL
joh_0012,653.8675040640879,1849.4580000001738,-169.5567,16.7229,5.098780155181885,1,SHAL
joh_0013,656.231504064032,1852.830000000094,-169.5343,16.7532,1.7146799564361572,1,SHAL
joh_0014,653.8275040640889,1849.4420000001742,-169.5571,16.7227,5.931103229522705,1,SHAL
joh_0015,659.9435040639443,1855.330000000035,-169.4993,16.7755,2.8040409088134766,1,SHAL
joh_0016,658.2675040639839,1854.7220000000493,-169.5151,16.7702,1.8026310205459595,1,SHAL
joh_0017,659.5955040639525,1855.1300000000397,-169.5026,16.7738,1.1025160551071167,1,SHAL
joh_0018,655.4155040640513,1851.73400000012,-169.542,16.7434,2.074122905731201,1,SHAL
joh_0019,654.247504064079,1850.1340000001578,-169.5531,16.729,1.292585015296936,1,SHAL
joh_0020,655.9835040640379,1852.5700000001002,-169.5366,16.7509,1.9791369438171387,1,SHAL
joh_0021,655.0315040640604,1851.3180000001298,-169.5457,16.7396,2.8616580963134766,1,SHAL
joh_0022,653.5915040640945,1848.1260000002053,-169.5594,16.7109,3.35514497756958,1,SHAL
joh_0023,653.5635040640951,1848.5020000001964,-169.5596,16.7143,3.1242830753326416,1,SHAL
joh_0024,653.6195040640938,1849.1020000001822,-169.559,16.7197,5.8525919914245605,1,SHAL
joh_0025,654.455504064074,1850.5340000001484,-169.5511,16.7326,0.7674903869628906,1,SHAL
joh_0026,659.4435040639561,1855.078000000041,-169.504,16.7733,0.9122200012207031,1,SHAL
joh_0027,655.7355040640438,1852.2060000001088,-169.539,16.7476,5.551342010498047,1,SHAL
joh_0028,654.4875040640733,1850.4700000001499,-169.5508,16.732,2.5347180366516113,1,SHAL
joh_0029,658.6075040639759,1854.858000000046,-169.5119,16.7714,3.871735095977783,1,SHAL
