id,x,y,longitude,latitude,depth,strat,depth_bin
tau_0001,662.4020999960587,-1578.1080685357429,-169.49452751061878,-14.26995269881641,5.980075096430422,1,SHAL
tau_0002,669.9942999960526,-1576.8936685357448,-169.42424237130714,-14.258521582729555,4.039343459631707,2,SHAL
tau_0003,667.5292999960545,-1571.833668535753,-169.4473981627066,-14.212936733061285,2.891150747504726,2,SHAL
tau_0004,661.9090999960592,-1572.339668535752,-169.49944109613145,-14.217842718012644,3.9028023314994145,2,SHAL
tau_0005,661.3174999960597,-1575.7804685357464,-169.50471804214257,-14.248977505248593,12.104517120341972,3,MID
tau_0006,661.5146999960596,-1576.1852685357458,-169.50286646716998,-14.252624913455207,11.668243786774124,3,MID
tau_0007,662.4020999960587,-1578.2092685357425,-169.4945214345439,-14.270867410652123,9.265059027472645,3,MID
tau_0008,661.8104999960592,-1577.0960685357445,-169.50007083805994,-14.260840130908282,15.707708642713822,3,MID
tau_0009,661.3174999960597,-1571.833668535753,-169.5049527116327,-14.213303457364384,17.50846315388402,4,MID
tau_0010,663.9796999960574,-1577.7032685357435,-169.47993128814852,-14.266201052590766,7.7623562456688315,4,MID
tau_0011,670.4872999960521,-1574.5660685357484,-169.4198202043336,-14.237453680414024,13.993849939729955,4,MID
tau_0012,661.3174999960597,-1575.5780685357468,-169.50473009228327,-14.247148069575529,11.904767702688094,4,MID
tau_0013,665.4586999960563,-1576.1852685357458,-169.46631741975597,-14.252392730713224,13.691893995457647,4,MID
tau_0014,664.0782999960575,-1572.0360685357527,-169.47936048582773,-14.214971596691697,7.587108297950652,4,MID
tau_0015,665.1628999960565,-1576.3876685357454,-169.46904623312136,-14.254239743091608,13.618715605570607,4,MID
tau_0016,670.1914999960525,-1572.1372685357524,-169.42271341637945,-14.215519384683255,7.6355893894390565,4,MID
tau_0017,663.8810999960576,-1571.9348685357527,-169.4811937377002,-14.214068498454878,12.98071127081911,4,MID
tau_0018,664.571299996057,-1577.2984685357442,-169.4744732366009,-14.262507207158963,16.385028941106295,4,MID
tau_0019,670.5858999960521,-1572.2384685357524,-169.41905286170174,-14.216409935372024,12.82785048900979,4,MID
tau_0020,668.9096999960534,-1576.6912685357452,-169.43430599067236,-14.25675841713747,17.333401293006755,4,MID
tau_0021,664.3740999960571,-1577.3996685357438,-169.4762946154536,-14.263433599479983,10.49702040027446,4,MID
tau_0022,660.1342999960607,-1574.4648685357488,-169.51576043867706,-14.237154570299957,9.890856325495696,4,MID
tau_0023,663.8810999960576,-1577.9056685357432,-169.48083280807066,-14.268036291297811,11.333881118028387,4,MID
tau_0024,663.0922999960583,-1571.9348685357527,-169.48850231283055,-14.214114804740364,15.440373266803292,4,MID
tau_0025,659.9370999960609,-1574.0600685357495,-169.5176116650855,-14.23350702501288,10.416503571932957,4,MID
tau_0026,663.2894999960581,-1578.4116685357421,-169.48628499216449,-14.272644721065731,8.457434647910823,4,MID
tau_0027,660.92309999606,-1571.9348685357527,-169.5086010293032,-14.214240996300203,10.070230567574635,4,MID
tau_0028,659.9370999960609,-1573.8576685357498,-169.5176235978266,-14.231677576210702,9.053254608933605,4,MID
tau_0029,660.92309999606,-1572.0360685357527,-169.50859503450098,-14.21515571830775,7.515351931178329,4,MID
tau_0030,663.2894999960581,-1578.6140685357418,-169.4862727706614,-14.274474137275131,12.627855631800887,4,MID
tau_0031,669.599899996053,-1577.0960685357445,-169.42788459213116,-14.26037507525595,14.359767777931708,4,MID
tau_0032,666.7404999960552,-1575.8816685357465,-169.45445780867513,-14.24957197814784,14.841920287051591,4,MID
tau_0033,659.8384999960608,-1572.946868535751,-169.51859089762078,-14.223450717816503,11.127353725353293,4,MID
tau_0034,663.6838999960578,-1572.0360685357527,-169.48301478148844,-14.214994807180302,10.171879422952706,4,MID
tau_0035,660.6272999960602,-1572.1372685357524,-169.51132981057492,-14.216087519703075,14.332664170375846,4,MID
tau_0036,659.8384999960608,-1573.2504685357508,-169.5185730203244,-14.226194894002221,12.263202189440268,4,MID
tau_0037,664.3740999960571,-1571.9348685357527,-169.4766258916197,-14.21403944370016,12.211012746112019,4,MID
tau_0038,659.8384999960608,-1573.1492685357507,-169.5185789798464,-14.225280168679316,9.69207467343555,4,MID
tau_0039,662.007699996059,-1577.7032685357435,-169.49820695761213,-14.266316910272636,22.562083266372746,5,DEEP
tau_0040,662.9936999960582,-1578.9176685357415,-169.4889959164075,-14.277235669380532,21.406304586510657,5,DEEP
