strat,strat_nam,sector_id,reef_id,depth_bin
7,DEEP_MAI_NW_FOREREEF,MAI_NW,FOREREEF,DEEP
15,MID_MAI_NW_FOREREEF,MAI_NW,FOREREEF,MIDD
22,SHALLOW_MAI_NW_FOREREEF,MAI_NW,FOREREEF,SHAL
4,DEEP_MAI_LAHAINA_FOREREEF,MAI_LAHAINA,FOREREEF,DEEP
12,MID_MAI_LAHAINA_FOREREEF,MAI_LAHAINA,FOREREEF,MIDD
20,SHALLOW_MAI_LAHAINA_FOREREEF,MAI_LAHAINA,FOREREEF,SHAL
6,DEEP_MAI_NE_FOREREEF,MAI_NE,FOREREEF,DEEP
14,MID_MAI_NE_FOREREEF,MAI_NE,FOREREEF,MIDD
2,DEEP_MAI_KAHULUI_FOREREEF,MAI_KAHULUI,FOREREEF,DEEP
21,SHALLOW_MAI_NE_FOREREEF,MAI_NE,FOREREEF,SHAL
10,MID_MAI_KAHULUI_FOREREEF,MAI_KAHULUI,FOREREEF,MIDD
18,SHALLOW_MAI_KAHULUI_FOREREEF,MAI_KAHULUI,FOREREEF,SHAL
19,SHALLOW_MAI_KIHEI_FOREREEF,MAI_KIHEI,FOREREEF,SHAL
11,MID_MAI_KIHEI_FOREREEF,MAI_KIHEI,FOREREEF,MIDD
3,DEEP_MAI_KIHEI_FOREREEF,MAI_KIHEI,FOREREEF,DEEP
9,MID_MAI_HANA_FOREREEF,MAI_HANA,FOREREEF,MIDD
1,DEEP_MAI_HANA_FOREREEF,MAI_HANA,FOREREEF,DEEP
17,SHALLOW_MAI_HANA_FOREREEF,MAI_HANA,FOREREEF,SHAL
23,SHALLOW_MAI_SE_FOREREEF,MAI_SE,FOREREEF,SHAL
16,MID_MAI_SE_FOREREEF,MAI_SE,FOREREEF,MIDD
8,DEEP_MAI_SE_FOREREEF,MAI_SE,FOREREEF,DEEP
5,DEEP_MAI_MOLOKINI_FOREREEF,MAI_MOLOKINI,FOREREEF,DEEP
13,MID_MAI_MOLOKINI_FOREREEF,MAI_MOLOKINI,FOREREEF,MIDD
