strat,strat_nam,sector_id,reef_id,depth_bin
3,DEEP_OAH_NE_FOREREEF,OAH_NE,FOREREEF,DEEP
9,MID_OAH_NE_FOREREEF,OAH_NE,FOREREEF,MIDD
4,DEEP_OAH_NORTH_FOREREEF,OAH_NORTH,FOREREEF,DEEP
15,SHALLOW_OAH_NE_FOREREEF,OAH_NE,FOREREEF,SHAL
10,MID_OAH_NORTH_FOREREEF,OAH_NORTH,FOREREEF,MIDD
16,SHALLOW_OAH_NORTH_FOREREEF,OAH_NORTH,FOREREEF,SHAL
2,DEEP_OAH_KAENA_FOREREEF,OAH_KAENA,FOREREEF,DEEP
8,MID_OAH_KAENA_FOREREEF,OAH_KAENA,FOREREEF,MIDD
14,SHALLOW_OAH_KAENA_FOREREEF,OAH_KAENA,FOREREEF,SHAL
12,MID_OAH_SOUTH_FOREREEF,OAH_SOUTH,FOREREEF,MIDD
18,SHALLOW_OAH_SOUTH_FOREREEF,OAH_SOUTH,FOREREEF,SHAL
6,DEEP_OAH_SOUTH_FOREREEF,OAH_SOUTH,FOREREEF,DEEP
1,DEEP_OAH_EAST_FOREREEF,OAH_EAST,FOREREEF,DEEP
7,MID_OAH_EAST_FOREREEF,OAH_EAST,FOREREEF,MIDD
13,SHALLOW_OAH_EAST_FOREREEF,OAH_EAST,FOREREEF,SHAL
17,SHALLOW_OAH_PEARL_FOREREEF,OAH_PEARL,FOREREEF,SHAL
11,MID_OAH_PEARL_FOREREEF,OAH_PEARL,FOREREEF,MIDD
5,DEEP_OAH_PEARL_FOREREEF,OAH_PEARL,FOREREEF,DEEP
