strat,strat_nam,sector_id,reef_id,depth_bin
2,DEEP_FFS_SECTOR_FOREREEF,FFS_SECTOR,FOREREEF,DEEP
6,MID_FFS_SECTOR_FOREREEF,FFS_SECTOR,FOREREEF,MIDD
10,SHALLOW_FFS_SECTOR_FOREREEF,FFS_SECTOR,FOREREEF,SHAL
9,SHALLOW_FFS_SECTOR_BACKREEF,FFS_SECTOR,BACKREEF,SHAL
11,SHALLOW_FFS_SECTOR_LAGOON,FFS_SECTOR,LAGOON,SHAL
4,DEEP_FFS_SECTOR_PROTECTED SLOPE,FFS_SECTOR,PROTECTED SLOPE,DEEP
8,MID_FFS_SECTOR_PROTECTED SLOPE,FFS_SECTOR,PROTECTED SLOPE,MIDD
7,MID_FFS_SECTOR_LAGOON,FFS_SECTOR,LAGOON,MIDD
12,SHALLOW_FFS_SECTOR_PROTECTED SLOPE,FFS_SECTOR,PROTECTED SLOPE,SHAL
3,DEEP_FFS_SECTOR_LAGOON,FFS_SECTOR,LAGOON,DEEP
5,MID_FFS_SECTOR_BACKREEF,FFS_SECTOR,BACKREEF,MIDD
1,DEEP_FFS_SECTOR_BACKREEF,FFS_SECTOR,BACKREEF,DEEP
