strat,strat_nam,sector_id,reef_id,depth_bin
4,DEEP_KIN_SECTOR_PROTECTED SLOPE,KIN_SECTOR,PROTECTED SLOPE,DEEP
8,MID_KIN_SECTOR_PROTECTED SLOPE,KIN_SECTOR,PROTECTED SLOPE,MIDD
12,SHALLOW_KIN_SECTOR_PROTECTED SLOPE,KIN_SECTOR,PROTECTED SLOPE,SHAL
7,MID_KIN_SECTOR_LAGOON,KIN_SECTOR,LAGOON,MIDD
3,DEEP_KIN_SECTOR_LAGOON,KIN_SECTOR,LAGOON,DEEP
2,DEEP_KIN_SECTOR_FOREREEF,KIN_SECTOR,FOREREEF,DEEP
6,MID_KIN_SECTOR_FOREREEF,KIN_SECTOR,FOREREEF,MIDD
10,SHALLOW_KIN_SECTOR_FOREREEF,KIN_SECTOR,FOREREEF,SHAL
5,MID_KIN_SECTOR_BACKREEF,KIN_SECTOR,BACKREEF,MIDD
9,SHALLOW_KIN_SECTOR_BACKREEF,KIN_SECTOR,BACKREEF,SHAL
1,DEEP_KIN_SECTOR_BACKREEF,KIN_SECTOR,BACKREEF,DEEP
11,SHALLOW_KIN_SECTOR_LAGOON,KIN_SECTOR,LAGOON,SHAL
