strat,strat_nam,sector_id,reef_id,depth_bin
5,MID_TUT_NE_OPEN_FOREREEF,TUT_NE_OPEN,FOREREEF,MIDD
13,SHALLOW_TUT_NE_OPEN_FOREREEF,TUT_NE_OPEN,FOREREEF,SHAL
6,MID_TUT_NW_OPEN_FOREREEF,TUT_NW_OPEN,FOREREEF,MIDD
14,SHALLOW_TUT_NW_OPEN_FOREREEF,TUT_NW_OPEN,FOREREEF,SHAL
15,SHALLOW_TUT_SE_OPEN_FOREREEF,TUT_SE_OPEN,FOREREEF,SHAL
7,MID_TUT_SE_OPEN_FOREREEF,TUT_SE_OPEN,FOREREEF,MIDD
2,MID_TUT_AUNUU_B_FOREREEF,TUT_AUNUU_B,FOREREEF,MIDD
10,SHALLOW_TUT_AUNUU_B_FOREREEF,TUT_AUNUU_B,FOREREEF,SHAL
1,MID_TUT_AUNUU_A_FOREREEF,TUT_AUNUU_A,FOREREEF,MIDD
9,SHALLOW_TUT_AUNUU_A_FOREREEF,TUT_AUNUU_A,FOREREEF,SHAL
8,MID_TUT_SW_OPEN_FOREREEF,TUT_SW_OPEN,FOREREEF,MIDD
16,SHALLOW_TUT_SW_OPEN_FOREREEF,TUT_SW_OPEN,FOREREEF,SHAL
11,SHALLOW_TUT_FAGALUA_FOREREEF,TUT_FAGALUA,FOREREEF,SHAL
3,MID_TUT_FAGALUA_FOREREEF,TUT_FAGALUA,FOREREEF,MIDD
12,SHALLOW_TUT_FAGATELE_FOREREEF,TUT_FAGATELE,FOREREEF,SHAL
4,MID_TUT_FAGATELE_FOREREEF,TUT_FAGATELE,FOREREEF,MIDD
