region,island,depth_bin,sector_id,reef_id,strat,strat_nam,strat_area,strat_sets
MHI,mai,DEEP,MAI_NW,FOREREEF,7,DEEP_MAI_NW_FOREREEF,3.585244076397463,6
MHI,mai,MIDD,MAI_NW,FOREREEF,15,MID_MAI_NW_FOREREEF,3.2329184126477504,6
MHI,mai,SHAL,MAI_NW,FOREREEF,22,SHALLOW_MAI_NW_FOREREEF,1.2594237126577155,6
MHI,mai,DEEP,MAI_LAHAINA,FOREREEF,4,DEEP_MAI_LAHAINA_FOREREEF,3.4810960632450576,9
MHI,mai,MIDD,MAI_LAHAINA,FOREREEF,12,MID_MAI_LAHAINA_FOREREEF,5.395945784275459,12
MHI,mai,SHAL,MAI_LAHAINA,FOREREEF,20,SHALLOW_MAI_LAHAINA_FOREREEF,2.9333124579627854,12
MHI,mai,DEEP,MAI_NE,FOREREEF,6,DEEP_MAI_NE_FOREREEF,10.108054650682243,24
MHI,mai,MIDD,MAI_NE,FOREREEF,14,MID_MAI_NE_FOREREEF,9.697919622958075,18
MHI,mai,DEEP,MAI_KAHULUI,FOREREEF,2,DEEP_MAI_KAHULUI_FOREREEF,5.093225264645747,6
MHI,mai,SHAL,MAI_NE,FOREREEF,21,SHALLOW_MAI_NE_FOREREEF,3.409992824506435,3
MHI,mai,MIDD,MAI_KAHULUI,FOREREEF,10,MID_MAI_KAHULUI_FOREREEF,8.49546965928964,18
MHI,mai,SHAL,MAI_KAHULUI,FOREREEF,18,SHALLOW_MAI_KAHULUI_FOREREEF,4.268017484285004,6
MHI,mai,SHAL,MAI_KIHEI,FOREREEF,19,SHALLOW_MAI_KIHEI_FOREREEF,2.7630748959828146,6
MHI,mai,MIDD,MAI_KIHEI,FOREREEF,11,MID_MAI_KIHEI_FOREREEF,6.949733866711125,15
MHI,mai,DEEP,MAI_KIHEI,FOREREEF,3,DEEP_MAI_KIHEI_FOREREEF,5.120572664160602,12
MHI,mai,MIDD,MAI_HANA,FOREREEF,9,MID_MAI_HANA_FOREREEF,3.1118302047958655,6
MHI,mai,DEEP,MAI_HANA,FOREREEF,1,DEEP_MAI_HANA_FOREREEF,2.8611457092430297,6
MHI,mai,SHAL,MAI_HANA,FOREREEF,17,SHALLOW_MAI_HANA_FOREREEF,1.632867646032788,6
MHI,mai,SHAL,MAI_SE,FOREREEF,23,SHALLOW_MAI_SE_FOREREEF,3.0398153860734145,6
MHI,mai,MIDD,MAI_SE,FOREREEF,16,MID_MAI_SE_FOREREEF,8.288844862955182,9
MHI,mai,DEEP,MAI_SE,FOREREEF,8,DEEP_MAI_SE_FOREREEF,10.29029468244929,12
MHI,mai,DEEP,MAI_MOLOKINI,FOREREEF,5,DEEP_MAI_MOLOKINI_FOREREEF,0.11144065302303326,1
MHI,mai,MIDD,MAI_MOLOKINI,FOREREEF,13,MID_MAI_MOLOKINI_FOREREEF,0.09237343836128728,1
