strat_id,strat_nam,sector_id,reef_id,depth_bin,strat_area,island,region
1,DEEP_HAW_HAMAK_FOREREEF,HAW_HAMAK,FOREREEF,DEEP,17.59578,HAW,MHI
5,MID_HAW_HAMAK_FOREREEF,HAW_HAMAK,FOREREEF,MIDD,19.189,HAW,MHI
9,SHALLOW_HAW_HAMAK_FOREREEF,HAW_HAMAK,FOREREEF,SHAL,6.21668,HAW,MHI
2,DEEP_HAW_KONA_FOREREEF,HAW_KONA,FOREREEF,DEEP,16.17479,HAW,MHI
6,MID_HAW_KONA_FOREREEF,HAW_KONA,FOREREEF,MIDD,23.27554,HAW,MHI
10,SHALLOW_HAW_KONA_FOREREEF,HAW_KONA,FOREREEF,SHAL,12.03535,HAW,MHI
3,DEEP_HAW_PUNA_FOREREEF,HAW_PUNA,FOREREEF,DEEP,14.28938,HAW,MHI
7,MID_HAW_PUNA_FOREREEF,HAW_PUNA,FOREREEF,MIDD,15.80076,HAW,MHI
11,SHALLOW_HAW_PUNA_FOREREEF,HAW_PUNA,FOREREEF,SHAL,3.79364,HAW,MHI
12,SHALLOW_HAW_SE_FOREREEF,HAW_SE,FOREREEF,SHAL,3.49743,HAW,MHI
8,MID_HAW_SE_FOREREEF,HAW_SE,FOREREEF,MIDD,7.20215,HAW,MHI
4,DEEP_HAW_SE_FOREREEF,HAW_SE,FOREREEF,DEEP,6.57562,HAW,MHI
1,DEEP_KAH_NORTH_FOREREEF,KAH_NORTH,FOREREEF,DEEP,3.9801,KAH,MHI
3,MID_KAH_NORTH_FOREREEF,KAH_NORTH,FOREREEF,MIDD,4.12036,KAH,MHI
5,SHALLOW_KAH_NORTH_FOREREEF,KAH_NORTH,FOREREEF,SHAL,1.55352,KAH,MHI
2,DEEP_KAH_SOUTH_FOREREEF,KAH_SOUTH,FOREREEF,DEEP,4.05126,KAH,MHI
4,MID_KAH_SOUTH_FOREREEF,KAH_SOUTH,FOREREEF,MIDD,4.0873,KAH,MHI
6,SHALLOW_KAH_SOUTH_FOREREEF,KAH_SOUTH,FOREREEF,SHAL,0.83763,KAH,MHI
1,DEEP_KAL_FOREREEF,KAL,FOREREEF,DEEP,0.46995,KAL,MHI
2,MID_KAL_FOREREEF,KAL,FOREREEF,MIDD,0.37685,KAL,MHI
3,SHALLOW_KAL_FOREREEF,KAL,FOREREEF,SHAL,0.19685,KAL,MHI
1,DEEP_KAU_EAST_FOREREEF,KAU_EAST,FOREREEF,DEEP,35.66238,KAU,MHI
3,MID_KAU_EAST_FOREREEF,KAU_EAST,FOREREEF,MIDD,56.24301,KAU,MHI
2,DEEP_KAU_NAPALI_FOREREEF,KAU_NAPALI,FOREREEF,DEEP,45.34546,KAU,MHI
5,SHALLOW_KAU_EAST_FOREREEF,KAU_EAST,FOREREEF,SHAL,19.80788,KAU,MHI
4,MID_KAU_NAPALI_FOREREEF,KAU_NAPALI,FOREREEF,MIDD,19.18399,KAU,MHI
6,SHALLOW_KAU_NAPALI_FOREREEF,KAU_NAPALI,FOREREEF,SHAL,4.04552,KAU,MHI
1,DEEP_LAN_NORTH_FOREREEF,LAN_NORTH,FOREREEF,DEEP,6.69283,LAN,MHI
3,MID_LAN_NORTH_FOREREEF,LAN_NORTH,FOREREEF,MIDD,6.60765,LAN,MHI
5,SHALLOW_LAN_NORTH_FOREREEF,LAN_NORTH,FOREREEF,SHAL,2.79898,LAN,MHI
2,DEEP_LAN_SOUTH_FOREREEF,LAN_SOUTH,FOREREEF,DEEP,5.62033,LAN,MHI
4,MID_LAN_SOUTH_FOREREEF,LAN_SOUTH,FOREREEF,MIDD,6.96589,LAN,MHI
