strat,strat_cells,cell_area,strat_area
1,223832,7.861153097958706e-5,17.595776202222932
5,244099,7.861153097958706e-5,19.188996100586223
9,79081,7.861153097958706e-5,6.216678481396724
2,205756,7.861153097958706e-5,16.174794168235916
6,296083,7.861153097958706e-5,23.275537927029077
10,153099,7.861153097958706e-5,12.035346781443799
3,181772,7.861153097958706e-5,14.2893752092215
7,200998,7.861153097958706e-5,15.800760503835042
11,48258,7.861153097958706e-5,3.7936352620129123
12,44490,7.861153097958706e-5,3.4974270132818286
8,91617,7.861153097958706e-5,7.202152633756828
4,83647,7.861153097958706e-5,6.575618731849519
