strat,strat_cells,tow_area,cell_area,strat_area,strat_sets
1,115011,3.5299999999999996e-4,7.398972202440326e-5,8.509631919748644,9
4,253254,3.5299999999999996e-4,7.398972202440326e-5,18.738193061568225,24
5,115553,3.5299999999999996e-4,7.398972202440326e-5,8.54973434908587,12
8,180288,3.5299999999999996e-4,7.398972202440326e-5,13.339459004335616,30
9,38563,3.5299999999999996e-4,7.398972202440326e-5,2.8532656504270633,6
12,38370,3.5299999999999996e-4,7.398972202440326e-5,2.8389856340763533,6
2,109444,3.5299999999999996e-4,7.398972202440326e-5,8.09773113723879,9
6,106501,3.5299999999999996e-4,7.398972202440326e-5,7.879979385320972,9
10,42883,3.5299999999999996e-4,7.398972202440326e-5,3.1729012495724853,6
7,209338,3.5299999999999996e-4,7.398972202440326e-5,15.48886042914453,18
3,127561,3.5299999999999996e-4,7.398972202440326e-5,9.438202931154905,12
11,192576,3.5299999999999996e-4,7.398972202440326e-5,14.248644708571483,18
