strat,strat_cells,cell_area,strat_area
3,83697,7.59313074388266e-5,6.3552226387074695
9,431192,7.59313074388266e-5,32.740972317162516
4,120764,7.59313074388266e-5,9.169768411542455
15,195855,7.59313074388266e-5,14.871526218431383
10,179196,7.59313074388266e-5,13.606586567807971
16,106109,7.59313074388266e-5,8.056995101026452
2,105560,7.59313074388266e-5,8.015308813242536
8,99382,7.59313074388266e-5,7.546205195885465
14,38152,7.59313074388266e-5,2.8969312414061124
12,594152,7.59313074388266e-5,45.1147381773937
18,432287,7.59313074388266e-5,32.82411709880803
6,213263,7.59313074388266e-5,16.193338418326476
1,144667,7.59313074388266e-5,10.984754453252727
7,235092,7.59313074388266e-5,17.85084292840862
13,36657,7.59313074388266e-5,2.7834139367850663
17,5788,7.59313074388266e-5,0.4394904074559283
11,241,7.59313074388266e-5,0.01829944509275721
5,4,7.59313074388266e-5,3.037252297553064e-4
