SITE_ID,SITE_NO,X,Y,LONGITUDE,LATITUDE,DEPTH_BIN,REEF_ID
KAH_0679A,0679,746.6341,2277.0286,-156.634,20.5761,DEEP,FOREREEF
KAH_0680A,0680,748.2524,2278.2794,-156.6183,20.5872,DEEP,FOREREEF
KAH_0681A,0681,751.3752,2280.1339,-156.5881,20.6035,DEEP,FOREREEF
KAH_0682A,0682,745.6544,2276.3025,-156.6435,20.5697,DEEP,FOREREEF
KAH_0683A,0683,754.1219,2280.1951,-156.5618,20.6037,DEEP,FOREREEF
KAH_0684A,0684,740.9133,2273.827,-156.6893,20.548,DEEP,FOREREEF
KAH_0685A,0685,747.3689,2277.8858,-156.6269,20.5838,DEEP,FOREREEF
KAH_0686A,0686,752.5211,2280.5538,-156.5771,20.6072,DEEP,FOREREEF
KAH_0687A,0687,745.4358,2276.1363,-156.6456,20.5682,DEEP,FOREREEF
KAH_0688A,0688,742.3917,2275.0954,-156.675,20.5592,DEEP,FOREREEF
KAH_0689A,0689,755.364,2273.6433,-156.5508,20.5444,DEEP,FOREREEF
KAH_0690A,0690,744.7097,2275.8739,-156.6526,20.566,DEEP,FOREREEF
KAH_0691A,0691,745.9606,2276.6524,-156.6405,20.5728,DEEP,FOREREEF
KAH_0692A,0692,754.7605,2279.9414,-156.5557,20.6013,DEEP,FOREREEF
KAH_0693A,0693,743.3101,2275.3491,-156.6661,20.5614,DEEP,FOREREEF
KAH_0694A,0694,745.8381,2276.425,-156.6417,20.5708,DEEP,FOREREEF
KAH_0695A,0695,749.4858,2279.0929,-156.6064,20.5944,DEEP,FOREREEF
KAH_0696A,0696,747.5176,2277.7109,-156.6255,20.5822,DEEP,FOREREEF
KAH_0697A,0697,745.0859,2275.9439,-156.649,20.5665,DEEP,FOREREEF
KAH_0698A,0698,747.2465,2277.6321,-156.6281,20.5815,DEEP,FOREREEF
KAH_0699A,0699,746.984,2277.2822,-156.6306,20.5784,DEEP,FOREREEF
KAH_0700A,0700,749.1971,2278.9967,-156.6092,20.5936,DEEP,FOREREEF
KAH_0701A,0701,738.849,2272.4799,-156.7093,20.5361,DEEP,FOREREEF
KAH_0702A,0702,737.9217,2271.2028,-156.7183,20.5247,DEEP,FOREREEF
KAH_0703A,0703,753.7545,2270.3193,-156.5667,20.5146,DEEP,FOREREEF
KAH_0704A,0704,738.0442,2271.9201,-156.7171,20.5311,DEEP,FOREREEF
KAH_0705A,0705,739.1901,2272.8036,-156.706,20.5389,DEEP,FOREREEF
KAH_0706A,0706,740.3885,2270.0481,-156.6948,20.5139,DEEP,FOREREEF
KAH_0707A,0707,757.5334,2272.165,-156.5302,20.5308,DEEP,FOREREEF
KAH_0708A,0708,738.8577,2272.34,-156.7092,20.5348,DEEP,FOREREEF
KAH_0709A,0709,750.3518,2271.0891,-156.5992,20.522,DEEP,FOREREEF
KAH_0710A,0710,757.3147,2271.3777,-156.5324,20.5237,DEEP,FOREREEF
KAH_0711A,0711,738.6653,2270.7217,-156.7113,20.5202,DEEP,FOREREEF
KAH_0712A,0712,738.2366,2272.27,-156.7152,20.5342,DEEP,FOREREEF
KAH_0713A,0713,738.1667,2271.8239,-156.7159,20.5302,DEEP,FOREREEF
KAH_0714A,0714,741.1845,2269.4358,-156.6873,20.5083,DEEP,FOREREEF
KAH_0715A,0715,737.5718,2271.8326,-156.7216,20.5304,DEEP,FOREREEF
KAH_0716A,0716,739.1901,2272.0863,-156.7061,20.5325,DEEP,FOREREEF
KAH_0717A,0717,741.7968,2268.9197,-156.6815,20.5035,DEEP,FOREREEF
KAH_0718A,0718,745.0334,2269.7945,-156.6504,20.511,DEEP,FOREREEF
KAH_0719A,0719,738.9977,2272.0076,-156.7079,20.5318,DEEP,FOREREEF
KAH_0720A,0720,738.1142,2270.468,-156.7166,20.518,DEEP,FOREREEF
KAH_0721A,0721,737.8693,2272.06,-156.7187,20.5324,DEEP,FOREREEF
KAH_0722A,0722,738.5341,2272.165,-156.7123,20.5333,DEEP,FOREREEF
KAH_0723A,0723,739.6275,2270.468,-156.7021,20.5178,DEEP,FOREREEF
KAH_0724A,0724,742.1467,2268.6486,-156.6782,20.5011,DEEP,FOREREEF
KAH_0725A,0725,750.7192,2270.6954,-156.5958,20.5184,DEEP,FOREREEF
KAH_0726A,0726,751.2178,2269.8382,-156.5911,20.5106,DEEP,FOREREEF
KAH_0727A,0727,745.392,2276.0051,-156.6461,20.5671,MID,FOREREEF
KAH_0728A,0728,753.4571,2280.2214,-156.5682,20.604,MID,FOREREEF
KAH_0729A,0729,746.9316,2276.9498,-156.6312,20.5754,MID,FOREREEF
KAH_0730A,0730,752.5386,2280.2214,-156.577,20.6042,MID,FOREREEF
KAH_0731A,0731,741.4294,2273.862,-156.6843,20.5482,MID,FOREREEF
KAH_0732A,0732,755.1191,2273.1272,-156.5532,20.5398,MID,FOREREEF
KAH_0733A,0733,746.1268,2276.5474,-156.639,20.5719,MID,FOREREEF
KAH_0734A,0734,747.0628,2277.2035,-156.6299,20.5777,MID,FOREREEF
KAH_0735A,0735,756.3525,2277.5272,-156.5408,20.5793,MID,FOREREEF
KAH_0736A,0736,752.075,2280.1426,-156.5814,20.6035,MID,FOREREEF
KAH_0737A,0737,753.081,2280.3876,-156.5717,20.6056,MID,FOREREEF
KAH_0738A,0738,753.9207,2280.0289,-156.5637,20.6022,MID,FOREREEF
KAH_0739A,0739,748.7948,2278.1132,-156.6132,20.5856,MID,FOREREEF
KAH_0740A,0740,755.7314,2275.4365,-156.547,20.5605,MID,FOREREEF
KAH_0741A,0741,753.947,2280.1251,-156.5635,20.6031,MID,FOREREEF
KAH_0742A,0742,745.2696,2275.8389,-156.6473,20.5656,MID,FOREREEF
KAH_0743A,0743,748.8472,2278.2969,-156.6126,20.5873,MID,FOREREEF
KAH_0744A,0744,744.5085,2275.6377,-156.6546,20.5639,MID,FOREREEF
KAH_0745A,0745,750.518,2279.4691,-156.5964,20.5977,MID,FOREREEF
KAH_0746A,0746,738.7003,2271.4215,-156.7108,20.5265,MID,FOREREEF
KAH_0747A,0747,739.2076,2271.5177,-156.706,20.5273,MID,FOREREEF
KAH_0748A,0748,738.9627,2271.3602,-156.7083,20.5259,MID,FOREREEF
KAH_0749A,0749,741.2545,2270.1619,-156.6865,20.5148,MID,FOREREEF
KAH_0750A,0750,756.5012,2270.5117,-156.5404,20.516,MID,FOREREEF
KAH_0751A,0751,738.3066,2271.5002,-156.7146,20.5273,MID,FOREREEF
KAH_0752A,0752,739.2251,2271.0978,-156.7059,20.5235,MID,FOREREEF
KAH_0753A,0753,755.469,2270.3193,-156.5503,20.5144,MID,FOREREEF
KAH_0754A,0754,740.6947,2270.2581,-156.6919,20.5158,MID,FOREREEF
KAH_0755A,0755,753.2472,2270.2668,-156.5716,20.5142,MID,FOREREEF
KAH_0756A,0756,738.8402,2270.9754,-156.7096,20.5225,MID,FOREREEF
KAH_0757A,0757,740.8609,2270.2931,-156.6903,20.5161,MID,FOREREEF
KAH_0758A,0758,750.3955,2271.1853,-156.5988,20.5229,MID,FOREREEF
KAH_0759A,0759,738.3591,2271.4127,-156.7141,20.5265,MID,FOREREEF
KAH_0760A,0760,738.8577,2271.5002,-156.7093,20.5272,MID,FOREREEF
KAH_0761A,0761,749.5558,2270.1356,-156.607,20.5135,MID,FOREREEF
KAH_0762A,0762,739.0851,2271.1503,-156.7072,20.524,MID,FOREREEF
KAH_0763A,0763,757.096,2271.3602,-156.5345,20.5236,MID,FOREREEF
KAH_0764A,0764,740.1436,2270.3368,-156.6972,20.5166,MID,FOREREEF
KAH_0765A,0765,755.7402,2270.0394,-156.5477,20.5118,MID,FOREREEF
KAH_0766A,0766,739.0502,2270.8004,-156.7076,20.5209,MID,FOREREEF
KAH_0767A,0767,747.6926,2270.0044,-156.6249,20.5126,MID,FOREREEF
KAH_0768A,0768,756.4312,2270.7654000000002,-156.541,20.5183,MID,FOREREEF
KAH_0769A,0769,755.2678,2272.5761,-156.5519,20.5348,SHAL,FOREREEF
KAH_0770A,0770,746.1268,2276.2675,-156.639,20.5693,SHAL,FOREREEF
KAH_0771A,0771,748.1299,2277.7721,-156.6196,20.5826,SHAL,FOREREEF
KAH_0772A,0772,755.2766,2278.9355,-156.5509,20.5922,SHAL,FOREREEF
KAH_0773A,0773,748.2262,2277.7371,-156.6187,20.5823,SHAL,FOREREEF
KAH_0774A,0774,755.0929,2272.8036,-156.5535,20.5369,SHAL,FOREREEF
KAH_0775A,0775,754.1569,2279.6265,-156.5615,20.5986,SHAL,FOREREEF
KAH_0776A,0776,747.7101,2277.4222,-156.6236,20.5795,SHAL,FOREREEF
KAH_0777A,0777,746.0218,2276.1626,-156.64,20.5684,SHAL,FOREREEF
KAH_0778A,0778,742.0418,2268.8847,-156.6792,20.5032,SHAL,FOREREEF
KAH_0779A,0779,739.8812,2270.9316,-156.6996,20.522,SHAL,FOREREEF
KAH_0780A,0780,742.2517,2268.9285,-156.6771,20.5036,SHAL,FOREREEF
KAH_0781A,0781,739.7587,2271.7276,-156.7007,20.5292,SHAL,FOREREEF
KAH_0782A,0782,753.6583,2270.4505,-156.5676,20.5158,SHAL,FOREREEF
