SITE_ID,SITE_NO,X,Y,LONGITUDE,LATITUDE,DEPTH_BIN,REEF_ID
KAU_2376A,2376,453.8053,2459.38,-159.4483,22.2393,DEEP,FOREREEF
KAU_2377A,2377,431.0987,2424.4674,-159.6671,21.9231,DEEP,FOREREEF
KAU_2378A,2378,459.4059,2458.7898,-159.3939,22.2341,DEEP,FOREREEF
KAU_2379A,2379,439.2203,2458.1269,-159.5898,22.2275,DEEP,FOREREEF
KAU_2380A,2380,460.8948,2422.9873,-159.3786,21.9107,DEEP,FOREREEF
KAU_2381A,2381,430.4473,2426.0291,-159.6735,21.9372,DEEP,FOREREEF
KAU_2382A,2382,457.0286,2419.1283,-159.4159,21.8757,DEEP,FOREREEF
KAU_2383A,2383,469.321,2451.9344,-159.2976,22.1724,DEEP,FOREREEF
KAU_2384A,2384,466.7491,2430.5691,-159.3221,21.9793,DEEP,FOREREEF
KAU_2385A,2385,444.5416,2457.2734,-159.5381,22.22,DEEP,FOREREEF
KAU_2386A,2386,448.5094,2419.7095,-159.4984,21.8807,DEEP,FOREREEF
KAU_2387A,2387,445.9206,2419.1011,-159.5235,21.8752,DEEP,FOREREEF
KAU_2388A,2388,460.6326,2422.1338,-159.3811,21.903,DEEP,FOREREEF
KAU_2389A,2389,460.531,2422.152,-159.3821,21.9031,DEEP,FOREREEF
KAU_2390A,2390,441.6314,2420.4086,-159.565,21.8868,DEEP,FOREREEF
KAU_2391A,2391,421.209,2447.0039,-159.764,22.1263,DEEP,FOREREEF
KAU_2392A,2392,421.9788,2446.4591,-159.7565,22.1214,DEEP,FOREREEF
KAU_2393A,2393,420.6168,2448.4023,-159.7698,22.1389,DEEP,FOREREEF
KAU_2394A,2394,435.0326,2455.9841,-159.6303,22.208,DEEP,FOREREEF
KAU_2395A,2395,420.5152,2447.9392,-159.7708,22.1347,DEEP,FOREREEF
KAU_2396A,2396,419.0094,2433.3658,-159.7846,22.003,DEEP,FOREREEF
