SITE_ID,SITE_NO,X,Y,LONGITUDE,LATITUDE,DEPTH_BIN,REEF_ID
LAN_2187A,2187,718.8573,2315.3332,-156.8956,20.9255,DEEP,FOREREEF
LAN_2188A,2188,713.9297,2315.7509,-156.9429,20.9298,DEEP,FOREREEF
LAN_2189A,2189,721.4449,2313.2539,-156.871,20.9064,DEEP,FOREREEF
LAN_2190A,2190,712.6231,2316.0869,-156.9554,20.933,DEEP,FOREREEF
LAN_2191A,2191,723.2554,2311.9464,-156.8537,20.8943,DEEP,FOREREEF
LAN_2192A,2192,723.7422,2311.3925,-156.8491,20.8893,DEEP,FOREREEF
LAN_2193A,2193,722.5893,2312.5638,-156.86,20.9,DEEP,FOREREEF
LAN_2194A,2194,724.0325,2311.0202,-156.8464,20.8859,DEEP,FOREREEF
LAN_2195A,2195,720.924,2313.6262,-156.8759,20.9098,DEEP,FOREREEF
LAN_2196A,2196,720.9069,2313.9258,-156.876,20.9125,DEEP,FOREREEF
LAN_2197A,2197,721.1289,2313.7261,-156.8739,20.9107,DEEP,FOREREEF
LAN_2198A,2198,722.5807,2312.2188,-156.8602,20.8969,DEEP,FOREREEF
LAN_2199A,2199,706.9952,2315.9144,-157.0095,20.9321,DEEP,FOREREEF
LAN_2200A,2200,720.7617,2313.7261,-156.8775,20.9107,DEEP,FOREREEF
LAN_2201A,2201,717.3457,2315.4604,-156.9101,20.9268,DEEP,FOREREEF
LAN_2202A,2202,718.6011,2315.3514,-156.898,20.9256,DEEP,FOREREEF
LAN_2203A,2203,723.0248,2311.8647,-156.856,20.8936,DEEP,FOREREEF
LAN_2204A,2204,720.3176,2314.1347,-156.8817,20.9145,DEEP,FOREREEF
LAN_2205A,2205,709.2583,2298.281,-156.9899,20.7726,DEEP,FOREREEF
LAN_2206A,2206,706.0131,2307.3701,-157.0199,20.855,DEEP,FOREREEF
LAN_2207A,2207,709.0961,2301.3319,-156.9911,20.8001,DEEP,FOREREEF
LAN_2208A,2208,715.3644,2293.9044,-156.9318,20.7324,DEEP,FOREREEF
LAN_2209A,2209,701.7773,2310.539,-157.0603,20.8841,DEEP,FOREREEF
LAN_2210A,2210,712.8964,2293.7228,-156.9555,20.731,DEEP,FOREREEF
LAN_2211A,2211,709.4035,2297.709,-156.9885,20.7674,DEEP,FOREREEF
LAN_2212A,2212,720.6507,2294.6036,-156.8809,20.7381,DEEP,FOREREEF
LAN_2213A,2213,709.2156,2298.1448,-156.9903,20.7714,DEEP,FOREREEF
LAN_2214A,2214,716.5857,2294.1133,-156.92,20.7341,DEEP,FOREREEF
LAN_2215A,2215,708.6776,2303.9106,-156.9948,20.8235,DEEP,FOREREEF
LAN_2216A,2216,727.7047,2306.0807,-156.8117,20.8408,DEEP,FOREREEF
LAN_2217A,2217,709.0021,2303.3386,-156.9917,20.8183,DEEP,FOREREEF
LAN_2218A,2218,709.395,2297.4002,-156.9887,20.7646,DEEP,FOREREEF
LAN_2219A,2219,716.3722,2315.2606,-156.9195,20.9251,MID,FOREREEF
LAN_2220A,2220,717.841,2314.9428,-156.9054,20.922,MID,FOREREEF
LAN_2221A,2221,710.1721,2315.7146,-156.979,20.9299,MID,FOREREEF
LAN_2222A,2222,712.6316,2315.6783,-156.9554,20.9293,MID,FOREREEF
LAN_2223A,2223,718.6267,2314.6068,-156.8979,20.9189,MID,FOREREEF
LAN_2224A,2224,712.5719,2315.4967,-156.9559,20.9277,MID,FOREREEF
LAN_2225A,2225,716.7052,2315.188,-156.9163,20.9244,MID,FOREREEF
LAN_2226A,2226,712.5121,2315.6783,-156.9565,20.9293,MID,FOREREEF
LAN_2227A,2227,715.057,2315.2697,-156.9321,20.9253,MID,FOREREEF
LAN_2228A,2228,710.8724,2315.5148,-156.9723,20.928,MID,FOREREEF
LAN_2229A,2229,723.4347,2311.1474,-156.8521,20.8871,MID,FOREREEF
LAN_2230A,2230,719.7711,2314.28,-156.8869,20.9158,MID,FOREREEF
LAN_2231A,2231,724.673,2309.8308,-156.8404,20.8751,MID,FOREREEF
LAN_2232A,2232,717.0297,2315.0881,-156.9132,20.9235,MID,FOREREEF
LAN_2233A,2233,713.9297,2315.3605,-156.9429,20.9263,MID,FOREREEF
LAN_2234A,2234,719.4807,2314.289,-156.8897,20.9159,MID,FOREREEF
LAN_2235A,2235,723.7678,2310.5753,-156.849,20.8819,MID,FOREREEF
LAN_2236A,2236,720.0529,2313.9894,-156.8842,20.9132,MID,FOREREEF
LAN_2237A,2237,723.597,2310.5753,-156.8506,20.8819,MID,FOREREEF
LAN_2238A,2238,727.4656,2300.1878,-156.8148,20.7877,MID,FOREREEF
LAN_2239A,2239,705.4324,2307.7514,-157.0255,20.8585,MID,FOREREEF
LAN_2240A,2240,711.7862,2293.8772,-156.9661,20.7325,MID,FOREREEF
LAN_2241A,2241,709.2327,2298.9166,-156.99,20.7783,MID,FOREREEF
LAN_2242A,2242,709.6939,2296.6829,-156.9859,20.7581,MID,FOREREEF
LAN_2243A,2243,726.7483,2307.6243,-156.8207,20.8549,MID,FOREREEF
LAN_2244A,2244,707.0977,2306.8707,-157.0096,20.8504,MID,FOREREEF
LAN_2245A,2245,725.2281,2297.0461,-156.8367,20.7596,MID,FOREREEF
LAN_2246A,2246,708.541,2304.6279,-156.996,20.83,MID,FOREREEF
LAN_2247A,2247,708.0286,2305.5541,-157.0008,20.8384,MID,FOREREEF
LAN_2248A,2248,709.0278,2299.9608,-156.9919,20.7878,MID,FOREREEF
LAN_2249A,2249,709.4035,2302.249,-156.988,20.8084,MID,FOREREEF
LAN_2250A,2250,709.0278,2303.611,-156.9914,20.8207,MID,FOREREEF
LAN_2251A,2251,724.0752,2296.6466,-156.8478,20.7561,MID,FOREREEF
LAN_2252A,2252,708.6776,2304.292,-156.9947,20.8269,MID,FOREREEF
LAN_2253A,2253,715.168,2294.0951,-156.9336,20.7341,MID,FOREREEF
LAN_2254A,2254,701.7261,2312.9089,-157.0605,20.9055,MID,FOREREEF
LAN_2255A,2255,728.0463,2305.318,-156.8086,20.8339,MID,FOREREEF
LAN_2256A,2256,728.1403,2305.1636,-156.8077,20.8325,MID,FOREREEF
LAN_2257A,2257,719.9248,2294.3312,-156.8879,20.7357,MID,FOREREEF
LAN_2258A,2258,723.0163,2311.2382,-156.8561,20.888,SHAL,FOREREEF
LAN_2259A,2259,722.4356,2311.4379,-156.8617,20.8899,SHAL,FOREREEF
LAN_2260A,2260,716.9358,2314.9791,-156.9141,20.9225,SHAL,FOREREEF
LAN_2261A,2261,708.2506,2315.8326,-156.9974,20.9312,SHAL,FOREREEF
LAN_2262A,2262,710.4966,2315.5602,-156.9759,20.9285,SHAL,FOREREEF
LAN_2263A,2263,722.1367,2311.8284,-156.8645,20.8934,SHAL,FOREREEF
LAN_2264A,2264,718.0716,2314.5705,-156.9032,20.9187,SHAL,FOREREEF
LAN_2265A,2265,708.5922,2315.7237,-156.9942,20.9302,SHAL,FOREREEF
LAN_2266A,2266,720.83,2312.8635,-156.8769,20.9029,SHAL,FOREREEF
LAN_2267A,2267,706.2608,2307.4609,-157.0176,20.8558,SHAL,FOREREEF
LAN_2268A,2268,709.1644,2300.7417,-156.9905,20.7948,SHAL,FOREREEF
LAN_2269A,2269,718.584,2294.5582,-156.9008,20.7379,SHAL,FOREREEF
LAN_2270A,2270,727.4912,2305.9536,-156.8138,20.8397,SHAL,FOREREEF
LAN_2271A,2271,727.7218,2300.669,-156.8123,20.792,SHAL,FOREREEF
LAN_2272A,2272,701.82,2310.8931,-157.0598,20.8873,SHAL,FOREREEF
LAN_2273A,2273,709.5829,2297.7634,-156.9868,20.7679,SHAL,FOREREEF
LAN_2274A,2274,726.4835,2307.6062,-156.8233,20.8548,SHAL,FOREREEF
LAN_2275A,2275,707.9773,2305.8265,-157.0013,20.8409,SHAL,FOREREEF
LAN_2276A,2276,703.6817,2308.5868,-157.0422,20.8663,SHAL,FOREREEF
LAN_2277A,2277,702.2641,2310.0033,-157.0557,20.8792,SHAL,FOREREEF
LAN_2278A,2278,726.0224,2297.8815,-156.829,20.767,SHAL,FOREREEF
