SITE_ID,SITE_NO,X,Y,LONGITUDE,LATITUDE,DEPTH_BIN,REEF_ID
MAI_4283A,4283,814.9574,2294.8035,-155.976,20.7263,DEEP,FOREREEF
MAI_4284A,4284,814.3425,2299.9247,-155.981,20.7726,DEEP,FOREREEF
MAI_4285A,4285,813.2921,2301.0324,-155.9909,20.7828,DEEP,FOREREEF
MAI_4286A,4286,814.872,2299.4525,-155.976,20.7683,DEEP,FOREREEF
MAI_4287A,4287,814.3681,2299.5615,-155.9808,20.7694,DEEP,FOREREEF
MAI_4288A,4288,813.5483,2291.8798,-155.9901,20.7002,DEEP,FOREREEF
MAI_4289A,4289,764.6141,2316.3685,-156.4557,20.9288,DEEP,FOREREEF
MAI_4290A,4290,769.8577,2316.3867,-156.4053,20.9282,DEEP,FOREREEF
MAI_4291A,4291,773.6921,2317.4491,-156.3683,20.9372,DEEP,FOREREEF
MAI_4292A,4292,764.3323,2315.9418,-156.4585,20.925,DEEP,FOREREEF
MAI_4293A,4293,764.5116,2292.9603,-156.4603,20.7175,DEEP,FOREREEF
MAI_4294A,4294,763.8113,2294.8853,-156.4667,20.735,DEEP,FOREREEF
MAI_4295A,4295,768.9524,2278.968,-156.4198,20.5906,DEEP,FOREREEF
MAI_4296A,4296,760.6857,2299.6069,-156.496,20.7781,DEEP,FOREREEF
MAI_4297A,4297,765.6304,2282.2641,-156.4511,20.6208,DEEP,FOREREEF
MAI_4298A,4298,764.8191,2292.6153,-156.4574,20.7144,DEEP,FOREREEF
MAI_4299A,4299,761.1298,2300.1789,-156.4916,20.7832,DEEP,FOREREEF
MAI_4300A,4300,769.3026,2278.5957,-156.4165,20.5872,DEEP,FOREREEF
MAI_4301A,4301,762.9744,2296.3471,-156.4745,20.7483,DEEP,FOREREEF
MAI_4302A,4302,764.3579,2293.4506,-156.4617,20.722,DEEP,FOREREEF
MAI_4303A,4303,768.1326,2278.7229,-156.4277,20.5885,DEEP,FOREREEF
MAI_4304A,4304,744.6476,2326.8196,-156.6461,21.0259,DEEP,FOREREEF
MAI_4305A,4305,745.5955,2304.5464,-156.6401,20.8247,DEEP,FOREREEF
MAI_4306A,4306,745.1685,2327.1102,-156.641,21.0285,DEEP,FOREREEF
MAI_4307A,4307,742.9652,2325.2125,-156.6625,21.0116,DEEP,FOREREEF
MAI_4308A,4308,743.9131,2305.3999,-156.6562,20.8326,DEEP,FOREREEF
MAI_4309A,4309,741.206,2323.0242,-156.6797,20.9921,DEEP,FOREREEF
MAI_4310A,4310,739.5407,2313.2813,-156.6971,20.9044,DEEP,FOREREEF
MAI_4311A,4311,745.4845,2304.2467,-156.6412,20.822,DEEP,FOREREEF
MAI_4312A,4312,745.2454,2304.9005,-156.6434,20.8279,DEEP,FOREREEF
MAI_4313A,4313,741.2914,2323.7233,-156.6788,20.9984,DEEP,FOREREEF
MAI_4314A,4314,741.9575,2324.368,-156.6723,21.0041,DEEP,FOREREEF
MAI_4315A,4315,745.1087,2304.9731,-156.6447,20.8286,DEEP,FOREREEF
MAI_4316A,4316,739.4211,2313.7263,-156.6982,20.9084,DEEP,FOREREEF
MAI_4317A,4317,739.0283,2314.38,-156.7018,20.9143,DEEP,FOREREEF
MAI_4318A,4318,739.3357,2313.4175,-156.699,20.9056,DEEP,FOREREEF
MAI_4319A,4319,744.8952,2304.6099,-156.6468,20.8254,DEEP,FOREREEF
MAI_4320A,4320,745.5101,2304.6281,-156.6409,20.8255,DEEP,FOREREEF
MAI_4321A,4321,739.0026,2313.7898,-156.7022,20.909,DEEP,FOREREEF
MAI_4322A,4322,761.0444,2283.6987,-156.4949,20.6344,DEEP,FOREREEF
MAI_4323A,4323,804.4532,2305.5815,-156.0749,20.8253,DEEP,FOREREEF
MAI_4324A,4324,780.5668,2318.693,-156.3021,20.9474,DEEP,FOREREEF
MAI_4325A,4325,795.2983,2309.949,-156.162,20.8662,DEEP,FOREREEF
MAI_4326A,4326,809.2868,2303.593,-156.0289,20.8066,DEEP,FOREREEF
MAI_4327A,4327,777.5693,2318.6476,-156.3309,20.9475,DEEP,FOREREEF
MAI_4328A,4328,809.9871,2303.3206,-156.0222,20.804,DEEP,FOREREEF
MAI_4329A,4329,801.6948,2306.4169,-156.1012,20.8333,DEEP,FOREREEF
MAI_4330A,4330,784.0255,2317.8123,-156.269,20.939,DEEP,FOREREEF
MAI_4331A,4331,808.5951,2303.7473,-156.0355,20.8081,DEEP,FOREREEF
MAI_4332A,4332,801.0372,2306.6983,-156.1075,20.836,DEEP,FOREREEF
MAI_4333A,4333,800.0209,2308.2783,-156.117,20.8504,DEEP,FOREREEF
MAI_4334A,4334,798.4837,2309.8945,-156.1315,20.8652,DEEP,FOREREEF
MAI_4335A,4335,799.9868,2307.8878,-156.1174,20.8469,DEEP,FOREREEF
MAI_4336A,4336,800.0466,2306.889,-156.117,20.8378,DEEP,FOREREEF
MAI_4337A,4337,790.8746,2313.7626,-156.2039,20.9013,DEEP,FOREREEF
MAI_4338A,4338,811.6524,2302.7576,-156.0063,20.7987,DEEP,FOREREEF
MAI_4339A,4339,800.3967,2306.9707,-156.1136,20.8385,DEEP,FOREREEF
MAI_4340A,4340,807.613,2304.0016,-156.0449,20.8106,DEEP,FOREREEF
MAI_4341A,4341,800.9176,2306.5077,-156.1087,20.8343,DEEP,FOREREEF
MAI_4342A,4342,800.0466,2307.9695,-156.1168,20.8476,DEEP,FOREREEF
MAI_4343A,4343,803.2576,2306.1626,-156.0863,20.8308,DEEP,FOREREEF
MAI_4344A,4344,756.4157,2322.7155,-156.5336,20.9873,DEEP,FOREREEF
MAI_4345A,4345,747.3718,2327.092,-156.6199,21.028,DEEP,FOREREEF
MAI_4346A,4346,751.36,2326.4473,-156.5816,21.0216,DEEP,FOREREEF
MAI_4347A,4347,756.5438,2322.779,-156.5323,20.9878,DEEP,FOREREEF
MAI_4348A,4348,745.8944,2327.0557,-156.6341,21.0279,DEEP,FOREREEF
MAI_4349A,4349,753.179,2326.0206,-156.5642,21.0175,DEEP,FOREREEF
MAI_4350A,4350,757.3807,2322.1797,-156.52440000000001,20.9823,DEEP,FOREREEF
MAI_4351A,4351,752.6069,2326.3293,-156.5696,21.0204,DEEP,FOREREEF
MAI_4352A,4352,755.6386,2324.0684,-156.5408,20.9996,DEEP,FOREREEF
