SITE_ID,SITE_NO,X,Y,LONGITUDE,LATITUDE,DEPTH_BIN,REEF_ID
MOL_2595A,2595,710.5043,2347.5423,-156.9719,21.2173,DEEP,FOREREEF
MOL_2596A,2596,694.5395,2345.5983,-157.1259,21.2015,DEEP,FOREREEF
MOL_2597A,2597,687.7872,2347.4477,-157.1907,21.2189,DEEP,FOREREEF
MOL_2598A,2598,687.7356,2346.8714,-157.1912,21.2137,DEEP,FOREREEF
MOL_2599A,2599,707.1927,2343.9726,-157.0042,21.1854,DEEP,FOREREEF
MOL_2600A,2600,681.3961,2348.1789,-157.2522,21.2262,DEEP,FOREREEF
MOL_2601A,2601,686.1528,2348.3079,-157.2063,21.2268,DEEP,FOREREEF
MOL_2602A,2602,693.2923,2345.7704,-157.1379,21.2032,DEEP,FOREREEF
MOL_2603A,2603,706.5647,2343.9038,-157.0103,21.1849,DEEP,FOREREEF
MOL_2604A,2604,714.8224,2343.1899,-156.9309,21.1775,DEEP,FOREREEF
MOL_2605A,2605,726.581,2343.3533,-156.8176,21.1775,DEEP,FOREREEF
MOL_2606A,2606,732.6796,2343.4651,-156.7589,21.1778,DEEP,FOREREEF
MOL_2607A,2607,722.1511,2342.2523,-156.8604,21.1681,DEEP,FOREREEF
MOL_2608A,2608,733.8924,2343.6286,-156.7472,21.1791,DEEP,FOREREEF
MOL_2609A,2609,734.916,2343.2157,-156.7374,21.1752,DEEP,FOREREEF
MOL_2610A,2610,720.0006,2342.0974,-156.8812,21.167,DEEP,FOREREEF
MOL_2611A,2611,722.1941,2342.5447,-156.86,21.1708,DEEP,FOREREEF
MOL_2612A,2612,711.5537,2346.9402,-156.96190000000001,21.2117,DEEP,FOREREEF
MOL_2613A,2613,732.3441,2332.0162,-156.7637,21.0744,DEEP,FOREREEF
MOL_2614A,2614,695.004,2332.4635,-157.1229,21.0828,DEEP,FOREREEF
MOL_2615A,2615,735.3461,2336.1451,-156.7343,21.1113,DEEP,FOREREEF
MOL_2616A,2616,711.5967,2329.3669,-156.9636,21.053,DEEP,FOREREEF
MOL_2617A,2617,710.6936,2329.883,-156.9722,21.0578,DEEP,FOREREEF
MOL_2618A,2618,719.3727,2326.7606,-156.8892,21.0286,DEEP,FOREREEF
MOL_2619A,2619,738.1675,2340.7642,-156.7065,21.1527,DEEP,FOREREEF
MOL_2620A,2620,729.9098,2330.4335,-156.7873,21.0604,DEEP,FOREREEF
MOL_2621A,2621,690.0494,2332.2571,-157.1706,21.0815,DEEP,FOREREEF
MOL_2622A,2622,724.6972,2328.0508,-156.8378,21.0396,DEEP,FOREREEF
MOL_2623A,2623,720.8694,2326.8122,-156.8748,21.0289,DEEP,FOREREEF
MOL_2624A,2624,696.2083,2332.4119,-157.1113,21.0822,DEEP,FOREREEF
MOL_2625A,2625,675.0308,2338.2009,-157.3145,21.1367,DEEP,FOREREEF
MOL_2626A,2626,675.1168,2335.5601,-157.3139,21.1128,DEEP,FOREREEF
MOL_2627A,2627,674.6179,2337.1429,-157.3186,21.1271,DEEP,FOREREEF
MOL_2628A,2628,675.977,2332.9108,-157.3059,21.0888,DEEP,FOREREEF
MOL_2629A,2629,674.3599,2334.1064,-157.3214,21.0997,DEEP,FOREREEF
MOL_2630A,2630,680.0284,2343.2329,-157.2659,21.1816,DEEP,FOREREEF
MOL_2631A,2631,673.8266,2337.0912,-157.3262,21.1268,DEEP,FOREREEF
MOL_2632A,2632,674.4803,2335.3881,-157.3201,21.1113,DEEP,FOREREEF
MOL_2633A,2633,674.9534,2335.5687,-157.3155,21.1129,DEEP,FOREREEF
MOL_2634A,2634,678.0586,2340.9792,-157.2851,21.1615,DEEP,FOREREEF
MOL_2635A,2635,675.6329,2336.0848,-157.3089,21.1175,DEEP,FOREREEF
MOL_2636A,2636,675.2286,2338.2267,-157.3126,21.1369,DEEP,FOREREEF
MOL_2637A,2637,674.2222,2334.4333,-157.3227,21.1027,DEEP,FOREREEF
MOL_2638A,2638,674.8072,2335.1731,-157.317,21.1093,DEEP,FOREREEF
MOL_2639A,2639,680.2434,2347.2327,-157.2634,21.2177,DEEP,FOREREEF
MOL_2640A,2640,674.3771,2334.4247,-157.3212,21.1026,DEEP,FOREREEF
MOL_2641A,2641,675.4265,2336.0934,-157.3109,21.1176,DEEP,FOREREEF
MOL_2642A,2642,675.2028,2336.3429,-157.313,21.1199,DEEP,FOREREEF
MOL_2643A,2643,676.0372,2338.5793,-157.3048,21.14,DEEP,FOREREEF
MOL_2644A,2644,674.2308,2336.0934,-157.3224,21.1177,DEEP,FOREREEF
MOL_2645A,2645,675.0652,2333.4441,-157.3147,21.0937,DEEP,FOREREEF
MOL_2646A,2646,675.2803,2337.6331,-157.3122,21.1315,DEEP,FOREREEF
MOL_2647A,2647,680.6305,2347.7574,-157.2596,21.2224,DEEP,FOREREEF
MOL_2648A,2648,692.5525,2346.1575,-157.1449,21.2068,MID,FOREREEF
MOL_2649A,2649,690.66010000000006,2346.2435,-157.1632,21.2077,MID,FOREREEF
MOL_2650A,2650,686.084,2347.4993,-157.2071,21.2195,MID,FOREREEF
MOL_2651A,2651,690.4537,2345.6156,-157.1652,21.2021,MID,FOREREEF
MOL_2652A,2652,683.0992,2347.3961,-157.2358,21.2189,MID,FOREREEF
MOL_2653A,2653,691.9074,2345.994,-157.1512,21.2053,MID,FOREREEF
MOL_2654A,2654,695.6061,2345.1253,-157.1157,21.1971,MID,FOREREEF
MOL_2655A,2655,709.2829,2346.4671,-156.9838,21.2077,MID,FOREREEF
MOL_2656A,2656,693.6535,2345.4263,-157.1344,21.2,MID,FOREREEF
MOL_2657A,2657,704.1907,2344.2909,-157.0331,21.1886,MID,FOREREEF
MOL_2658A,2658,689.4731,2346.4413,-157.1746,21.2096,MID,FOREREEF
MOL_2659A,2659,694.7374,2345.5295,-157.124,21.2008,MID,FOREREEF
MOL_2660A,2660,723.1059,2342.063,-156.8513,21.1663,MID,FOREREEF
MOL_2661A,2661,719.3383,2342.3039,-156.8875,21.1689,MID,FOREREEF
MOL_2662A,2662,733.3591,2343.3533,-156.7524,21.1767,MID,FOREREEF
MOL_2663A,2663,728.2239,2343.3361,-156.8018,21.1772,MID,FOREREEF
MOL_2664A,2664,718.5211,2341.8566,-156.8954,21.165,MID,FOREREEF
MOL_2665A,2665,720.1727,2341.6071,-156.8796,21.1625,MID,FOREREEF
MOL_2666A,2666,722.3403,2341.8394,-156.8587,21.1644,MID,FOREREEF
MOL_2667A,2667,722.2629,2341.9426,-156.8594,21.1653,MID,FOREREEF
MOL_2668A,2668,692.9138,2332.4635,-157.143,21.083,MID,FOREREEF
MOL_2669A,2669,697.0856,2332.6183,-157.1028,21.084,MID,FOREREEF
MOL_2670A,2670,701.3005,2332.5409,-157.0623,21.0828,MID,FOREREEF
MOL_2671A,2671,720.9296,2327.2251,-156.8741,21.0326,MID,FOREREEF
MOL_2672A,2672,697.2749,2332.4721,-157.101,21.0827,MID,FOREREEF
MOL_2673A,2673,734.7268,2335.3709,-156.7403,21.1044,MID,FOREREEF
MOL_2674A,2674,731.3979,2332.0592,-156.7728,21.0749,MID,FOREREEF
MOL_2675A,2675,709.2485,2330.6657,-156.9861,21.065,MID,FOREREEF
MOL_2676A,2676,703.3219,2332.3001,-157.0429,21.0804,MID,FOREREEF
MOL_2677A,2677,733.6602,2333.814,-156.7508,21.0905,MID,FOREREEF
MOL_2678A,2678,703.0638,2332.2657,-157.0454,21.0802,MID,FOREREEF
MOL_2679A,2679,734.7612,2335.7236,-156.7399,21.1076,MID,FOREREEF
MOL_2680A,2680,720.5942,2327.3627,-156.8773,21.0339,MID,FOREREEF
MOL_2681A,2681,696.148,2332.842,-157.1118,21.0861,MID,FOREREEF
MOL_2682A,2682,719.7684,2327.7068,-156.8852,21.0371,MID,FOREREEF
MOL_2683A,2683,712.3451,2330.1066,-156.9563,21.0596,MID,FOREREEF
MOL_2684A,2684,722.9252,2327.4143,-156.8549,21.034,MID,FOREREEF
MOL_2685A,2685,681.2671,2343.1124,-157.2539,21.1804,MID,FOREREEF
MOL_2686A,2686,681.1724,2346.5531,-157.2545,21.2115,MID,FOREREEF
MOL_2687A,2687,684.2863,2332.1797,-157.2261,21.0814,MID,FOREREEF
MOL_2688A,2688,681.5853,2344.5833,-157.2507,21.1937,MID,FOREREEF
MOL_2689A,2689,680.123,2342.5275,-157.265,21.1752,MID,FOREREEF
MOL_2690A,2690,677.7145,2339.9384,-157.2885,21.1521,MID,FOREREEF
MOL_2691A,2691,677.3189,2339.2503,-157.2924,21.1459,MID,FOREREEF
MOL_2692A,2692,681.3961,2344.893,-157.2525,21.1965,MID,FOREREEF
MOL_2693A,2693,676.8286,2338.1837,-157.2972,21.1363,MID,FOREREEF
MOL_2694A,2694,677.0694,2338.3299,-157.2949,21.1376,MID,FOREREEF
MOL_2695A,2695,677.6457,2339.3621,-157.2892,21.1469,MID,FOREREEF
MOL_2696A,2696,677.9554,2340.1018,-157.2861,21.1535,MID,FOREREEF
MOL_2697A,2697,683.0132,2332.1022,-157.2383,21.0808,MID,FOREREEF
MOL_2698A,2698,680.966,2342.6566,-157.2569,21.1763,MID,FOREREEF
MOL_2699A,2699,679.5639,2332.3087,-157.2715,21.083,MID,FOREREEF
MOL_2700A,2700,681.2585,2346.2607,-157.2537,21.2088,MID,FOREREEF
MOL_2701A,2701,681.009,2343.8092,-157.2564,21.1867,MID,FOREREEF
MOL_2702A,2702,675.3405,2334.7172,-157.3119,21.1052,MID,FOREREEF
MOL_2703A,2703,679.3661,2332.5065,-157.2734,21.0848,MID,FOREREEF
MOL_2704A,2704,676.3985,2337.2547,-157.3014,21.128,MID,FOREREEF
MOL_2705A,2705,680.4069,2341.8996,-157.2624,21.1695,MID,FOREREEF
MOL_2706A,2706,675.6243,2335.9042,-157.309,21.1159,MID,FOREREEF
MOL_2707A,2707,676.8888,2338.8202,-157.2966,21.1421,MID,FOREREEF
MOL_2708A,2708,680.8198,2342.2093,-157.2584,21.1723,MID,FOREREEF
MOL_2709A,2709,679.8048,2342.4329,-157.2681,21.1744,MID,FOREREEF
MOL_2710A,2710,681.3101,2332.0162,-157.2547,21.0802,MID,FOREREEF
