SITE_ID,SITE_NO,X,Y,LONGITUDE,LATITUDE,DEPTH_BIN,REEF_ID
NII_2724A,2724,380.2052,2416.4176,-160.1593,21.8477,DEEP,FOREREEF
NII_2725A,2725,381.518,2417.5435,-160.1467,21.8579,DEEP,FOREREEF
NII_2726A,2726,386.8456,2419.4866,-160.0952,21.8758,DEEP,FOREREEF
NII_2727A,2727,386.4899,2419.7408,-160.0987,21.8781,DEEP,FOREREEF
NII_2728A,2728,379.9849,2415.6821,-160.1614,21.841,DEEP,FOREREEF
NII_2729A,2729,382.1448,2417.6524,-160.1406,21.859,DEEP,FOREREEF
NII_2730A,2730,384.4063,2419.2868,-160.1188,21.8739,DEEP,FOREREEF
NII_2731A,2731,390.7927,2428.0036,-160.0576,21.953,DEEP,FOREREEF
NII_2732A,2732,389.7508,2421.7929,-160.0673,21.8969,DEEP,FOREREEF
NII_2733A,2733,378.3502,2413.6118,-160.177,21.8222,DEEP,FOREREEF
NII_2734A,2734,380.7218,2416.6809,-160.1543,21.8501,DEEP,FOREREEF
NII_2735A,2735,380.8404,2417.4981,-160.1532,21.8575,DEEP,FOREREEF
NII_2736A,2736,377.7912,2412.84,-160.1824,21.8152,DEEP,FOREREEF
NII_2737A,2737,387.5571,2434.623,-160.0894,22.0126,DEEP,FOREREEF
NII_2738A,2738,375.7415,2425.779,-160.2032,21.9319,DEEP,FOREREEF
NII_2739A,2739,379.6546,2427.7403,-160.1654,21.9499,DEEP,FOREREEF
NII_2740A,2740,373.7934,2423.6634,-160.2219,21.9127,DEEP,FOREREEF
NII_2741A,2741,372.1332,2408.972,-160.2368,21.7799,DEEP,FOREREEF
NII_2742A,2742,374.2931,2423.3728,-160.217,21.9101,DEEP,FOREREEF
NII_2743A,2743,377.8759,2426.9322,-160.1826,21.9425,DEEP,FOREREEF
NII_2744A,2744,371.9893,2421.1301,-160.2391,21.8897,DEEP,FOREREEF
NII_2745A,2745,371.1253,2418.2336,-160.2473,21.8634,DEEP,FOREREEF
NII_2746A,2746,372.3365,2410.5337,-160.235,21.794,DEEP,FOREREEF
NII_2747A,2747,373.8696,2424.0448,-160.2212,21.9161,DEEP,FOREREEF
NII_2748A,2748,371.2862,2410.2976,-160.2451,21.7918,DEEP,FOREREEF
NII_2749A,2749,371.8961,2418.7874,-160.2399,21.8685,DEEP,FOREREEF
NII_2750A,2750,372.6923,2422.5647,-160.2324,21.9027,DEEP,FOREREEF
NII_2751A,2751,374.039,2424.1537,-160.2195,21.9171,DEEP,FOREREEF
NII_2752A,2752,379.3412,2428.3668,-160.1685,21.9555,DEEP,FOREREEF
NII_2753A,2753,371.913,2419.6773,-160.2398,21.8765,DEEP,FOREREEF
NII_2754A,2754,379.0871,2427.8584,-160.1709,21.9509,DEEP,FOREREEF
NII_2755A,2755,371.6674,2421.2935,-160.2423,21.8911,DEEP,FOREREEF
NII_2756A,2756,378.0707,2413.6845,-160.1797,21.8228,MID,FOREREEF
NII_2757A,2757,380.8065,2418.4152,-160.1536,21.8658,MID,FOREREEF
NII_2758A,2758,390.4539,2427.6041,-160.0609,21.9494,MID,FOREREEF
NII_2759A,2759,389.3189,2427.3045,-160.0718,21.9466,MID,FOREREEF
NII_2760A,2760,385.1008,2419.4957,-160.1121,21.8758,MID,FOREREEF
NII_2761A,2761,378.0877,2414.4018,-160.1796,21.8293,MID,FOREREEF
NII_2762A,2762,377.7404,2413.5937,-160.1829,21.822,MID,FOREREEF
NII_2763A,2763,379.248,2416.0907,-160.1685,21.8447,MID,FOREREEF
NII_2764A,2764,385.4057,2433.2428,-160.1101,22,MID,FOREREEF
NII_2765A,2765,384.8382,2433.3608,-160.1156,22.001,MID,FOREREEF
NII_2766A,2766,385.1262,2433.3154,-160.1128,22.0006,MID,FOREREEF
NII_2767A,2767,382.2803,2427.8947,-160.14,21.9515,MID,FOREREEF
NII_2768A,2768,377.5371,2428.158,-160.186,21.9535,MID,FOREREEF
NII_2769A,2769,376.707,2426.9958,-160.1939,21.943,MID,FOREREEF
NII_2770A,2770,370.8882,2415.8818,-160.2494,21.8422,MID,FOREREEF
NII_2771A,2771,377.1729,2425.7972,-160.1893,21.9322,MID,FOREREEF
NII_2772A,2772,380.6879,2427.704,-160.1554,21.9497,MID,FOREREEF
NII_2773A,2773,372.3196,2420.9576,-160.2359,21.8881,MID,FOREREEF
NII_2774A,2774,377.139,2425.5248,-160.1896,21.9297,MID,FOREREEF
NII_2775A,2775,382.7631,2427.9855,-160.1354,21.9523,MID,FOREREEF
NII_2776A,2776,375.301,2423.164,-160.2072,21.9083,MID,FOREREEF
NII_2777A,2777,380.8319,2427.9038,-160.154,21.9515,MID,FOREREEF
NII_2778A,2778,376.2327,2426.4328,-160.1985,21.9379,MID,FOREREEF
NII_2779A,2779,374.8775,2424.3172,-160.2114,21.9187,MID,FOREREEF
NII_2780A,2780,382.9156,2432.3439,-160.1342,21.9917,MID,FOREREEF
NII_2781A,2781,383.627,2428.5212,-160.127,21.9572,MID,FOREREEF
NII_2782A,2782,380.2306,2427.3862,-160.1598,21.9468,MID,FOREREEF
NII_2783A,2783,375.2417,2425.0708,-160.208,21.9255,MID,FOREREEF
NII_2784A,2784,375.7076,2424.5986,-160.2034,21.9213,MID,FOREREEF
NII_2785A,2785,380.4931,2427.132,-160.1573,21.9445,MID,FOREREEF
NII_2786A,2786,377.4439,2426.6416,-160.1868,21.9398,MID,FOREREEF
NII_2787A,2787,379.7478,2427.3953,-160.1645,21.9468,MID,FOREREEF
NII_2788A,2788,370.8627,2414.311,-160.2495,21.828,MID,FOREREEF
NII_2789A,2789,371.1253,2414.8649,-160.247,21.833,MID,FOREREEF
NII_2790A,2790,380.9675,2428.1308,-160.1528,21.9535,MID,FOREREEF
NII_2791A,2791,376.5207,2411.2783,-160.1945,21.801,SHAL,FOREREEF
NII_2792A,2792,388.1161,2421.0393,-160.083,21.8899,SHAL,FOREREEF
NII_2793A,2793,378.9347,2416.0816,-160.1715,21.8446,SHAL,FOREREEF
NII_2794A,2794,376.0887,2410.7335,-160.1987,21.796,SHAL,FOREREEF
NII_2795A,2795,385.9986,2420.1404000000002,-160.1035,21.8817,SHAL,FOREREEF
NII_2796A,2796,388.4041,2425.6973,-160.0806,21.932,SHAL,FOREREEF
NII_2797A,2797,389.3358,2433.261,-160.0721,22.0004,SHAL,FOREREEF
NII_2798A,2798,371.6674,2411.705,-160.2415,21.8045,SHAL,FOREREEF
NII_2799A,2799,384.906,2430.5188,-160.1148,21.9754,SHAL,FOREREEF
NII_2800A,2800,377.554,2425.3795,-160.1856,21.9284,SHAL,FOREREEF
NII_2801A,2801,371.1507,2412.5949,-160.2466,21.8125,SHAL,FOREREEF
NII_2802A,2802,372.7261,2421.5296,-160.232,21.8933,SHAL,FOREREEF
NII_2803A,2803,374.2592,2421.9927,-160.2172,21.8976,SHAL,FOREREEF
