SITE_ID,SITE_NO,X,Y,LONGITUDE,LATITUDE,DEPTH_BIN,REEF_ID
OAH_4254A,4254,636.7498,2365.0487,-157.6809,21.3824,DEEP,FOREREEF
OAH_4255A,4255,634.9896,2368.0985,-157.6976,21.4101,DEEP,FOREREEF
OAH_4256A,4256,635.5037,2367.5757,-157.6927,21.4054,DEEP,FOREREEF
OAH_4257A,4257,633.0464,2370.643,-157.7162,21.4333,DEEP,FOREREEF
OAH_4258A,4258,637.5689,2361.6938,-157.6733,21.3521,DEEP,FOREREEF
OAH_4259A,4259,576.0926,2387.0076,-158.265,21.5844,DEEP,FOREREEF
OAH_4260A,4260,575.8225,2386.8507,-158.2676,21.583,DEEP,FOREREEF
OAH_4261A,4261,610.9045,2399.1808,-157.9279,21.6926,DEEP,FOREREEF
OAH_4262A,4262,631.3646,2374.4771,-157.7321,21.468,DEEP,FOREREEF
OAH_4263A,4263,597.3196,2397.6123,-158.0593,21.6792,DEEP,FOREREEF
OAH_4264A,4264,600.1952,2400.3921,-158.0313,21.7041,DEEP,FOREREEF
OAH_4265A,4265,588.6144,2388.3147,-158.1439,21.5956,DEEP,FOREREEF
OAH_4266A,4266,606.9571,2357.7552,-157.9687,21.3186,DEEP,FOREREEF
OAH_4267A,4267,582.7762,2371.1919,-158.2012,21.4412,DEEP,FOREREEF
OAH_4268A,4268,628.916,2350.6098,-157.7575,21.2526,DEEP,FOREREEF
OAH_4269A,4269,606.0683,2354.5659,-157.9775,21.2898,DEEP,FOREREEF
OAH_4270A,4270,598.8881,2353.5812,-158.0467,21.2813,DEEP,FOREREEF
OAH_4271A,4271,583.4907,2368.4993,-158.1944,21.4169,DEEP,FOREREEF
OAH_4272A,4272,583.604,2368.3774,-158.1933,21.4158,DEEP,FOREREEF
OAH_4273A,4273,637.0373,2361.3191,-157.6784,21.3487,MID,FOREREEF
OAH_4274A,4274,639.7038,2358.5394,-157.6529,21.3234,MID,FOREREEF
OAH_4275A,4275,633.4472,2368.0898,-157.7125,21.4102,MID,FOREREEF
OAH_4276A,4276,634.2925,2366.7217,-157.7045,21.3977,MID,FOREREEF
OAH_4277A,4277,637.6647,2353.8252,-157.673,21.281,MID,FOREREEF
OAH_4278A,4278,632.1053,2370.216,-157.7253,21.4295,MID,FOREREEF
OAH_4279A,4279,633.5082,2368.5952,-157.71190000000001,21.4147,MID,FOREREEF
OAH_4280A,4280,638.5187,2359.0884,-157.6643,21.3285,MID,FOREREEF
OAH_4281A,4281,573.8619,2385.7441,-158.2866,21.5731,MID,FOREREEF
OAH_4282A,4282,576.1536,2386.6852,-158.2644,21.5815,MID,FOREREEF
OAH_4283A,4283,619.9233,2384.7681,-157.8418,21.5618,MID,FOREREEF
OAH_4284A,4284,627.4957,2374.4161,-157.7694,21.4677,MID,FOREREEF
OAH_4285A,4285,607.7152,2400.7929,-157.9586,21.7073,MID,FOREREEF
OAH_4286A,4286,609.58,2399.4423,-157.9407,21.695,MID,FOREREEF
OAH_4287A,4287,632.7153,2374.5032,-157.7191,21.4681,MID,FOREREEF
OAH_4288A,4288,609.7107,2399.1373,-157.9394,21.6922,MID,FOREREEF
OAH_4289A,4289,624.0188,2377.8057,-157.8027,21.4986,MID,FOREREEF
OAH_4290A,4290,624.3151,2376.3592,-157.8,21.4855,MID,FOREREEF
OAH_4291A,4291,610.8958,2397.4294,-157.9281,21.6767,MID,FOREREEF
OAH_4292A,4292,625.5873,2376.9866,-157.7877,21.4911,MID,FOREREEF
OAH_4293A,4293,619.1129,2385.7179,-157.8495,21.5704,MID,FOREREEF
OAH_4294A,4294,612.0111,2396.2617,-157.9174,21.6661,MID,FOREREEF
OAH_4295A,4295,589.4597,2388.2449,-158.1358,21.595,MID,FOREREEF
OAH_4296A,4296,594.5224,2392.0703,-158.0867,21.6293,MID,FOREREEF
OAH_4297A,4297,600.3084,2399.3115,-158.0303,21.6944,MID,FOREREEF
OAH_4298A,4298,599.62,2398.5099,-158.037,21.6872,MID,FOREREEF
OAH_4299A,4299,607.1575,2357.4153,-157.9668,21.3155,MID,FOREREEF
OAH_4300A,4300,593.9909,2353.1368,-158.094,21.2776,MID,FOREREEF
OAH_4301A,4301,633.0377,2352.0563,-157.7177,21.2654,MID,FOREREEF
OAH_4302A,4302,605.5106,2355.3676,-157.9828,21.2971,MID,FOREREEF
OAH_4303A,4303,606.5737,2355.5593,-157.9725,21.2988,MID,FOREREEF
OAH_4304A,4304,615.6448,2354.4265,-157.8852,21.288,MID,FOREREEF
OAH_4305A,4305,577.208,2383.3478,-158.2543,21.5513,MID,FOREREEF
OAH_4306A,4306,594.3569,2353.6596,-158.0904,21.2823,MID,FOREREEF
OAH_4307A,4307,589.9041,2359.4805,-158.133,21.3351,MID,FOREREEF
