SITE_ID,SITE_NO,X,Y,LONGITUDE,LATITUDE,DEPTH_BIN,REEF_ID
ASC_0001A,0001,332.6225,2176.1225,145.4033,19.6734,DEEP,FOREREEF
ASC_0002A,0002,331.0075,2177.7625,145.3878,19.688,DEEP,FOREREEF
ASC_0003A,0003,331.4875,2179.2525,145.3922,19.7015,DEEP,FOREREEF
ASC_0004A,0004,330.9225,2177.5925,145.387,19.6865,DEEP,FOREREEF
ASC_0005A,0005,333.7475,2179.6325,145.4138,19.7052,DEEP,FOREREEF
ASC_0006A,0006,332.0325,2176.2925,145.3977,19.6749,DEEP,FOREREEF
ASC_0007A,0007,331.2525,2176.8775,145.3902,19.6801,DEEP,FOREREEF
ASC_0008A,0008,331.0925,2177.2825,145.3886,19.6837,MID,FOREREEF
ASC_0009A,0009,333.8825,2176.9775,145.4153,19.6812,MID,FOREREEF
ASC_0010A,0010,333.3825,2176.5825,145.4105,19.6776,MID,FOREREEF
ASC_0011A,0011,333.9825,2177.1825,145.4162,19.6831,MID,FOREREEF
ASC_0012A,0012,332.3725,2176.2125,145.4009,19.6742,MID,FOREREEF
ASC_0013A,0013,333.3375,2179.8125,145.4098,19.7068,MID,FOREREEF
ASC_0014A,0014,332.6775,2176.2775,145.4039,19.6748,MID,FOREREEF
ASC_0015A,0015,331.7725,2176.7725,145.3952,19.6792,MID,FOREREEF
ASC_0016A,0016,333.4225,2179.7325,145.4106,19.706,MID,FOREREEF
ASC_0017A,0017,331.8725,2179.4275,145.3959,19.7032,MID,FOREREEF
ASC_0018A,0018,334.1825,2178.9125,145.418,19.6987,MID,FOREREEF
ASC_0019A,0019,332.0875,2179.8125,145.3979,19.7067,MID,FOREREEF
ASC_0020A,0020,333.0975,2179.9525,145.4075,19.708,MID,FOREREEF
ASC_0021A,0021,332.8975,2176.2575,145.406,19.6746,MID,FOREREEF
ASC_0022A,0022,332.4825,2179.9525,145.4017,19.708,MID,FOREREEF
ASC_0023A,0023,331.6625,2179.2125,145.3939,19.7012,SHAL,FOREREEF
ASC_0024A,0024,333.0125,2176.4775,145.407,19.6766,SHAL,FOREREEF
