SITE_ID,SITE_NO,X,Y,LONGITUDE,LATITUDE,DEPTH_BIN,REEF_ID
FDP_0001A,0001,281.595,2273.255,144.9051,20.5455,DEEP,FOREREEF
FDP_0002A,0002,281.555,2273.605,144.9047,20.5487,DEEP,FOREREEF
FDP_0003A,0003,279.605,2272.315,144.8862,20.5368,DEEP,FOREREEF
FDP_0004A,0004,281.455,2272.825,144.9039,20.5416,DEEP,FOREREEF
FDP_0005A,0005,280.775,2272.075,144.8974,20.5348,DEEP,FOREREEF
FDP_0006A,0006,279.485,2272.715,144.885,20.5404,DEEP,FOREREEF
FDP_0007A,0007,280.495,2272.055,144.8947,20.5346,DEEP,FOREREEF
FDP_0008A,0008,279.745,2273.975,144.8873,20.5518,DEEP,FOREREEF
FDP_0009A,0009,281.145,2272.535,144.9009,20.539,DEEP,FOREREEF
FDP_0010A,0010,279.565,2273.485,144.8857,20.5474,DEEP,FOREREEF
FDP_0011A,0011,280.125,2272.175,144.8912,20.5356,DEEP,FOREREEF
FDP_0012A,0012,281.185,2273.825,144.9011,20.5506,DEEP,FOREREEF
FDP_0013A,0013,280.245,2272.115,144.8923,20.5351,DEEP,FOREREEF
FDP_0014A,0014,279.665,2272.225,144.8868,20.536,DEEP,FOREREEF
FDP_0015A,0015,281.365,2273.775,144.9029,20.5502,DEEP,FOREREEF
FDP_0016A,0016,281.615,2273.525,144.9053,20.548,DEEP,FOREREEF
FDP_0017A,0017,281.005,2273.845,144.89940000000001,20.5508,DEEP,FOREREEF
FDP_0018A,0018,280.835,2272.165,144.898,20.5356,DEEP,FOREREEF
FDP_0019A,0019,280.835,2274.025,144.8978,20.5524,DEEP,FOREREEF
FDP_0020A,0020,281.055,2272.405,144.9001,20.5378,DEEP,FOREREEF
FDP_0021A,0021,279.755,2273.855,144.8874,20.5508,MID,FOREREEF
FDP_0022A,0022,280.895,2272.415,144.8985,20.5379,MID,FOREREEF
FDP_0023A,0023,281.425,2272.985,144.9035,20.5431,MID,FOREREEF
FDP_0024A,0024,279.555,2272.485,144.8857,20.5384,MID,FOREREEF
FDP_0025A,0025,280.685,2272.245,144.8965,20.5363,MID,FOREREEF
FDP_0026A,0026,280.145,2274.125,144.8911,20.5532,MID,FOREREEF
FDP_0027A,0027,279.905,2274.005,144.8888,20.5521,MID,FOREREEF
FDP_0028A,0028,279.945,2272.265,144.8894,20.5364,MID,FOREREEF
FDP_0029A,0029,281.245,2272.805,144.9018,20.5414,MID,FOREREEF
FDP_0030A,0030,280.965,2272.325,144.8992,20.5371,MID,FOREREEF
FDP_0031A,0031,279.545,2272.995,144.8855,20.543,MID,FOREREEF
FDP_0032A,0032,280.745,2273.805,144.8969,20.5504,MID,FOREREEF
FDP_0033A,0033,280.605,2273.975,144.8956,20.5519,MID,FOREREEF
FDP_0034A,0034,280.015,2274.125,144.8899,20.5532,MID,FOREREEF
FDP_0035A,0035,279.845,2272.225,144.8885,20.536,MID,FOREREEF
FDP_0036A,0036,280.295,2274.175,144.8926,20.5537,MID,FOREREEF
FDP_0037A,0037,279.645,2273.755,144.8864,20.5498,MID,FOREREEF
FDP_0038A,0038,280.355,2272.115,144.8934,20.5351,MID,FOREREEF
FDP_0039A,0039,281.365,2273.165,144.903,20.5447,MID,FOREREEF
FDP_0040A,0040,279.715,2272.325,144.8872,20.5369,MID,FOREREEF
FDP_0041A,0041,279.615,2273.365,144.8861,20.5463,MID,FOREREEF
FDP_0042A,0042,280.995,2273.705,144.8993,20.5495,MID,FOREREEF
FDP_0043A,0043,281.425,2273.535,144.9035,20.5481,MID,FOREREEF
FDP_0044A,0044,279.535,2272.585,144.8855,20.5393,MID,FOREREEF
FDP_0045A,0045,279.575,2273.215,144.8858,20.5449,MID,FOREREEF
FDP_0046A,0046,279.645,2273.125,144.8865,20.5441,SHAL,FOREREEF
FDP_0047A,0047,280.055,2272.265,144.8905,20.5364,SHAL,FOREREEF
FDP_0048A,0048,281.155,2273.685,144.9009,20.5494,SHAL,FOREREEF
