SITE_ID,SITE_NO,X,Y,LONGITUDE,LATITUDE,DEPTH_BIN,REEF_ID
SAR_0001A,0001,371.005,1847.63,145.7901,16.7079,DEEP,FOREREEF
SAR_0002A,0002,368.385,1847.07,145.7655,16.7027,DEEP,FOREREEF
SAR_0003A,0003,368.855,1848.28,145.7699,16.7136,DEEP,FOREREEF
SAR_0004A,0004,371.075,1847.36,145.7907,16.7054,DEEP,FOREREEF
SAR_0005A,0005,369.285,1848.53,145.7739,16.7159,DEEP,FOREREEF
SAR_0006A,0006,370.985,1846.7,145.7899,16.6995,DEEP,FOREREEF
SAR_0007A,0007,370.895,1846.28,145.7891,16.6957,DEEP,FOREREEF
SAR_0008A,0008,369.355,1848.4,145.7745,16.7147,MID,FOREREEF
SAR_0009A,0009,370.865,1847.44,145.7888,16.7061,MID,FOREREEF
SAR_0010A,0010,369.005,1848.26,145.7713,16.7135,MID,FOREREEF
SAR_0011A,0011,370.825,1847.66,145.7884,16.7081,MID,FOREREEF
SAR_0012A,0012,369.595,1846.02,145.7769,16.6932,SHAL,FOREREEF
SAR_0013A,0013,368.605,1847.72,145.7676,16.7085,SHAL,FOREREEF
