SITE_ID,SITE_NO,X,Y,LONGITUDE,LATITUDE,DEPTH_BIN,REEF_ID
FFS_4655A,4655,384.4775,2637.4675,-166.1344,23.8444,DEEP,FOREREEF
FFS_4656A,4656,382.0375,2613.8025,-166.1564,23.6306,DEEP,FOREREEF
FFS_4657A,4657,382.2525,2613.7875,-166.1543,23.6304,DEEP,FOREREEF
FFS_4658A,4658,384.0175,2637.7275,-166.1389,23.846800000000002,DEEP,FOREREEF
FFS_4659A,4659,369.7125,2641.5625,-166.2797,23.8803,DEEP,FOREREEF
FFS_4660A,4660,392.3525,2629.2975,-166.0565,23.7712,DEEP,FOREREEF
FFS_4661A,4661,385.5025,2612.8875,-166.1224,23.6225,DEEP,FOREREEF
FFS_4662A,4662,384.5375,2612.7575,-166.1319,23.6213,DEEP,FOREREEF
FFS_4663A,4663,383.6675,2637.8475,-166.1424,23.8478,DEEP,FOREREEF
FFS_4664A,4664,375.7175,2641.5825,-166.2207,23.881,DEEP,FOREREEF
FFS_4665A,4665,384.1975,2612.8325,-166.1352,23.622,DEEP,FOREREEF
FFS_4666A,4666,385.8275,2612.9875,-166.1192,23.6235,DEEP,FOREREEF
FFS_4667A,4667,374.8375,2641.8825,-166.2294,23.8836,DEEP,FOREREEF
FFS_4668A,4668,381.8325,2613.8775,-166.1585,23.6312,DEEP,FOREREEF
FFS_4669A,4669,381.3625,2614.0125,-166.1631,23.6324,DEEP,FOREREEF
FFS_4670A,4670,388.4825,2634.7925,-166.0949,23.8206,DEEP,FOREREEF
FFS_4671A,4671,372.0075,2619.5675,-166.2553,23.6819,DEEP,PROTECTED SLOPE
FFS_4672A,4672,360.8425,2637.2525,-166.3664,23.8406,DEEP,PROTECTED SLOPE
FFS_4673A,4673,369.5625,2627.5425,-166.2799,23.7537,DEEP,PROTECTED SLOPE
FFS_4674A,4674,372.8275,2622.8725,-166.2475,23.7118,DEEP,PROTECTED SLOPE
FFS_4675A,4675,368.1775,2632.4275,-166.294,23.7977,DEEP,PROTECTED SLOPE
FFS_4676A,4676,371.2925,2622.2225,-166.2625,23.7058,DEEP,PROTECTED SLOPE
FFS_4677A,4677,367.6075,2628.0975,-166.2992,23.7585,DEEP,PROTECTED SLOPE
FFS_4678A,4678,373.2975,2622.0225,-166.2428,23.7041,DEEP,PROTECTED SLOPE
FFS_4679A,4679,361.6275,2637.6575,-166.3587,23.8444,DEEP,PROTECTED SLOPE
FFS_4680A,4680,363.4375,2625.6275,-166.3398,23.7359,DEEP,PROTECTED SLOPE
FFS_4681A,4681,366.9575,2633.5775,-166.306,23.808,DEEP,PROTECTED SLOPE
FFS_4682A,4682,373.3575,2623.6325,-166.2424,23.7187,DEEP,PROTECTED SLOPE
FFS_4683A,4683,373.8275,2623.4625,-166.2377,23.7172,DEEP,PROTECTED SLOPE
FFS_4684A,4684,374.7125,2626.7575,-166.2293,23.747,DEEP,PROTECTED SLOPE
FFS_4685A,4685,361.9475,2636.9925,-166.3555,23.8384,DEEP,PROTECTED SLOPE
