SITE_ID,SITE_NO,X,Y,LONGITUDE,LATITUDE,DEPTH_BIN,REEF_ID
KUR_4252A,4252,375.165,3142.355,-178.2743,28.4016,DEEP,FOREREEF
KUR_4253A,4253,368.705,3148.375,-178.341,28.4553,DEEP,FOREREEF
KUR_4254A,4254,364.81,3142.92,-178.3801,28.4057,DEEP,FOREREEF
KUR_4255A,4255,364.22,3143.8,-178.3862,28.4136,DEEP,FOREREEF
KUR_4256A,4256,373.93,3140.505,-178.2867,28.3848,DEEP,FOREREEF
KUR_4257A,4257,364.42,3142.62,-178.384,28.403,DEEP,FOREREEF
KUR_4258A,4258,364.625,3143.755,-178.3821,28.4132,DEEP,FOREREEF
KUR_4259A,4259,370.965,3140,-178.3169,28.38,DEEP,FOREREEF
KUR_4260A,4260,367.665,3140.37,-178.3507,28.383,DEEP,FOREREEF
KUR_4261A,4261,365.07,3142.13,-178.3773,28.3986,DEEP,FOREREEF
KUR_4262A,4262,366.1,3146.9,-178.3674,28.4418,DEEP,FOREREEF
KUR_4263A,4263,374.68,3145.69,-178.2797,28.4317,DEEP,FOREREEF
KUR_4264A,4264,365.87,3141.085,-178.3691,28.3893,DEEP,FOREREEF
KUR_4265A,4265,373.33,3140.28,-178.2928,28.3827,DEEP,FOREREEF
KUR_4266A,4266,365.885,3147.07,-178.3696,28.4433,DEEP,FOREREEF
KUR_4267A,4267,374.345,3146.59,-178.2832,28.4398,DEEP,FOREREEF
KUR_4268A,4268,372.22,3148.375,-178.3051,28.4557,DEEP,FOREREEF
KUR_4269A,4269,369.325,3149.015,-178.3347,28.4612,DEEP,FOREREEF
KUR_4270A,4270,364.715,3143.69,-178.3812,28.4126,DEEP,FOREREEF
KUR_4271A,4271,365.46,3146.205,-178.3738,28.4354,DEEP,FOREREEF
KUR_4272A,4272,375.055,3142.97,-178.2755,28.4072,DEEP,FOREREEF
KUR_4273A,4273,365.01,3145.61,-178.3784,28.43,DEEP,FOREREEF
KUR_4274A,4274,366.355,3140.775,-178.3641,28.3865,DEEP,FOREREEF
KUR_4275A,4275,373.285,3147.4,-178.2941,28.447,DEEP,FOREREEF
KUR_4276A,4276,364.775,3142.095,-178.3804,28.3983,DEEP,FOREREEF
KUR_4277A,4277,371.745,3140.18,-178.309,28.3817,DEEP,FOREREEF
KUR_4278A,4278,366.57,3140.845,-178.3619,28.3872,DEEP,FOREREEF
KUR_4279A,4279,364.635,3142.62,-178.3818,28.403,DEEP,FOREREEF
KUR_4280A,4280,371.975,3148.42,-178.3076,28.4561,DEEP,FOREREEF
KUR_4281A,4281,364.945,3144.76,-178.3789,28.4223,DEEP,FOREREEF
KUR_4282A,4282,373.26,3148.025,-178.2944,28.4526,DEEP,FOREREEF
KUR_4283A,4283,370.115,3149.13,-178.3266,28.4623,DEEP,FOREREEF
KUR_4284A,4284,365.76,3141.365,-178.3702,28.3918,DEEP,FOREREEF
KUR_4285A,4285,370.945,3149.075,-178.3182,28.4619,DEEP,FOREREEF
KUR_4286A,4286,373.785,3147.09,-178.2889,28.4442,DEEP,FOREREEF
KUR_4287A,4287,374.745,3141.195,-178.2785,28.3911,DEEP,FOREREEF
KUR_4288A,4288,374.365,3140.955,-178.2824,28.3889,DEEP,FOREREEF
KUR_4289A,4289,372.18,3139.74,-178.3045,28.3777,DEEP,FOREREEF
KUR_4290A,4290,368.155,3148.58,-178.3466,28.4571,DEEP,FOREREEF
KUR_4291A,4291,364.78,3145.77,-178.3807,28.4314,DEEP,FOREREEF
KUR_4292A,4292,374.905,3143.07,-178.2771,28.4081,DEEP,FOREREEF
KUR_4293A,4293,368.695,3148.915,-178.3411,28.4602,DEEP,FOREREEF
KUR_4294A,4294,371.86,3139.91,-178.3078,28.3792,DEEP,FOREREEF
KUR_4295A,4295,368.605,3148.435,-178.342,28.4559,MID,FOREREEF
KUR_4296A,4296,366.015,3141.765,-178.3677,28.3954,MID,FOREREEF
KUR_4297A,4297,364.93,3144.07,-178.379,28.4161,MID,FOREREEF
KUR_4298A,4298,368.15,3142.095,-178.3459,28.3986,MID,FOREREEF
KUR_4299A,4299,369.03,3144.155,-178.3372,28.4173,MID,FOREREEF
KUR_4300A,4300,365.835,3145.98,-178.37,28.4334,MID,FOREREEF
KUR_4301A,4301,371.105,3148.325,-178.3164,28.4551,MID,FOREREEF
KUR_4302A,4302,364.915,3143.37,-178.3791,28.4098,MID,FOREREEF
KUR_4303A,4303,374.265,3143.61,-178.2837,28.4129,MID,FOREREEF
KUR_4304A,4304,366.405,3142.055,-178.3637,28.3981,MID,FOREREEF
KUR_4305A,4305,368.77,3143.165,-178.3397,28.4083,MID,FOREREEF
KUR_4306A,4306,374.185,3145.71,-178.2847,28.4318,MID,FOREREEF
KUR_4307A,4307,367.625,3143.345,-178.3514,28.4098,MID,FOREREEF
KUR_4308A,4308,372.395,3147.715,-178.3032,28.4497,MID,FOREREEF
KUR_4309A,4309,365.425,3143.295,-178.3739,28.4091,MID,FOREREEF
KUR_4310A,4310,365.415,3142.185,-178.3738,28.3991,MID,FOREREEF
KUR_4311A,4311,369.135,3143.15,-178.336,28.4082,MID,FOREREEF
KUR_4312A,4312,366.27,3142.15,-178.3651,28.3989,MID,FOREREEF
KUR_4313A,4313,369.675,3140.38,-178.3302,28.3833,MID,FOREREEF
KUR_4314A,4314,366.635,3142.46,-178.3614,28.4017,MID,FOREREEF
KUR_4315A,4315,367.055,3147.515,-178.3577,28.4474,MID,FOREREEF
KUR_4316A,4316,366.85,3147.44,-178.3598,28.4467,MID,FOREREEF
KUR_4317A,4317,372.375,3140.465,-178.3026,28.3843,MID,FOREREEF
KUR_4318A,4318,374.615,3142.875,-178.28,28.4063,MID,FOREREEF
KUR_4319A,4319,373.455,3146.475,-178.2923,28.4386,MID,FOREREEF
KUR_4320A,4320,370.82,3140.435,-178.3185,28.3839,MID,FOREREEF
KUR_4321A,4321,369.015,3140.58,-178.33690000000001,28.385,MID,FOREREEF
KUR_4322A,4322,370.63,3148.28,-178.3213,28.4547,SHAL,FOREREEF
KUR_4323A,4323,369.85,3143.325,-178.3287,28.4099,SHAL,FOREREEF
KUR_4324A,4324,371.025,3140.985,-178.3164,28.3889,SHAL,FOREREEF
