SITE_ID,SITE_NO,X,Y,LONGITUDE,LATITUDE,DEPTH_BIN,REEF_ID
LAY_5216A,5216,424.29,2849.61,-171.755,25.7626,MID,FOREREEF
LAY_5217A,5217,427.65,2849.51,-171.7215,25.7619,MID,FOREREEF
LAY_5218A,5218,428.53,2850.71,-171.7128,25.7727,MID,FOREREEF
LAY_5219A,5219,424.69,2850.85,-171.7511,25.7738,MID,FOREREEF
LAY_5220A,5220,424.99,2848.93,-171.748,25.7565,MID,FOREREEF
LAY_5221A,5221,426.55,2850.75,-171.7325,25.773,MID,FOREREEF
LAY_5222A,5222,427.59,2852.05,-171.7222,25.7848,MID,FOREREEF
LAY_5223A,5223,426.69,2848.23,-171.731,25.7503,MID,FOREREEF
LAY_5224A,5224,426.11,2852.23,-171.737,25.7863,MID,FOREREEF
LAY_5225A,5225,427.03,2852.07,-171.7278,25.7849,MID,FOREREEF
LAY_5226A,5226,425.37,2850.01,-171.7442,25.7663,MID,FOREREEF
LAY_5227A,5227,428.31,2849.85,-171.7149,25.765,MID,FOREREEF
LAY_5228A,5228,425.55,2851.51,-171.7425,25.7798,SHAL,FOREREEF
LAY_5229A,5229,426.59,2852.15,-171.7322,25.7856,SHAL,FOREREEF
