SITE_ID,SITE_NO,X,Y,LONGITUDE,LATITUDE,DEPTH_BIN,REEF_ID
LIS_4499A,4499,794.4798,2872.6468,-174.0597,25.9427,DEEP,FOREREEF
LIS_4500A,4500,811.2837,2866.2104,-173.8936,25.8812,DEEP,FOREREEF
LIS_4501A,4501,805.3158,2866.7807,-173.953,25.8876,DEEP,FOREREEF
LIS_4502A,4502,791.3635,2874.1133,-174.0905,25.9566,DEEP,FOREREEF
LIS_4503A,4503,792.0153,2873.6041,-174.0841,25.9518,DEEP,FOREREEF
LIS_4504A,4504,815.8054,2866.0474,-173.8486,25.8787,DEEP,FOREREEF
LIS_4505A,4505,798.6961,2870.2637,-174.0182,25.9204,DEEP,FOREREEF
LIS_4506A,4506,812.465,2866.0474,-173.8819,25.8795,DEEP,FOREREEF
LIS_4507A,4507,812.2614,2866.0882,-173.8839,25.8799,DEEP,FOREREEF
LIS_4508A,4508,812.6687,2866.0678,-173.8799,25.8796,DEEP,FOREREEF
LIS_4509A,4509,812.9539,2865.966,-173.8771,25.8786,DEEP,FOREREEF
LIS_4510A,4510,812.3632,2866.1697,-173.8829,25.8806,DEEP,FOREREEF
LIS_4511A,4511,792.0153,2873.7467,-174.0841,25.9531,DEEP,FOREREEF
LIS_4512A,4512,794.215,2872.8708,-174.0623,25.9448,DEEP,FOREREEF
LIS_4513A,4513,790.9154,2874.5003,-174.0949,25.9601,DEEP,FOREREEF
LIS_4514A,4514,816.0702,2866.2919,-173.8459,25.8809,DEEP,FOREREEF
LIS_4515A,4515,809.1857,2866.19,-173.9146,25.8814,DEEP,FOREREEF
LIS_4516A,4516,792.1375,2873.6856,-174.0828,25.9526,DEEP,FOREREEF
LIS_4517A,4517,804.6232,2867.0862,-173.9598,25.8905,DEEP,FOREREEF
LIS_4518A,4518,791.4246,2874.0318,-174.0899,25.9558,DEEP,FOREREEF
LIS_4519A,4519,819.1255,2868.288,-173.815,25.8982,DEEP,FOREREEF
LIS_4520A,4520,799.8571,2877.5555,-174.005,25.9859,DEEP,FOREREEF
LIS_4521A,4521,810.917,2885.9065,-173.8926,26.0588,DEEP,FOREREEF
LIS_4522A,4522,803.2178,2874.0318,-173.9722,25.9534,DEEP,FOREREEF
LIS_4523A,4523,809.6542,2866.2308,-173.9099,25.8817,DEEP,FOREREEF
LIS_4524A,4524,801.8532,2888.697,-173.9825,26.0859,DEEP,FOREREEF
LIS_4525A,4525,791.445,2874.2151,-174.0896,25.9575,DEEP,FOREREEF
LIS_4526A,4526,818.3718,2867.8806,-173.8226,25.8947,DEEP,FOREREEF
LIS_4527A,4527,808.9413,2866.2919,-173.917,25.8824,DEEP,FOREREEF
LIS_4528A,4528,817.2109,2867.1881,-173.8343,25.8887,DEEP,FOREREEF
LIS_4529A,4529,817.2923,2867.2492,-173.8335,25.8892,DEEP,FOREREEF
LIS_4530A,4530,794.3373,2872.8505,-174.0611,25.9446,DEEP,FOREREEF
LIS_4531A,4531,812.852,2865.9252,-173.8781,25.8783,DEEP,FOREREEF
LIS_4532A,4532,809.0228,2885.3973,-173.9117,26.0547,MID,FOREREEF
LIS_4533A,4533,807.76,2886.7213,-173.924,26.0669,MID,FOREREEF
LIS_4534A,4534,811.3855,2874.8669,-173.8906,25.9592,MID,FOREREEF
LIS_4535A,4535,808.2081,2885.6825,-173.9197,26.0574,MID,FOREREEF
LIS_4536A,4536,809.1246,2882.0366,-173.9114,26.0243,MID,FOREREEF
LIS_4537A,4537,805.0102,2885.2751,-173.9517,26.0544,MID,FOREREEF
LIS_4538A,4538,803.8289,2877.2704,-173.9654,25.9825,MID,FOREREEF
LIS_4539A,4539,806.6804,2872.9727,-173.938,25.9431,MID,FOREREEF
LIS_4540A,4540,803.9307,2876.5779000000002,-173.9645,25.9762,MID,FOREREEF
LIS_4541A,4541,801.9957,2884.1141,-173.9821,26.0446,MID,FOREREEF
LIS_4542A,4542,799.0627,2885.6418,-174.011,26.059,MID,FOREREEF
LIS_4543A,4543,808.4729,2885.214,-173.9172,26.0531,MID,FOREREEF
LIS_4544A,4544,812.4447,2882.7087,-173.8781,26.0297,MID,FOREREEF
LIS_4545A,4545,808.2692,2873.6245,-173.922,25.9487,MID,FOREREEF
LIS_4546A,4546,808.4729,2872.3616,-173.9202,25.9372,MID,FOREREEF
LIS_4547A,4547,800.407,2885.9269,-173.9976,26.0612,MID,FOREREEF
LIS_4548A,4548,801.7717,2876.9241,-173.986,25.9798,MID,FOREREEF
LIS_4549A,4549,802.5864,2888.2693,-173.9753,26.0819,MID,FOREREEF
LIS_4550A,4550,811.5485,2881.5885,-173.8874,26.0198,MID,FOREREEF
LIS_4551A,4551,803.0549,2877.9425,-173.973,25.9887,MID,FOREREEF
LIS_4552A,4552,809.3487,2881.6088,-173.9093,26.0204,MID,FOREREEF
LIS_4553A,4553,813.3001,2876.5982,-173.8711,25.9744,MID,FOREREEF
LIS_4554A,4554,807.2508,2875.0095,-173.9318,25.9614,MID,FOREREEF
LIS_4555A,4555,802.7086,2878.411,-173.9763,25.993,MID,FOREREEF
LIS_4556A,4556,812.8317,2876.0279,-173.8759,25.9694,MID,FOREREEF
LIS_4557A,4557,799.4293,2878.5536,-174.009,25.995,MID,FOREREEF
LIS_4558A,4558,802.0365,2881.3848,-173.9823,26.02,MID,FOREREEF
LIS_4559A,4559,810.3671,2885.0918,-173.8983,26.0516,MID,FOREREEF
LIS_4560A,4560,804.0733,2884.9492,-173.9612,26.0517,SHAL,FOREREEF
LIS_4561A,4561,808.0859,2879.959,-173.9223,26.0058,SHAL,FOREREEF
LIS_4562A,4562,804.4399,2881.1607,-173.9584,26.0174,SHAL,FOREREEF
LIS_4563A,4563,804.0937,2881.7107,-173.9617,26.0225,SHAL,FOREREEF
LIS_4564A,4564,808.2488,2879.4498,-173.9208,26.0012,SHAL,FOREREEF
LIS_4565A,4565,803.9918,2880.5497,-173.963,26.012,SHAL,FOREREEF
LIS_4566A,4566,804.3992,2881.3644,-173.9588,26.0193,SHAL,FOREREEF
LIS_4567A,4567,806.7212,2881.4051,-173.9356,26.0192,SHAL,FOREREEF
LIS_4568A,4568,807.8211,2874.9077,-173.9261,25.9603,SHAL,FOREREEF
LIS_4569A,4569,802.8716,2880.5904,-173.9742,26.0126,SHAL,FOREREEF
LIS_4570A,4570,804.114,2886.8231,-173.9603,26.0686,SHAL,FOREREEF
LIS_4571A,4571,810.4893,2877.4333,-173.8989,25.9825,SHAL,FOREREEF
LIS_4572A,4572,805.2139,2882.3828,-173.9504,26.0283,SHAL,FOREREEF
LIS_4573A,4573,805.6213,2880.183,-173.9468,26.0084,SHAL,FOREREEF
LIS_4574A,4574,806.5582,2884.2567,-173.9365,26.0449,SHAL,FOREREEF
LIS_4575A,4575,808.0044,2881.1607,-173.9228,26.0167,SHAL,FOREREEF
LIS_4576A,4576,802.9734,2883.2383,-173.9726,26.0365,SHAL,FOREREEF
LIS_4577A,4577,804.8473,2883.5234,-173.9538,26.0386,SHAL,FOREREEF
