SITE_ID,SITE_NO,X,Y,LONGITUDE,LATITUDE,DEPTH_BIN,REEF_ID
MAR_4175A,4175,527.83,2817.69,-170.7231,25.476,DEEP,FOREREEF
MAR_4176A,4176,540.77,2798.51,-170.595,25.3025,DEEP,FOREREEF
MAR_4177A,4177,529.17,2813.87,-170.7099,25.4415,DEEP,FOREREEF
MAR_4178A,4178,541.69,2808.17,-170.5855,25.3898,DEEP,FOREREEF
MAR_4179A,4179,536.95,2803.59,-170.6328,25.3485,DEEP,FOREREEF
MAR_4180A,4180,555.51,2812.35,-170.448,25.427,DEEP,FOREREEF
MAR_4181A,4181,545.19,2800.63,-170.551,25.3216,DEEP,FOREREEF
MAR_4182A,4182,544.49,2795.19,-170.5581,25.2725,DEEP,FOREREEF
MAR_4183A,4183,534.01,2820.99,-170.6616,25.5057,DEEP,FOREREEF
MAR_4184A,4184,536.49,2803.73,-170.6374,25.3498,DEEP,FOREREEF
MAR_4185A,4185,542.99,2818.03,-170.5723,25.4788,DEEP,FOREREEF
MAR_4186A,4186,554.33,2813.67,-170.4597,25.439,DEEP,FOREREEF
MAR_4187A,4187,543.01,2818.85,-170.5721,25.4862,DEEP,FOREREEF
MAR_4188A,4188,533.17,2809.31,-170.6702,25.4003,DEEP,FOREREEF
MAR_4189A,4189,551.03,2799.11,-170.493,25.3076,DEEP,FOREREEF
MAR_4190A,4190,550.45,2811.87,-170.4983,25.4229,MID,FOREREEF
MAR_4191A,4191,554.35,2805.59,-170.4598,25.366,MID,FOREREEF
MAR_4192A,4192,550.49,2810.91,-170.498,25.4142,MID,FOREREEF
MAR_4193A,4193,549.07,2809.67,-170.5121,25.4031,MID,FOREREEF
MAR_4194A,4194,544.63,2805.91,-170.5564,25.3693,MID,FOREREEF
MAR_4195A,4195,536.11,2813.05,-170.6409,25.434,MID,FOREREEF
MAR_4196A,4196,550.27,2807.35,-170.5003,25.3821,MID,FOREREEF
MAR_4197A,4197,546.99,2811.93,-170.5327,25.4235,SHAL,FOREREEF
