SITE_ID,SITE_NO,X,Y,LONGITUDE,LATITUDE,DEPTH_BIN,REEF_ID
PHR_4511A,4511,613.185,3092.285,-175.8494,27.9508,DEEP,FOREREEF
PHR_4512A,4512,625.005,3083.305,-175.7302,27.8687,DEEP,FOREREEF
PHR_4513A,4513,597.455,3076.655,-176.0106,27.811,DEEP,FOREREEF
PHR_4514A,4514,602.12,3084.36,-175.9626,27.8802,DEEP,FOREREEF
PHR_4515A,4515,618.03,3094.24,-175.8,27.968,DEEP,FOREREEF
PHR_4516A,4516,610.4,3090.355,-175.8779,27.9336,DEEP,FOREREEF
PHR_4517A,4517,625.165,3083.955,-175.7285,27.8745,DEEP,FOREREEF
PHR_4518A,4518,597.81,3078.525,-176.0068,27.8278,DEEP,FOREREEF
PHR_4519A,4519,624.285,3081.395,-175.7377,27.8515,DEEP,FOREREEF
PHR_4520A,4520,614.13,3092.865,-175.8397,27.956,DEEP,FOREREEF
PHR_4521A,4521,610.72,3090.74,-175.8746,27.9371,DEEP,FOREREEF
PHR_4522A,4522,616.84,3073.62,-175.8141,27.782,DEEP,FOREREEF
PHR_4523A,4523,616.675,3093.52,-175.8138,27.9616,DEEP,FOREREEF
PHR_4524A,4524,610.47,3090.16,-175.8772,27.9318,DEEP,FOREREEF
PHR_4525A,4525,600.035,3081.415,-175.984,27.8537,DEEP,FOREREEF
PHR_4526A,4526,602.16,3084.945,-175.9621,27.8854,DEEP,FOREREEF
PHR_4527A,4527,602.765,3084.965,-175.956,27.8856,DEEP,FOREREEF
PHR_4528A,4528,607.985,3088.18,-175.9026,27.9142,DEEP,FOREREEF
PHR_4529A,4529,603.095,3085.1,-175.9526,27.8868,DEEP,FOREREEF
PHR_4530A,4530,597.75,3077.345,-176.0075,27.8172,DEEP,FOREREEF
PHR_4531A,4531,599.335,3074.545,-175.9917,27.7918,MID,FOREREEF
PHR_4532A,4532,616.415,3091.565,-175.8166,27.944,MID,FOREREEF
PHR_4533A,4533,617.77,3081.48,-175.8039,27.8529,MID,FOREREEF
PHR_4534A,4534,617.41,3077.085,-175.808,27.8132,MID,FOREREEF
PHR_4535A,4535,618.475,3086.325,-175.7962,27.8965,MID,FOREREEF
PHR_4536A,4536,617.755,3076.535,-175.8045,27.8083,MID,FOREREEF
PHR_4537A,4537,620.055,3081.93,-175.7806,27.8567,MID,FOREREEF
PHR_4538A,4538,610.985,3076.375,-175.8733,27.8074,MID,FOREREEF
PHR_4539A,4539,613.93,3092,-175.8419,27.9482,MID,FOREREEF
PHR_4540A,4540,616.295,3079.785,-175.819,27.8377,MID,FOREREEF
PHR_4541A,4541,616.595,3087.43,-175.8152,27.9067,MID,FOREREEF
PHR_4542A,4542,605.08,3077.845,-175.9331,27.8211,MID,FOREREEF
PHR_4543A,4543,615.085,3077.68,-175.8315,27.8188,MID,FOREREEF
PHR_4544A,4544,607.565,3080.775,-175.9076,27.8474,MID,FOREREEF
PHR_4545A,4545,601.275,3072.275,-175.9722,27.7711,MID,FOREREEF
PHR_4546A,4546,615.67,3091.34,-175.8242,27.9421,MID,FOREREEF
PHR_4547A,4547,616.125,3091.07,-175.8196,27.9396,MID,FOREREEF
PHR_4548A,4548,615.28,3086.26,-175.8287,27.8962,MID,FOREREEF
