SITE_ID,SITE_NO,X,Y,LONGITUDE,LATITUDE,DEPTH_BIN,REEF_ID
HOW_0001A,0001,543.3034,87.9483,-176.6108,0.7957,DEEP,FOREREEF
HOW_0002A,0002,542.1152,91.0548,-176.6215,0.8238,DEEP,FOREREEF
HOW_0003A,0003,542.1492,88.6704,-176.6212,0.8022,DEEP,FOREREEF
HOW_0004A,0004,542.5313,90.9008,-176.6177,0.8224,DEEP,FOREREEF
HOW_0005A,0005,541.9412,91.1748,-176.623,0.8249,DEEP,FOREREEF
HOW_0006A,0006,542.6833,90.5647,-176.6164,0.8193,MID,FOREREEF
HOW_0007A,0007,542.1732,90.7968,-176.621,0.8214,MID,FOREREEF
HOW_0008A,0008,541.9712,90.8568,-176.6228,0.822,MID,FOREREEF
HOW_0009A,0009,543.2114,89.7526,-176.6116,0.812,MID,FOREREEF
HOW_0010A,0010,543.1334,87.6542,-176.6123,0.793,MID,FOREREEF
HOW_0011A,0011,542.5633,90.7068,-176.6175,0.8206,MID,FOREREEF
HOW_0012A,0012,543.2894,88.1583,-176.6109,0.7976,MID,FOREREEF
HOW_0013A,0013,542.3693,90.9388,-176.6192,0.8227,MID,FOREREEF
HOW_0014A,0014,543.1274,89.9766,-176.6124,0.814,MID,FOREREEF
HOW_0015A,0015,541.7211,90.6848,-176.625,0.8204,SHAL,FOREREEF
HOW_0016A,0016,542.8193,90.3707,-176.6152,0.8176,SHAL,FOREREEF
HOW_0017A,0017,543.3414,88.9605,-176.6105,0.8048,SHAL,FOREREEF
HOW_0018A,0018,542.5633,87.7042,-176.6175,0.7935,SHAL,FOREREEF
HOW_0019A,0019,541.6671,90.5367,-176.6255,0.8191,SHAL,FOREREEF
HOW_0020A,0020,542.9153,90.2327,-176.6143,0.8163,SHAL,FOREREEF
HOW_0021A,0021,542.6053,90.4427,-176.6171,0.8182,SHAL,FOREREEF
HOW_0022A,0022,541.8772,90.6868,-176.6236,0.8205,SHAL,FOREREEF
HOW_0023A,0023,541.7591,90.4487,-176.6247,0.8183,SHAL,FOREREEF
HOW_0024A,0024,542.7453,90.4587,-176.6158,0.8184,SHAL,FOREREEF
HOW_0025A,0025,543.3814,88.7764,-176.6101,0.8032,SHAL,FOREREEF
