SITE_ID,SITE_NO,X,Y,LONGITUDE,LATITUDE,DEPTH_BIN,REEF_ID
KIN_0001A,0001,793.4125,707.1275,-162.3477,6.3905,DEEP,BACKREEF
KIN_0002A,0002,789.5125,712.2625,-162.3827,6.4371,DEEP,FOREREEF
KIN_0003A,0003,782.0275,707.2125,-162.4506,6.3918,DEEP,LAGOON
KIN_0004A,0004,784.0675,709.8325,-162.432,6.4154,DEEP,LAGOON
KIN_0005A,0005,781.6875,707.2575,-162.4536,6.3922,DEEP,LAGOON
KIN_0006A,0006,783.6175,706.4975,-162.4362,6.3853,DEEP,LAGOON
KIN_0007A,0007,786.5925,708.5725,-162.4093,6.4039,DEEP,LAGOON
KIN_0008A,0008,785.4325,710.0725,-162.4197,6.4175,DEEP,LAGOON
KIN_0009A,0009,786.1525,710.9825,-162.4131,6.4257,DEEP,LAGOON
KIN_0010A,0010,783.8925,707.5425,-162.4337,6.3947,DEEP,LAGOON
KIN_0011A,0011,783.2475,709.0725,-162.4395,6.4085,DEEP,LAGOON
KIN_0012A,0012,781.1975,707.8275,-162.458,6.3974,DEEP,LAGOON
KIN_0013A,0013,781.9325,706.4925,-162.4515,6.3853,DEEP,PROTECTED SLOPE
KIN_0014A,0014,783.3275,710.3625,-162.4387,6.4202,DEEP,PROTECTED SLOPE
KIN_0015A,0015,788.5975,712.2775,-162.391,6.4373,MID,BACKREEF
KIN_0016A,0016,793.4425,707.3375,-162.3474,6.3924,MID,BACKREEF
KIN_0017A,0017,793.0175,709.2025,-162.3512,6.4093,MID,BACKREEF
KIN_0018A,0018,790.6925,710.8925,-162.3721,6.4246,MID,FOREREEF
KIN_0019A,0019,792.1025,705.9825,-162.3596,6.3802,MID,FOREREEF
KIN_0020A,0020,788.9625,706.2675,-162.388,6.3829,MID,FOREREEF
KIN_0021A,0021,789.2625,706.2175,-162.3853,6.3825,MID,FOREREEF
KIN_0022A,0022,791.7575,705.9775,-162.3627,6.3802,MID,FOREREEF
KIN_0023A,0023,784.8675,706.7025,-162.4249,6.387,MID,LAGOON
KIN_0024A,0024,791.9625,707.1175,-162.3608,6.3905,MID,LAGOON
KIN_0025A,0025,782.8175,709.5325,-162.4433,6.4127,MID,PROTECTED SLOPE
KIN_0026A,0026,783.9925,710.5675,-162.4327,6.422,MID,PROTECTED SLOPE
KIN_0027A,0027,779.1025,706.7875,-162.477,6.3881,MID,PROTECTED SLOPE
KIN_0028A,0028,782.7575,709.2425,-162.4439,6.4101,MID,PROTECTED SLOPE
KIN_0029A,0029,787.6625,713.2075,-162.39940000000001,6.4457,MID,PROTECTED SLOPE
KIN_0030A,0030,788.2725,712.7325,-162.3939,6.4414,MID,PROTECTED SLOPE
KIN_0031A,0031,783.4975,710.4375,-162.4371,6.4209,MID,PROTECTED SLOPE
KIN_0032A,0032,786.3375,713.5475,-162.4113,6.4488,MID,PROTECTED SLOPE
KIN_0033A,0033,782.2875,709.4925,-162.4481,6.4124,MID,PROTECTED SLOPE
KIN_0034A,0034,786.4175,713.4225,-162.4106,6.4477,MID,PROTECTED SLOPE
KIN_0035A,0035,786.0925,713.1975,-162.4136,6.4457,MID,PROTECTED SLOPE
KIN_0036A,0036,779.1325,707.6075,-162.4767,6.3955,MID,PROTECTED SLOPE
KIN_0037A,0037,786.4875,713.6325,-162.41,6.4496,MID,PROTECTED SLOPE
KIN_0038A,0038,787.7725,713.0725,-162.3984,6.4445,MID,PROTECTED SLOPE
KIN_0039A,0039,780.7175,706.1675,-162.4624,6.3824,MID,PROTECTED SLOPE
KIN_0040A,0040,784.2125,710.7275,-162.4307,6.4235,MID,PROTECTED SLOPE
KIN_0041A,0041,794.0875,706.9475,-162.3416,6.3888,SHAL,BACKREEF
KIN_0042A,0042,794.2925,706.7975,-162.3398,6.3875,SHAL,BACKREEF
KIN_0043A,0043,790.5675,710.8025,-162.3733,6.4238,SHAL,BACKREEF
KIN_0044A,0044,793.5875,706.3625,-162.3462,6.3836,SHAL,FOREREEF
KIN_0045A,0045,788.2975,706.4125,-162.394,6.3843,SHAL,FOREREEF
KIN_0046A,0046,781.6925,709.1075,-162.4535,6.4089,SHAL,PROTECTED SLOPE
