SITE_ID,SITE_NO,X,Y,LONGITUDE,LATITUDE,DEPTH_BIN,REEF_ID
PAL_0001A,0001,816.2425,651.4825,-162.1442,5.8866,DEEP,FOREREEF
PAL_0002A,0002,817.7575,649.7925,-162.1306,5.8713,DEEP,FOREREEF
PAL_0003A,0003,821.2075,649.2875,-162.0995,5.8666,DEEP,FOREREEF
PAL_0004A,0004,816.4575,651.2025,-162.1423,5.8841,DEEP,FOREREEF
PAL_0005A,0005,817.6075,649.3975,-162.132,5.8677,DEEP,FOREREEF
PAL_0006A,0006,815.0325,651.5375,-162.1551,5.8872,DEEP,FOREREEF
PAL_0007A,0007,832.0375,649.7125,-162.0018,5.8699,DEEP,FOREREEF
PAL_0008A,0008,831.7675,650.1575,-162.0042,5.8739,DEEP,FOREREEF
PAL_0009A,0009,815.4525,650.0125,-162.1514,5.8734,DEEP,FOREREEF
PAL_0010A,0010,815.5225,651.7825,-162.1507,5.8894,DEEP,FOREREEF
PAL_0011A,0011,831.9025,649.5575,-162.003,5.8685,DEEP,FOREREEF
PAL_0012A,0012,813.5525,651.1425,-162.1685,5.8837,MID,FOREREEF
PAL_0013A,0013,829.8625,648.9375,-162.0214,5.863,MID,FOREREEF
PAL_0014A,0014,817.0325,652.5575,-162.137,5.8963,MID,FOREREEF
PAL_0015A,0015,816.5025,649.3125,-162.142,5.867,MID,FOREREEF
PAL_0016A,0016,815.7175,651.9975,-162.1489,5.8913,MID,FOREREEF
PAL_0017A,0017,825.4575,652.7575,-162.061,5.8977,MID,FOREREEF
PAL_0018A,0018,829.7575,650.6425,-162.0223,5.8784,MID,FOREREEF
PAL_0019A,0019,816.1575,652.0875,-162.1449,5.8921,MID,FOREREEF
PAL_0020A,0020,828.0525,649.6975,-162.0377,5.87,MID,FOREREEF
PAL_0021A,0021,818.4275,649.5025,-162.1246,5.8687,MID,FOREREEF
PAL_0022A,0022,829.0375,649.2125,-162.0289,5.8655,MID,FOREREEF
PAL_0023A,0023,829.7825,649.5525,-162.0221,5.8686,MID,FOREREEF
PAL_0024A,0024,818.7875,649.8575,-162.1213,5.8718,MID,FOREREEF
PAL_0025A,0025,819.1625,650.4775,-162.1179,5.8774,MID,FOREREEF
PAL_0026A,0026,818.2975,650.4025,-162.1257,5.8768,MID,FOREREEF
PAL_0027A,0027,816.6675,649.3675,-162.1405,5.8675,MID,FOREREEF
PAL_0028A,0028,814.9375,650.9625,-162.156,5.882,MID,FOREREEF
PAL_0029A,0029,818.7275,652.4675,-162.1217,5.8954,MID,FOREREEF
PAL_0030A,0030,815.7875,651.3325,-162.1483,5.8853,MID,FOREREEF
PAL_0031A,0031,816.3425,649.5175,-162.1434,5.8689,MID,FOREREEF
PAL_0032A,0032,819.0075,649.3725,-162.1194,5.8674,MID,FOREREEF
PAL_0033A,0033,818.5925,650.2925,-162.1231,5.8758,MID,FOREREEF
PAL_0034A,0034,829.7375,650.0625,-162.0225,5.8732,MID,FOREREEF
PAL_0035A,0035,830.2625,649.6825,-162.0178,5.8697,MID,FOREREEF
PAL_0036A,0036,828.5625,651.0175,-162.0331,5.8819,MID,FOREREEF
PAL_0037A,0037,831.3925,650.2275,-162.0076,5.8746,MID,FOREREEF
PAL_0038A,0038,814.6875,651.0275,-162.1583,5.8826,MID,FOREREEF
PAL_0039A,0039,827.6025,651.3725,-162.0417,5.8851,MID,FOREREEF
PAL_0040A,0040,816.8325,650.3525,-162.1389,5.8764,MID,FOREREEF
PAL_0041A,0041,816.5025,652.4825,-162.1418,5.8957,MID,FOREREEF
PAL_0042A,0042,827.5175,650.6575,-162.0425,5.8787,SHAL,FOREREEF
PAL_0043A,0043,819.3625,651.4525,-162.1161,5.8862,SHAL,FOREREEF
PAL_0044A,0044,820.3175,649.3375,-162.1075,5.8671,SHAL,FOREREEF
PAL_0045A,0045,818.9625,651.4475,-162.1197,5.8862,SHAL,FOREREEF
PAL_0046A,0046,828.9825,650.7725,-162.0293,5.8796,SHAL,FOREREEF
PAL_0047A,0047,819.3525,651.7575,-162.1161,5.889,SHAL,FOREREEF
PAL_0048A,0048,826.2775,652.1375,-162.0536,5.8921,SHAL,FOREREEF
PAL_0049A,0049,829.9025,650.4025,-162.021,5.8762,SHAL,FOREREEF
PAL_0050A,0050,819.9575,650.8425,-162.1107,5.8807,SHAL,FOREREEF
PAL_0051A,0051,825.5925,652.3875,-162.0598,5.8944,SHAL,FOREREEF
PAL_0052A,0052,820.3925,649.4225,-162.1069,5.8678,SHAL,FOREREEF
PAL_0053A,0053,819.8675,650.5125,-162.1115,5.8777,SHAL,FOREREEF
PAL_0054A,0054,818.6875,650.1425,-162.1222,5.8744,SHAL,FOREREEF
PAL_0055A,0055,820.8825,649.4075,-162.1024,5.8677,SHAL,FOREREEF
