SITE_ID,SITE_NO,X,Y,LONGITUDE,LATITUDE,DEPTH_BIN,REEF_ID
SAI_0001A,0001,355.4425,1681.7825,145.6542,15.208,DEEP,FOREREEF
SAI_0002A,0002,361.3725,1670.2925,145.71,15.1045,DEEP,FOREREEF
SAI_0003A,0003,358.7525,1674.5675,145.6854,15.143,DEEP,FOREREEF
SAI_0004A,0004,357.5625,1673.7725,145.6744,15.1358,DEEP,FOREREEF
SAI_0005A,0005,359.7575,1680.1475,145.6944,15.1935,DEEP,FOREREEF
SAI_0006A,0006,370.4225,1675.2225,145.7939,15.1495,DEEP,FOREREEF
SAI_0007A,0007,358.2575,1673.9825,145.6808,15.1377,DEEP,FOREREEF
SAI_0008A,0008,358.6725,1682.9925,145.6842,15.2192,DEEP,FOREREEF
SAI_0009A,0009,352.8525,1680.9175,145.6301,15.2001,DEEP,FOREREEF
SAI_0010A,0010,351.9175,1678.1275,145.6216,15.1748,DEEP,FOREREEF
SAI_0011A,0011,357.5225,1674.6525,145.6739,15.1437,DEEP,FOREREEF
SAI_0012A,0012,353.8425,1682.1125,145.6393,15.2109,DEEP,FOREREEF
SAI_0013A,0013,369.8525,1675.1975,145.7886,15.1493,DEEP,FOREREEF
SAI_0014A,0014,373.4075,1687.2675,145.8211,15.2586,DEEP,FOREREEF
SAI_0015A,0015,366.3725,1670.8275,145.7565,15.1096,DEEP,FOREREEF
SAI_0016A,0016,359.8375,1680.7525,145.6951,15.199,DEEP,FOREREEF
SAI_0017A,0017,351.7825,1677.8225,145.6203,15.172,DEEP,FOREREEF
SAI_0018A,0018,361.2775,1686.4225,145.7082,15.2503,DEEP,FOREREEF
SAI_0019A,0019,357.1825,1679.2125,145.6705,15.1849,DEEP,FOREREEF
SAI_0020A,0020,359.2575,1679.3725,145.6898,15.1865,DEEP,FOREREEF
SAI_0021A,0021,351.7925,1678.9775,145.6204,15.1825,DEEP,FOREREEF
SAI_0022A,0022,359.5025,1681.4175,145.692,15.205,DEEP,FOREREEF
SAI_0023A,0023,358.5175,1682.0075,145.6828,15.2102,DEEP,FOREREEF
SAI_0024A,0024,359.7075,1685.0675,145.6937,15.238,DEEP,FOREREEF
SAI_0025A,0025,360.0175,1681.9425,145.6967,15.2097,MID,FOREREEF
SAI_0026A,0026,372.7775,1687.2675,145.8153,15.2585,MID,FOREREEF
SAI_0027A,0027,359.7575,1683.6275,145.6942,15.225,MID,FOREREEF
SAI_0028A,0028,360.0575,1682.7625,145.6971,15.2172,MID,FOREREEF
SAI_0029A,0029,365.3025,1675.0425,145.7463,15.1477,MID,FOREREEF
SAI_0030A,0030,369.7925,1688.5775,145.7874,15.2702,MID,FOREREEF
SAI_0031A,0031,359.8575,1682.8425,145.6952,15.2179,MID,FOREREEF
SAI_0032A,0032,364.8675,1669.6825,145.7425,15.0992,MID,FOREREEF
SAI_0033A,0033,359.9425,1684.5225,145.6959,15.2331,MID,FOREREEF
SAI_0034A,0034,363.4375,1687.0425,145.7283,15.256,MID,FOREREEF
SAI_0035A,0035,360.7375,1680.8075,145.7035,15.1995,MID,FOREREEF
SAI_0036A,0036,359.9575,1682.7575,145.6961,15.2171,MID,FOREREEF
SAI_0037A,0037,358.5525,1673.0275,145.6836,15.1291,MID,FOREREEF
SAI_0038A,0038,363.6275,1686.9875,145.7301,15.2555,MID,FOREREEF
SAI_0039A,0039,359.1725,1683.3225,145.6888,15.2222,MID,FOREREEF
SAI_0040A,0040,359.1775,1672.3125,145.6895,15.1227,MID,FOREREEF
SAI_0041A,0041,359.9525,1678.5275,145.6963,15.1789,MID,FOREREEF
SAI_0042A,0042,367.4275,1676.4775,145.766,15.1607,SHAL,FOREREEF
SAI_0043A,0043,358.7375,1673.1175,145.6853,15.1299,SHAL,FOREREEF
SAI_0044A,0044,365.7825,1672.4425,145.7509,15.1242,SHAL,FOREREEF
SAI_0045A,0045,366.5325,1676.4575,145.7577,15.1605,SHAL,FOREREEF
SAI_0046A,0046,359.2775,1673.8775,145.6903,15.1368,SHAL,FOREREEF
