id,x,y,longitude,latitude,depth,strat,depth_bin
swa_0001,492.92610165561837,8778.253642861644,-171.0648,-11.0521,18.591960906982422,1,DEEP
swa_0002,492.7141016556234,8778.569642861421,-171.0667,-11.0493,21.06053924560547,1,DEEP
swa_0003,492.6421016556251,8778.675642861344,-171.0674,-11.0483,18.544260025024414,1,DEEP
swa_0004,490.1641016556837,8777.449642862211,-171.0901,-11.0594,27.17923927307129,2,DEEP
swa_0005,492.5481016556273,8777.217642862375,-171.0682,-11.0615,18.424299240112305,3,DEEP
swa_0006,492.9201016556185,8777.67764286205,-171.0648,-11.0574,7.940855026245117,4,MID
swa_0007,490.2681016556812,8778.711642861319,-171.0891,-11.048,15.322039604187012,4,MID
swa_0008,491.7121016556471,8778.98164286113,-171.0759,-11.0456,12.365240097045898,4,MID
swa_0009,491.5961016556498,8776.523642862863,-171.0769,-11.0678,16.530380249023438,4,MID
swa_0010,492.9681016556174,8778.133642861729,-171.0644,-11.0532,15.044939994812012,4,MID
swa_0011,490.3241016556799,8777.1336428624345,-171.0886,-11.0623,15.799989700317383,4,MID
swa_0012,492.19610165563563,8778.997642861119,-171.0714,-11.0454,16.103700637817383,4,MID
swa_0013,492.0501016556391,8779.013642861108,-171.0728,-11.0453,15.524299621582031,4,MID
swa_0014,491.3861016556548,8778.991642861121,-171.0789,-11.0455,17.2039794921875,4,MID
swa_0015,490.8481016556675,8778.85364286122,-171.0838,-11.0467,16.09256935119629,4,MID
swa_0016,490.45210165567687,8777.015642862516,-171.0874,-11.0633,11.650150299072266,4,MID
swa_0017,493.0641016556151,8777.941642861864,-171.0635,-11.055,17.79620933532715,4,MID
swa_0018,493.0101016556164,8778.041642861794,-171.064,-11.0541,14.75082015991211,4,MID
swa_0019,492.45410165562953,8778.849642861223,-171.0691,-11.0468,17.81052017211914,4,MID
swa_0020,490.8361016556678,8776.65564286277,-171.0839,-11.0666,13.595319747924805,4,MID
swa_0021,490.0321016556868,8778.507642861463,-171.0913,-11.0498,8.240822792053223,4,MID
swa_0022,492.8221016556208,8777.479642862188,-171.0657,-11.0591,17.326539993286133,4,MID
swa_0023,491.42610165565384,8776.477642862897,-171.0785,-11.0682,14.479459762573242,4,MID
swa_0024,492.5481016556273,8778.71364286132,-171.0682,-11.048,8.288872718811035,4,MID
swa_0025,491.92810165564197,8779.011642861107,-171.0739,-11.0453,15.164580345153809,4,MID
swa_0026,490.11410165568486,8778.617642861387,-171.0905,-11.0489,11.988679885864258,4,MID
swa_0027,490.1641016556837,8777.451642862208,-171.0901,-11.0594,12.440839767456055,5,MID
swa_0028,489.9101016556897,8778.029642861802,-171.0924,-11.0542,15.13700008392334,6,MID
swa_0029,492.41010165563057,8777.101642862457,-171.0695,-11.0626,15.82960033416748,6,MID
swa_0030,490.0501016556864,8777.545642862144,-171.0911,-11.0585,13.50158977508545,6,MID
swa_0031,491.95410165564135,8776.777642862686,-171.0737,-11.0655,6.393694877624512,6,MID
swa_0032,489.95810165568855,8777.8876428619,-171.0919,-11.0555,9.307202339172363,6,MID
swa_0033,489.99610165568765,8777.701642862034,-171.0916,-11.0571,14.55055046081543,6,MID
swa_0034,492.2361016556347,8776.963642862553,-171.0711,-11.0638,15.718660354614258,6,MID
swa_0035,491.7881016556453,8776.667642862762,-171.0752,-11.0665,5.901681900024414,8,SHAL
swa_0036,490.234101655682,8777.321642862302,-171.0894,-11.0606,4.480420112609863,8,SHAL
swa_0037,490.76210165566954,8776.7576428627,-171.0846,-11.0657,5.146006107330322,8,SHAL
swa_0038,490.4761016556763,8778.75164286129,-171.0872,-11.0476,5.253786087036133,8,SHAL
swa_0039,490.7181016556706,8778.799642861257,-171.085,-11.0472,5.16537618637085,8,SHAL
swa_0040,489.95410165568865,8778.263642861635,-171.092,-11.0521,4.494272232055664,10,SHAL
swa_0041,492.6281016556254,8777.359642862273,-171.0675,-11.0602,5.828314781188965,10,SHAL
