SITE_ID,SITE_NO,X,Y,LONGITUDE,LATITUDE,DEPTH_BIN,REEF_ID
TUT_6061A,6061,531.6143,8416.4565,-170.7068,-14.3237,MID,REEF CREST/REEF FLAT
TUT_6062A,6062,530.7263,8416.8735,-170.7151,-14.3199,SHAL,LAGOON
TUT_6063A,6063,530.5993,8417.0485,-170.7163,-14.3183,SHAL,LAND
TUT_6064A,6064,531.7723,8416.2575,-170.7054,-14.3255,SHAL,REEF CREST/REEF FLAT
TUT_6065A,6065,531.1243,8416.7135,-170.7114,-14.3214,SHAL,LAGOON
TUT_6066A,6066,530.8653,8416.9775,-170.7138,-14.319,SHAL,LAGOON
TUT_6067A,6067,530.8613,8416.6725,-170.7138,-14.3217,SHAL,LAGOON
TUT_6068A,6068,530.6643,8417.0125,-170.7157,-14.3187,SHAL,LAGOON
TUT_6069A,6069,530.7813,8417.0735,-170.7146,-14.3181,SHAL,LAGOON
TUT_6070A,6070,531.1203,8416.4665,-170.7114,-14.3236,SHAL,LAGOON
TUT_6071A,6071,531.2463,8416.6625,-170.7103,-14.3218,SHAL,LAGOON
TUT_6072A,6072,530.8233,8417.0105,-170.7142,-14.3187,SHAL,LAGOON
TUT_6073A,6073,531.0573,8416.6695,-170.712,-14.3218,SHAL,LAGOON
TUT_6074A,6074,530.9673,8416.7845,-170.7128,-14.3207,SHAL,LAGOON
TUT_6075A,6075,530.7213,8417.0985,-170.7151,-14.3179,SHAL,LAGOON
TUT_6076A,6076,530.7133,8417.0425,-170.7152,-14.3184,SHAL,LAGOON
TUT_6077A,6077,530.9703,8416.9145,-170.7128,-14.3195,SHAL,LAGOON
TUT_6078A,6078,530.8163,8416.8195,-170.7142,-14.3204,SHAL,LAGOON
TUT_6079A,6079,530.9733,8416.4045,-170.7128,-14.3242,SHAL,LAND
TUT_6080A,6080,531.1053,8416.5335,-170.7116,-14.323,SHAL,REEF CREST/REEF FLAT
TUT_6081A,6081,531.4233,8416.3345,-170.7086,-14.3248,SHAL,REEF CREST/REEF FLAT
TUT_6082A,6082,531.7433,8416.3785,-170.7056,-14.3244,SHAL,REEF CREST/REEF FLAT
TUT_6083A,6083,531.2763,8416.5055,-170.71,-14.3232,SHAL,REEF CREST/REEF FLAT
TUT_6084A,6084,531.4073,8416.4245,-170.7088,-14.324,SHAL,REEF CREST/REEF FLAT
TUT_6085A,6085,531.3123,8416.5465,-170.7096,-14.3229,SHAL,REEF CREST/REEF FLAT
TUT_6086A,6086,531.0273,8416.3735,-170.7123,-14.3244,SHAL,REEF CREST/REEF FLAT
TUT_6087A,6087,531.1643,8416.3375,-170.711,-14.3248,SHAL,REEF CREST/REEF FLAT
TUT_6088A,6088,531.2263,8416.4985,-170.7104,-14.3233,SHAL,REEF CREST/REEF FLAT
TUT_6089A,6089,531.6843,8416.2815,-170.7062,-14.3253,SHAL,REEF CREST/REEF FLAT
TUT_6090A,6090,531.1073,8416.3765,-170.7115,-14.3244,SHAL,REEF CREST/REEF FLAT
TUT_6091A,6091,531.2463,8416.4245,-170.7102,-14.324,SHAL,REEF CREST/REEF FLAT
TUT_6092A,6092,531.5573,8416.3845,-170.7074,-14.3243,SHAL,REEF CREST/REEF FLAT
TUT_6093A,6093,530.9503,8416.4775,-170.713,-14.3235,SHAL,REEF CREST/REEF FLAT
TUT_6094A,6094,531.5213,8416.4395,-170.7077,-14.3238,SHAL,REEF CREST/REEF FLAT
